,nonprofit,donate,food bank,charities,World Vision,Red Cross,Doctors Without Borders,blood donation,donation,thrift store
2020-03-08,51.0,24.0,0.0,0.0,0.0,32.0,0.0,58.0,34.0,40.0
2020-03-09,0.0,21.0,0.0,0.0,79.0,46.0,0.0,50.0,29.0,0.0
2020-03-10,0.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,28.0,34.0
2020-03-11,45.0,64.0,31.0,100.0,80.0,0.0,84.0,0.0,37.0,0.0
2020-03-12,0.0,61.0,30.0,0.0,0.0,0.0,0.0,0.0,29.0,23.0
2020-03-13,0.0,40.0,30.0,82.0,0.0,26.0,0.0,0.0,29.0,0.0
2020-03-14,0.0,24.0,54.0,49.0,0.0,64.0,0.0,0.0,26.0,41.0
2020-03-15,51.0,35.0,35.0,0.0,0.0,31.0,96.0,0.0,25.0,27.0
2020-03-16,43.0,41.0,30.0,41.0,0.0,27.0,0.0,0.0,29.0,0.0
2020-03-17,0.0,62.0,30.0,41.0,0.0,54.0,0.0,50.0,36.0,23.0
2020-03-18,0.0,35.0,46.0,42.0,0.0,27.0,0.0,0.0,15.0,35.0
2020-03-19,0.0,27.0,51.0,62.0,0.0,63.0,0.0,100.0,51.0,23.0
2020-03-20,0.0,40.0,59.0,0.0,0.0,61.0,0.0,49.0,14.0,45.0
2020-03-21,0.0,45.0,34.0,0.0,86.0,30.0,0.0,55.0,24.0,38.0
2020-03-22,0.0,45.0,33.0,0.0,0.0,79.0,0.0,0.0,48.0,25.0
2020-03-23,39.0,24.0,27.0,0.0,0.0,48.0,0.0,43.0,13.0,20.0
2020-03-24,42.0,20.0,29.0,0.0,74.0,52.0,0.0,48.0,69.0,22.0
2020-03-25,0.0,49.0,30.0,0.0,0.0,37.0,0.0,51.0,37.0,0.0
2020-03-26,0.0,27.0,45.0,41.0,0.0,36.0,0.0,49.0,22.0,0.0
2020-03-27,0.0,30.0,88.0,0.0,0.0,35.0,79.0,48.0,21.0,0.0
2020-03-28,0.0,38.0,33.0,0.0,0.0,88.0,0.0,55.0,24.0,0.0
2020-03-29,0.0,54.0,0.0,86.0,0.0,47.0,0.0,0.0,23.0,0.0
2020-03-30,0.0,19.0,28.0,0.0,72.0,42.0,0.0,46.0,20.0,0.0
2020-03-31,42.0,20.0,39.0,40.0,0.0,35.0,0.0,48.0,35.0,22.0
2020-04-01,0.0,38.0,38.0,39.0,72.0,50.0,76.0,46.0,61.0,0.0
2020-04-02,0.0,38.0,47.0,0.0,0.0,37.0,0.0,0.0,40.0,21.0
2020-04-03,0.0,19.0,77.0,39.0,0.0,76.0,0.0,0.0,55.0,22.0
2020-04-04,0.0,23.0,45.0,46.0,0.0,30.0,91.0,0.0,24.0,25.0
2020-04-05,44.0,35.0,31.0,0.0,0.0,55.0,0.0,50.0,22.0,0.0
2020-04-06,39.0,18.0,27.0,0.0,0.0,41.0,0.0,0.0,65.0,41.0
2020-04-07,41.0,29.0,28.0,58.0,0.0,50.0,76.0,47.0,34.0,0.0
2020-04-08,0.0,25.0,56.0,38.0,71.0,58.0,0.0,46.0,27.0,0.0
2020-04-09,0.0,18.0,67.0,36.0,0.0,40.0,0.0,0.0,38.0,0.0
2020-04-10,0.0,26.0,44.0,0.0,0.0,39.0,0.0,0.0,35.0,22.0
2020-04-11,45.0,28.0,63.0,0.0,0.0,28.0,0.0,0.0,45.0,0.0
2020-04-12,0.0,22.0,33.0,45.0,0.0,44.0,0.0,0.0,16.0,0.0
2020-04-13,0.0,38.0,43.0,39.0,0.0,25.0,0.0,0.0,0.0,0.0
2020-04-14,40.0,66.0,55.0,0.0,0.0,49.0,0.0,46.0,46.0,0.0
2020-04-15,0.0,19.0,46.0,38.0,0.0,33.0,0.0,0.0,46.0,0.0
2020-04-16,0.0,28.0,28.0,0.0,0.0,25.0,0.0,46.0,27.0,0.0
2020-04-17,0.0,29.0,57.0,39.0,0.0,38.0,0.0,46.0,27.0,0.0
2020-04-18,0.0,33.0,65.0,0.0,0.0,29.0,88.0,0.0,31.0,25.0
2020-04-19,0.0,20.0,30.0,0.0,0.0,45.0,0.0,0.0,43.0,34.0
2020-04-20,0.0,38.0,28.0,38.0,0.0,37.0,0.0,0.0,27.0,21.0
2020-04-21,39.0,31.0,82.0,37.0,69.0,37.0,0.0,0.0,19.0,21.0
2020-04-22,0.0,19.0,46.0,38.0,0.0,50.0,0.0,45.0,26.0,21.0
2020-04-23,0.0,19.0,42.0,0.0,0.0,25.0,0.0,47.0,40.0,21.0
2020-04-24,0.0,60.0,60.0,0.0,0.0,26.0,0.0,0.0,28.0,0.0
2020-04-25,0.0,57.0,68.0,46.0,0.0,30.0,0.0,0.0,41.0,26.0
