,Banana Republic,Old Navy	,Gap,Holt Renfrew,Harry Rosen,H&M,Zara,Neon,Winners,Forever 21
2020-03-07,28.0,38.0,75.0,59.0,27.0,54.0,71.0,38.0,35.0,26.0
2020-03-08,71.0,34.0,42.0,28.0,38.0,58.0,59.0,74.0,22.0,62.0
2020-03-09,38.0,37.0,36.0,37.0,22.0,50.0,63.0,41.0,17.0,43.0
2020-03-10,23.0,25.0,50.0,56.0,0.0,56.0,45.0,49.0,13.0,42.0
2020-03-11,55.0,22.0,37.0,50.0,45.0,49.0,51.0,37.0,21.0,22.0
2020-03-12,23.0,18.0,41.0,36.0,0.0,35.0,31.0,40.0,15.0,53.0
2020-03-13,30.0,14.0,23.0,24.0,53.0,35.0,46.0,26.0,13.0,0.0
2020-03-14,54.0,30.0,49.0,28.0,26.0,57.0,69.0,59.0,19.0,25.0
2020-03-15,35.0,28.0,24.0,37.0,25.0,50.0,33.0,57.0,21.0,0.0
2020-03-16,38.0,22.0,41.0,40.0,22.0,30.0,38.0,22.0,14.0,53.0
2020-03-17,30.0,25.0,33.0,48.0,0.0,42.0,35.0,36.0,13.0,43.0
2020-03-18,31.0,27.0,51.0,25.0,33.0,39.0,43.0,41.0,28.0,22.0
2020-03-19,38.0,17.0,36.0,61.0,22.0,28.0,59.0,41.0,31.0,21.0
2020-03-20,30.0,47.0,23.0,36.0,21.0,26.0,37.0,48.0,24.0,21.0
2020-03-21,17.0,49.0,62.0,0.0,24.0,46.0,47.0,55.0,25.0,0.0
2020-03-22,33.0,66.0,68.0,80.0,24.0,36.0,47.0,79.0,18.0,47.0
2020-03-23,13.0,39.0,50.0,43.0,0.0,26.0,33.0,40.0,19.0,37.0
2020-03-24,15.0,24.0,51.0,47.0,0.0,53.0,41.0,22.0,11.0,0.0
2020-03-25,31.0,27.0,39.0,25.0,0.0,44.0,22.0,50.0,11.0,54.0
2020-03-26,23.0,39.0,29.0,24.0,22.0,37.0,35.0,63.0,7.0,32.0
2020-03-27,51.0,41.0,34.0,47.0,21.0,42.0,29.0,13.0,8.0,21.0
2020-03-28,33.0,54.0,49.0,71.0,36.0,48.0,49.0,60.0,3.0,35.0
2020-03-29,80.0,46.0,59.0,64.0,34.0,55.0,53.0,43.0,12.0,22.0
2020-03-30,42.0,38.0,36.0,45.0,20.0,40.0,43.0,51.0,10.0,20.0
2020-03-31,58.0,56.0,37.0,59.0,42.0,46.0,46.0,26.0,8.0,61.0
2020-04-01,35.0,41.0,28.0,68.0,0.0,56.0,53.0,34.0,12.0,20.0
2020-04-02,42.0,64.0,47.0,23.0,20.0,35.0,43.0,59.0,10.0,39.0
2020-04-03,28.0,56.0,45.0,23.0,21.0,51.0,42.0,39.0,7.0,41.0
2020-04-04,42.0,83.0,60.0,27.0,33.0,55.0,49.0,40.0,15.0,48.0
2020-04-05,54.0,99.0,66.0,100.0,0.0,59.0,69.0,63.0,14.0,22.0
2020-04-06,14.0,82.0,62.0,66.0,20.0,38.0,37.0,49.0,7.0,0.0
2020-04-07,43.0,48.0,61.0,56.0,41.0,38.0,47.0,38.0,13.0,40.0
2020-04-08,35.0,64.0,55.0,45.0,20.0,60.0,48.0,46.0,9.0,20.0
2020-04-09,20.0,68.0,61.0,36.0,0.0,84.0,59.0,48.0,10.0,38.0
2020-04-10,15.0,60.0,49.0,31.0,42.0,71.0,57.0,100.0,17.0,62.0
2020-04-11,94.0,77.0,61.0,25.0,23.0,60.0,75.0,46.0,20.0,33.0
2020-04-12,49.0,68.0,77.0,93.0,0.0,82.0,57.0,34.0,11.0,58.0
2020-04-13,36.0,68.0,61.0,46.0,21.0,58.0,64.0,55.0,15.0,40.0
2020-04-14,62.0,59.0,54.0,44.0,20.0,70.0,61.0,62.0,9.0,0.0
2020-04-15,14.0,43.0,62.0,22.0,20.0,69.0,65.0,62.0,8.0,39.0
2020-04-16,28.0,58.0,66.0,45.0,0.0,74.0,75.0,50.0,14.0,30.0
2020-04-17,36.0,61.0,53.0,68.0,21.0,55.0,64.0,57.0,16.0,30.0
2020-04-18,24.0,75.0,80.0,35.0,35.0,74.0,78.0,54.0,18.0,57.0
2020-04-19,45.0,70.0,82.0,56.0,22.0,80.0,71.0,36.0,17.0,21.0
2020-04-20,56.0,50.0,49.0,45.0,20.0,68.0,61.0,42.0,11.0,20.0
2020-04-21,55.0,56.0,45.0,66.0,20.0,62.0,53.0,65.0,13.0,38.0
2020-04-22,21.0,54.0,71.0,37.0,30.0,48.0,60.0,50.0,14.0,39.0
2020-04-23,42.0,52.0,63.0,30.0,20.0,60.0,49.0,59.0,15.0,60.0
2020-04-24,52.0,78.0,92.0,48.0,21.0,71.0,62.0,35.0,8.0,63.0
2020-04-25,51.0,71.0,83.0,73.0,25.0,87.0,82.0,66.0,16.0,72.0
2020-04-26,40.0,73.0,100.0,51.0,31.0,89.0,68.0,52.0,18.0,56.0
2020-04-27,42.0,50.0,51.0,33.0,0.0,51.0,53.0,45.0,7.0,59.0
2020-04-28,43.0,59.0,65.0,81.0,0.0,72.0,51.0,52.0,6.0,31.0
2020-04-29,37.0,55.0,64.0,59.0,21.0,71.0,70.0,66.0,12.0,21.0
2020-04-30,53.0,57.0,86.0,53.0,29.0,74.0,65.0,51.0,13.0,38.0
2020-05-01,43.0,70.0,51.0,62.0,21.0,80.0,65.0,43.0,21.0,51.0
