,BMW,sell car,car rental,used Cars,auto trader,toyota	,electric car,Mercedes Benz,Tesla,car dealership
2020-03-08,71.0,47.0,59.0,66.0,54.0,72.0,91.0,50.0,32.0,0.0
2020-03-09,65.0,41.0,62.0,58.0,23.0,93.0,53.0,60.0,45.0,67.0
2020-03-10,72.0,0.0,40.0,42.0,34.0,81.0,69.0,32.0,42.0,0.0
2020-03-11,57.0,0.0,56.0,65.0,48.0,90.0,40.0,25.0,37.0,34.0
2020-03-12,63.0,40.0,54.0,57.0,23.0,72.0,43.0,32.0,39.0,0.0
2020-03-13,50.0,40.0,34.0,25.0,0.0,68.0,26.0,31.0,33.0,64.0
2020-03-14,60.0,0.0,45.0,67.0,27.0,86.0,31.0,19.0,38.0,0.0
2020-03-15,58.0,0.0,42.0,39.0,35.0,75.0,30.0,18.0,26.0,0.0
2020-03-16,59.0,0.0,44.0,17.0,23.0,68.0,26.0,48.0,42.0,34.0
2020-03-17,63.0,41.0,36.0,51.0,0.0,58.0,26.0,48.0,33.0,100.0
2020-03-18,51.0,41.0,37.0,26.0,46.0,58.0,0.0,38.0,41.0,0.0
2020-03-19,59.0,41.0,29.0,58.0,23.0,50.0,26.0,32.0,35.0,34.0
2020-03-20,59.0,39.0,28.0,50.0,23.0,56.0,25.0,47.0,35.0,32.0
2020-03-21,60.0,0.0,22.0,44.0,26.0,59.0,0.0,18.0,31.0,0.0
2020-03-22,68.0,45.0,35.0,100.0,34.0,52.0,0.0,35.0,27.0,37.0
2020-03-23,38.0,0.0,50.0,30.0,30.0,63.0,46.0,42.0,28.0,58.0
2020-03-24,44.0,0.0,33.0,33.0,0.0,55.0,25.0,47.0,30.0,65.0
2020-03-25,41.0,41.0,18.0,43.0,0.0,44.0,26.0,33.0,39.0,34.0
2020-03-26,39.0,40.0,42.0,26.0,23.0,61.0,39.0,32.0,24.0,0.0
2020-03-27,57.0,0.0,14.0,28.0,33.0,46.0,0.0,21.0,31.0,32.0
2020-03-28,46.0,0.0,34.0,38.0,0.0,51.0,72.0,18.0,21.0,37.0
2020-03-29,49.0,42.0,28.0,36.0,24.0,54.0,54.0,17.0,20.0,0.0
2020-03-30,43.0,0.0,30.0,37.0,22.0,56.0,48.0,75.0,22.0,31.0
2020-03-31,52.0,0.0,23.0,57.0,22.0,37.0,37.0,36.0,24.0,0.0
2020-04-01,44.0,0.0,23.0,43.0,22.0,41.0,24.0,30.0,31.0,31.0
2020-04-02,53.0,0.0,32.0,21.0,22.0,46.0,49.0,35.0,19.0,0.0
2020-04-03,43.0,39.0,17.0,27.0,44.0,38.0,25.0,46.0,25.0,0.0
2020-04-04,52.0,0.0,13.0,47.0,38.0,53.0,29.0,27.0,17.0,37.0
2020-04-05,57.0,0.0,21.0,18.0,24.0,43.0,53.0,33.0,15.0,34.0
2020-04-06,58.0,0.0,18.0,31.0,21.0,48.0,24.0,44.0,20.0,30.0
2020-04-07,38.0,38.0,21.0,65.0,22.0,42.0,24.0,23.0,24.0,0.0
2020-04-08,40.0,37.0,24.0,16.0,21.0,51.0,84.0,37.0,19.0,0.0
2020-04-09,52.0,36.0,9.0,23.0,31.0,43.0,39.0,29.0,16.0,0.0
2020-04-10,45.0,39.0,16.0,50.0,22.0,40.0,38.0,36.0,16.0,32.0
2020-04-11,52.0,0.0,31.0,35.0,24.0,45.0,27.0,17.0,18.0,34.0
2020-04-12,60.0,0.0,20.0,37.0,25.0,51.0,28.0,44.0,17.0,0.0
2020-04-13,61.0,38.0,25.0,21.0,44.0,53.0,25.0,25.0,19.0,0.0
2020-04-14,51.0,0.0,20.0,31.0,21.0,84.0,24.0,34.0,32.0,0.0
2020-04-15,56.0,0.0,20.0,26.0,0.0,78.0,24.0,30.0,26.0,31.0
2020-04-16,48.0,38.0,17.0,39.0,32.0,68.0,24.0,55.0,23.0,0.0
2020-04-17,55.0,38.0,28.0,24.0,43.0,65.0,0.0,20.0,29.0,0.0
2020-04-18,66.0,44.0,28.0,18.0,100.0,53.0,28.0,52.0,16.0,0.0
2020-04-19,59.0,41.0,24.0,40.0,31.0,56.0,52.0,27.0,17.0,0.0
2020-04-20,51.0,37.0,28.0,52.0,28.0,77.0,40.0,30.0,22.0,0.0
2020-04-21,45.0,36.0,24.0,36.0,31.0,71.0,46.0,24.0,22.0,30.0
2020-04-22,42.0,0.0,20.0,26.0,0.0,64.0,24.0,34.0,27.0,30.0
2020-04-23,49.0,0.0,15.0,16.0,21.0,64.0,48.0,30.0,21.0,31.0
2020-04-24,68.0,0.0,18.0,42.0,34.0,57.0,51.0,37.0,20.0,32.0
2020-04-25,67.0,46.0,20.0,26.0,52.0,56.0,29.0,36.0,21.0,37.0
2020-04-26,73.0,43.0,32.0,60.0,36.0,68.0,73.0,28.0,18.0,0.0
2020-04-27,62.0,0.0,19.0,31.0,32.0,65.0,48.0,44.0,25.0,31.0
2020-04-28,67.0,0.0,14.0,27.0,22.0,66.0,37.0,36.0,27.0,0.0
2020-04-29,68.0,79.0,20.0,28.0,34.0,68.0,25.0,36.0,28.0,33.0
2020-04-30,64.0,35.0,20.0,45.0,30.0,69.0,23.0,28.0,36.0,58.0
2020-05-01,61.0,0.0,17.0,41.0,22.0,68.0,50.0,23.0,39.0,0.0
2020-05-02,86.0,0.0,46.0,52.0,61.0,53.0,30.0,30.0,31.0,38.0
2020-05-03,65.0,0.0,35.0,18.0,37.0,75.0,47.0,52.0,19.0,0.0
2020-05-04,59.0,0.0,31.0,15.0,63.0,82.0,23.0,39.0,25.0,30.0
2020-05-05,63.0,35.0,21.0,39.0,33.0,94.0,45.0,28.0,21.0,0.0
2020-05-06,69.0,0.0,15.0,38.0,43.0,78.0,100.0,31.0,28.0,31.0
