,daycare,homeschooling,child abuse,domestic violence,divorce,separation,home issues,custody,pregnant,condom
2020-03-08,15.0,0.0,0.0,25.0,58.0,34.0,0.0,27.0,36.0,55.0
2020-03-09,27.0,0.0,43.0,22.0,77.0,39.0,0.0,24.0,56.0,58.0
2020-03-10,26.0,45.0,0.0,0.0,60.0,62.0,0.0,23.0,33.0,38.0
2020-03-11,8.0,0.0,43.0,23.0,63.0,40.0,0.0,0.0,42.0,29.0
2020-03-12,37.0,0.0,0.0,22.0,30.0,19.0,0.0,0.0,44.0,19.0
2020-03-13,100.0,44.0,0.0,0.0,33.0,19.0,0.0,38.0,30.0,49.0
2020-03-14,31.0,0.0,0.0,26.0,63.0,40.0,0.0,28.0,42.0,23.0
2020-03-15,60.0,0.0,0.0,0.0,74.0,45.0,0.0,27.0,43.0,36.0
2020-03-16,44.0,0.0,0.0,33.0,30.0,29.0,0.0,35.0,32.0,19.0
2020-03-17,26.0,45.0,42.0,22.0,57.0,19.0,0.0,23.0,38.0,50.0
2020-03-18,24.0,46.0,43.0,22.0,50.0,49.0,0.0,24.0,46.0,51.0
2020-03-19,16.0,68.0,0.0,0.0,53.0,39.0,0.0,0.0,28.0,19.0
2020-03-20,23.0,44.0,0.0,0.0,48.0,42.0,0.0,0.0,33.0,37.0
2020-03-21,17.0,100.0,0.0,0.0,34.0,27.0,0.0,26.0,34.0,52.0
2020-03-22,29.0,0.0,46.0,48.0,46.0,43.0,85.0,39.0,38.0,21.0
2020-03-23,28.0,0.0,0.0,0.0,43.0,30.0,68.0,21.0,30.0,34.0
2020-03-24,35.0,43.0,40.0,21.0,37.0,37.0,0.0,45.0,49.0,30.0
2020-03-25,19.0,46.0,0.0,0.0,42.0,39.0,0.0,48.0,35.0,29.0
2020-03-26,21.0,45.0,42.0,22.0,41.0,34.0,0.0,23.0,26.0,0.0
2020-03-27,27.0,0.0,0.0,21.0,55.0,19.0,0.0,0.0,30.0,37.0
2020-03-28,20.0,0.0,0.0,0.0,46.0,42.0,0.0,26.0,34.0,31.0
2020-03-29,17.0,0.0,0.0,46.0,48.0,15.0,81.0,0.0,36.0,99.0
2020-03-30,22.0,42.0,39.0,21.0,21.0,45.0,0.0,33.0,36.0,100.0
2020-03-31,19.0,43.0,0.0,0.0,47.0,56.0,0.0,23.0,31.0,36.0
2020-04-01,22.0,0.0,39.0,0.0,25.0,18.0,0.0,22.0,52.0,30.0
2020-04-02,17.0,0.0,0.0,0.0,46.0,27.0,0.0,22.0,29.0,53.0
2020-04-03,8.0,0.0,40.0,21.0,29.0,18.0,0.0,22.0,30.0,30.0
2020-04-04,0.0,0.0,0.0,25.0,38.0,22.0,0.0,26.0,32.0,56.0
2020-04-05,16.0,0.0,0.0,22.0,62.0,25.0,0.0,0.0,34.0,58.0
2020-04-06,14.0,41.0,0.0,20.0,31.0,31.0,0.0,21.0,29.0,23.0
2020-04-07,12.0,42.0,39.0,20.0,67.0,18.0,0.0,44.0,31.0,24.0
2020-04-08,26.0,0.0,39.0,0.0,31.0,36.0,0.0,22.0,32.0,52.0
2020-04-09,7.0,40.0,38.0,29.0,61.0,26.0,0.0,21.0,27.0,50.0
2020-04-10,11.0,0.0,0.0,0.0,55.0,65.0,0.0,23.0,35.0,27.0
2020-04-11,8.0,0.0,0.0,0.0,23.0,10.0,0.0,24.0,39.0,58.0
2020-04-12,14.0,49.0,0.0,0.0,50.0,21.0,0.0,51.0,34.0,48.0
2020-04-13,0.0,0.0,0.0,20.0,71.0,32.0,73.0,22.0,33.0,71.0
2020-04-14,22.0,0.0,38.0,40.0,52.0,44.0,71.0,43.0,27.0,23.0
2020-04-15,22.0,0.0,39.0,0.0,45.0,27.0,0.0,0.0,23.0,61.0
2020-04-16,15.0,42.0,0.0,0.0,25.0,31.0,0.0,22.0,27.0,29.0
2020-04-17,19.0,0.0,39.0,0.0,75.0,36.0,0.0,22.0,35.0,53.0
2020-04-18,14.0,0.0,0.0,24.0,57.0,31.0,0.0,25.0,36.0,91.0
2020-04-19,12.0,0.0,41.0,22.0,34.0,14.0,0.0,23.0,38.0,31.0
2020-04-20,14.0,42.0,0.0,27.0,42.0,40.0,0.0,32.0,30.0,29.0
2020-04-21,24.0,0.0,0.0,0.0,38.0,17.0,0.0,0.0,40.0,34.0
2020-04-22,31.0,41.0,39.0,20.0,49.0,40.0,0.0,21.0,35.0,52.0
2020-04-23,15.0,0.0,39.0,0.0,85.0,36.0,0.0,22.0,29.0,18.0
2020-04-24,18.0,0.0,41.0,21.0,28.0,19.0,0.0,23.0,36.0,49.0
2020-04-25,13.0,0.0,0.0,0.0,47.0,22.0,0.0,0.0,38.0,32.0
2020-04-26,25.0,48.0,44.0,23.0,64.0,15.0,0.0,0.0,52.0,33.0
2020-04-27,33.0,0.0,38.0,100.0,45.0,35.0,71.0,21.0,38.0,17.0
2020-04-28,30.0,0.0,40.0,21.0,58.0,18.0,0.0,23.0,44.0,60.0
2020-04-29,44.0,44.0,41.0,21.0,37.0,24.0,0.0,23.0,50.0,28.0
2020-04-30,21.0,0.0,37.0,19.0,43.0,17.0,0.0,20.0,30.0,33.0
2020-05-01,18.0,0.0,40.0,21.0,50.0,9.0,0.0,44.0,43.0,18.0
2020-05-02,13.0,51.0,48.0,0.0,69.0,33.0,0.0,44.0,39.0,21.0
2020-05-03,31.0,0.0,0.0,36.0,45.0,31.0,0.0,0.0,40.0,20.0
2020-05-04,14.0,0.0,38.0,20.0,58.0,43.0,0.0,32.0,39.0,51.0
2020-05-05,34.0,39.0,36.0,19.0,39.0,21.0,67.0,41.0,37.0,44.0
2020-05-06,20.0,0.0,40.0,21.0,51.0,23.0,0.0,45.0,42.0,30.0
2020-05-07,57.0,0.0,79.0,21.0,51.0,28.0,0.0,22.0,42.0,24.0
2020-05-08,12.0,0.0,0.0,21.0,43.0,50.0,0.0,22.0,42.0,18.0
2020-05-09,13.0,0.0,0.0,67.0,31.0,25.0,0.0,48.0,41.0,38.0
2020-05-10,12.0,0.0,43.0,23.0,31.0,30.0,0.0,24.0,42.0,39.0
2020-05-11,36.0,42.0,0.0,20.0,60.0,22.0,0.0,43.0,41.0,29.0
2020-05-12,10.0,42.0,0.0,20.0,67.0,36.0,0.0,0.0,33.0,29.0
2020-05-13,37.0,42.0,40.0,0.0,22.0,18.0,0.0,22.0,42.0,36.0
2020-05-14,23.0,64.0,41.0,21.0,62.0,42.0,0.0,23.0,40.0,27.0
2020-05-15,32.0,0.0,40.0,31.0,64.0,45.0,0.0,22.0,32.0,18.0
2020-05-16,9.0,51.0,0.0,25.0,43.0,22.0,0.0,27.0,46.0,57.0
2020-05-17,18.0,0.0,0.0,25.0,70.0,39.0,0.0,27.0,43.0,36.0
2020-05-18,17.0,0.0,0.0,23.0,84.0,46.0,0.0,74.0,42.0,40.0
2020-05-19,30.0,42.0,0.0,21.0,50.0,18.0,0.0,22.0,29.0,35.0
2020-05-20,26.0,0.0,0.0,21.0,55.0,19.0,0.0,23.0,37.0,36.0
2020-05-21,23.0,0.0,62.0,0.0,41.0,19.0,0.0,0.0,33.0,37.0
