,loan,mortgage loan,dow jones,mortgage,interest rate,savings,debt,bonds,stock market	,mutual funds
2020-03-08,46.0,0.0,3.0,38.0,23.0,100.0,38.0,44.0,14.0,33.0
2020-03-09,42.0,0.0,72.0,63.0,30.0,15.0,61.0,81.0,100.0,29.0
2020-03-10,56.0,42.0,58.0,42.0,30.0,23.0,60.0,53.0,63.0,66.0
2020-03-11,40.0,43.0,57.0,48.0,15.0,14.0,51.0,47.0,50.0,59.0
2020-03-12,56.0,42.0,91.0,43.0,20.0,19.0,44.0,38.0,92.0,56.0
2020-03-13,52.0,0.0,86.0,74.0,39.0,18.0,38.0,45.0,65.0,65.0
2020-03-14,43.0,0.0,10.0,73.0,59.0,7.0,39.0,27.0,36.0,34.0
2020-03-15,54.0,0.0,4.0,40.0,34.0,17.0,75.0,78.0,40.0,49.0
2020-03-16,55.0,0.0,100.0,74.0,55.0,14.0,38.0,90.0,100.0,84.0
2020-03-17,75.0,0.0,86.0,61.0,45.0,11.0,66.0,38.0,65.0,28.0
2020-03-18,48.0,0.0,91.0,100.0,40.0,11.0,100.0,38.0,69.0,67.0
2020-03-19,76.0,0.0,84.0,85.0,15.0,11.0,56.0,45.0,37.0,57.0
2020-03-20,65.0,81.0,69.0,64.0,10.0,8.0,43.0,22.0,42.0,28.0
2020-03-21,46.0,46.0,12.0,34.0,11.0,9.0,55.0,51.0,28.0,31.0
2020-03-22,55.0,0.0,10.0,45.0,11.0,7.0,85.0,25.0,26.0,73.0
2020-03-23,59.0,37.0,66.0,59.0,18.0,4.0,39.0,33.0,42.0,0.0
2020-03-24,76.0,0.0,61.0,50.0,39.0,13.0,59.0,44.0,39.0,46.0
2020-03-25,71.0,0.0,75.0,46.0,20.0,10.0,56.0,23.0,72.0,43.0
2020-03-26,50.0,83.0,76.0,45.0,10.0,11.0,82.0,38.0,39.0,47.0
2020-03-27,75.0,40.0,68.0,84.0,63.0,16.0,42.0,33.0,31.0,41.0
2020-03-28,68.0,46.0,10.0,53.0,39.0,13.0,36.0,100.0,23.0,0.0
2020-03-29,50.0,0.0,6.0,25.0,11.0,15.0,58.0,48.0,14.0,44.0
2020-03-30,80.0,0.0,55.0,51.0,19.0,7.0,61.0,74.0,26.0,26.0
2020-03-31,59.0,0.0,57.0,43.0,10.0,16.0,69.0,59.0,22.0,28.0
2020-04-01,73.0,39.0,60.0,32.0,9.0,8.0,41.0,21.0,25.0,53.0
2020-04-02,39.0,0.0,62.0,32.0,19.0,8.0,41.0,43.0,37.0,27.0
2020-04-03,45.0,80.0,49.0,34.0,29.0,9.0,47.0,29.0,24.0,41.0
2020-04-04,65.0,70.0,7.0,33.0,22.0,7.0,46.0,51.0,10.0,32.0
2020-04-05,51.0,43.0,8.0,24.0,15.0,11.0,56.0,54.0,12.0,29.0
2020-04-06,81.0,0.0,45.0,29.0,18.0,9.0,35.0,62.0,30.0,26.0
2020-04-07,84.0,39.0,45.0,20.0,9.0,9.0,36.0,64.0,23.0,27.0
2020-04-08,59.0,39.0,51.0,40.0,19.0,16.0,46.0,49.0,32.0,35.0
2020-04-09,67.0,0.0,48.0,22.0,31.0,10.0,64.0,40.0,34.0,38.0
2020-04-10,81.0,0.0,26.0,28.0,14.0,12.0,53.0,22.0,32.0,27.0
2020-04-11,46.0,0.0,6.0,26.0,31.0,8.0,23.0,70.0,15.0,73.0
2020-04-12,45.0,0.0,4.0,30.0,33.0,9.0,60.0,33.0,9.0,46.0
2020-04-13,100.0,0.0,37.0,36.0,19.0,6.0,70.0,53.0,21.0,27.0
2020-04-14,49.0,76.0,36.0,28.0,14.0,15.0,96.0,52.0,22.0,26.0
2020-04-15,87.0,38.0,40.0,38.0,27.0,17.0,71.0,62.0,22.0,26.0
