,relationship,cheating,condom,sexting,frequentation,mating,marriage,jealous,long distance,breakup
2020-03-08,68.0,25.0,44.0,0.0,46.0,0.0,33.0,32.0,27.0,28.0
2020-03-09,43.0,34.0,38.0,43.0,41.0,0.0,52.0,0.0,23.0,0.0
2020-03-10,27.0,19.0,38.0,41.0,0.0,0.0,28.0,27.0,46.0,24.0
2020-03-11,40.0,98.0,39.0,0.0,0.0,95.0,30.0,57.0,36.0,37.0
2020-03-12,58.0,19.0,28.0,0.0,0.0,46.0,35.0,0.0,23.0,24.0
2020-03-13,46.0,38.0,65.0,41.0,0.0,44.0,31.0,27.0,34.0,0.0
2020-03-14,32.0,26.0,34.0,0.0,0.0,0.0,45.0,48.0,0.0,42.0
2020-03-15,49.0,28.0,58.0,48.0,0.0,52.0,40.0,0.0,66.0,27.0
2020-03-16,50.0,22.0,25.0,84.0,39.0,45.0,25.0,27.0,53.0,24.0
2020-03-17,46.0,34.0,19.0,0.0,0.0,46.0,38.0,41.0,62.0,0.0
2020-03-18,39.0,24.0,76.0,0.0,0.0,0.0,26.0,37.0,47.0,24.0
2020-03-19,43.0,44.0,19.0,42.0,0.0,46.0,26.0,28.0,54.0,48.0
2020-03-20,68.0,14.0,46.0,41.0,39.0,45.0,40.0,53.0,45.0,0.0
2020-03-21,47.0,16.0,42.0,46.0,44.0,0.0,46.0,30.0,43.0,0.0
2020-03-22,30.0,21.0,52.0,92.0,0.0,0.0,45.0,45.0,42.0,0.0
2020-03-23,58.0,34.0,25.0,37.0,0.0,0.0,25.0,48.0,34.0,21.0
2020-03-24,56.0,38.0,18.0,40.0,0.0,0.0,28.0,0.0,23.0,0.0
2020-03-25,71.0,44.0,26.0,0.0,0.0,0.0,26.0,28.0,31.0,0.0
2020-03-26,69.0,24.0,19.0,0.0,0.0,46.0,25.0,41.0,35.0,0.0
2020-03-27,60.0,33.0,37.0,41.0,0.0,0.0,28.0,35.0,30.0,70.0
2020-03-28,34.0,57.0,53.0,46.0,0.0,51.0,49.0,0.0,77.0,53.0
2020-03-29,73.0,46.0,93.0,0.0,42.0,48.0,23.0,57.0,24.0,50.0
2020-03-30,87.0,27.0,100.0,39.0,37.0,85.0,24.0,25.0,64.0,45.0
2020-03-31,52.0,33.0,49.0,0.0,0.0,87.0,40.0,39.0,56.0,23.0
2020-04-01,51.0,48.0,53.0,39.0,37.0,43.0,54.0,38.0,29.0,0.0
2020-04-02,62.0,34.0,53.0,39.0,0.0,85.0,15.0,51.0,43.0,23.0
2020-04-03,78.0,14.0,36.0,40.0,0.0,87.0,33.0,26.0,44.0,46.0
2020-04-04,78.0,32.0,70.0,46.0,0.0,51.0,39.0,30.0,51.0,0.0
2020-04-05,75.0,30.0,58.0,43.0,41.0,93.0,36.0,70.0,59.0,25.0
2020-04-06,56.0,26.0,34.0,0.0,36.0,41.0,32.0,25.0,42.0,65.0
2020-04-07,40.0,46.0,18.0,0.0,0.0,43.0,33.0,38.0,32.0,23.0
2020-04-08,57.0,20.0,36.0,0.0,0.0,42.0,26.0,0.0,28.0,22.0
2020-04-09,62.0,30.0,45.0,37.0,0.0,41.0,20.0,24.0,21.0,21.0
2020-04-10,37.0,35.0,73.0,0.0,0.0,0.0,25.0,26.0,30.0,23.0
2020-04-11,72.0,45.0,49.0,43.0,0.0,63.0,33.0,0.0,24.0,25.0
2020-04-12,67.0,48.0,31.0,68.0,0.0,50.0,47.0,0.0,100.0,26.0
2020-04-13,99.0,46.0,18.0,39.0,0.0,43.0,30.0,52.0,22.0,34.0
2020-04-14,67.0,40.0,23.0,38.0,36.0,83.0,52.0,0.0,35.0,22.0
2020-04-15,39.0,40.0,41.0,38.0,0.0,42.0,35.0,0.0,65.0,22.0
2020-04-16,65.0,49.0,0.0,0.0,0.0,0.0,32.0,38.0,21.0,45.0
2020-04-17,73.0,27.0,36.0,39.0,0.0,43.0,33.0,51.0,54.0,34.0
2020-04-18,46.0,47.0,55.0,0.0,0.0,0.0,38.0,39.0,62.0,0.0
2020-04-19,93.0,22.0,25.0,42.0,40.0,0.0,13.0,41.0,70.0,24.0
2020-04-20,43.0,27.0,23.0,0.0,0.0,0.0,44.0,25.0,35.0,66.0
2020-04-21,55.0,26.0,26.0,56.0,36.0,0.0,40.0,24.0,21.0,22.0
2020-04-22,67.0,33.0,17.0,38.0,0.0,0.0,29.0,58.0,64.0,22.0
2020-04-23,61.0,54.0,44.0,39.0,0.0,43.0,21.0,25.0,21.0,0.0
2020-04-24,45.0,57.0,46.0,0.0,0.0,45.0,31.0,27.0,34.0,46.0
2020-04-25,100.0,43.0,28.0,93.0,90.0,0.0,54.0,31.0,39.0,41.0
2020-04-26,78.0,41.0,53.0,44.0,0.0,0.0,25.0,58.0,32.0,51.0
2020-04-27,43.0,22.0,23.0,38.0,0.0,42.0,35.0,25.0,56.0,0.0
2020-04-28,67.0,19.0,36.0,0.0,0.0,0.0,15.0,35.0,33.0,23.0
2020-04-29,60.0,42.0,31.0,40.0,0.0,0.0,34.0,26.0,22.0,0.0
2020-04-30,71.0,55.0,25.0,0.0,35.0,40.0,28.0,24.0,30.0,21.0
2020-05-01,74.0,23.0,18.0,0.0,38.0,0.0,39.0,26.0,22.0,23.0
2020-05-02,88.0,28.0,22.0,47.0,0.0,52.0,29.0,93.0,70.0,27.0
2020-05-03,46.0,52.0,20.0,0.0,0.0,99.0,38.0,59.0,25.0,65.0
