,jewelry,diamond ring,earrings,bracelet,watch,Pandora,Tiffany & Co	,Swarovski,piercing,ring
2020-03-07,54.0,40.0,45.0,55.0,71.0,53.0,0.0,32.0,80.0,57.0
2020-03-08,23.0,38.0,52.0,66.0,63.0,41.0,0.0,51.0,47.0,59.0
2020-03-09,36.0,33.0,30.0,46.0,57.0,32.0,0.0,33.0,47.0,60.0
2020-03-10,35.0,32.0,44.0,50.0,51.0,35.0,0.0,22.0,73.0,51.0
2020-03-11,53.0,0.0,69.0,68.0,52.0,38.0,0.0,27.0,55.0,52.0
2020-03-12,22.0,32.0,22.0,27.0,39.0,36.0,0.0,13.0,40.0,45.0
2020-03-13,28.0,0.0,54.0,40.0,38.0,21.0,0.0,26.0,39.0,46.0
2020-03-14,34.0,39.0,44.0,54.0,56.0,42.0,0.0,39.0,67.0,56.0
2020-03-15,44.0,38.0,42.0,58.0,73.0,37.0,0.0,25.0,57.0,41.0
2020-03-16,38.0,0.0,58.0,31.0,54.0,21.0,0.0,13.0,72.0,53.0
2020-03-17,32.0,0.0,22.0,36.0,61.0,30.0,0.0,13.0,66.0,55.0
2020-03-18,36.0,0.0,90.0,37.0,58.0,17.0,0.0,27.0,34.0,55.0
2020-03-19,45.0,0.0,37.0,36.0,53.0,27.0,82.0,13.0,77.0,53.0
2020-03-20,44.0,32.0,32.0,42.0,50.0,23.0,0.0,19.0,45.0,59.0
2020-03-21,46.0,36.0,73.0,40.0,64.0,20.0,0.0,29.0,48.0,82.0
2020-03-22,35.0,36.0,36.0,45.0,67.0,15.0,0.0,43.0,69.0,68.0
2020-03-23,40.0,58.0,58.0,38.0,52.0,19.0,0.0,15.0,23.0,49.0
2020-03-24,34.0,31.0,43.0,46.0,44.0,18.0,0.0,32.0,35.0,61.0
2020-03-25,33.0,0.0,45.0,44.0,58.0,20.0,0.0,20.0,34.0,78.0
2020-03-26,35.0,0.0,55.0,43.0,50.0,40.0,0.0,20.0,23.0,54.0
2020-03-27,40.0,0.0,86.0,53.0,58.0,34.0,0.0,19.0,29.0,60.0
2020-03-28,64.0,36.0,33.0,63.0,69.0,24.0,0.0,24.0,48.0,67.0
