,Libertarian,Bloc Quebecois,PQ,PPC,Quebec Solidaire,CAQ,Conservative Party,Green Party,Liberal Party,NDP
2020-03-07,0.0,0.0,37.0,33.0,0.0,36.0,49.0,0.0,0.0,46.0
2020-03-08,0.0,0.0,38.0,0.0,47.0,28.0,0.0,0.0,57.0,0.0
2020-03-09,0.0,0.0,62.0,28.0,61.0,36.0,0.0,0.0,100.0,39.0
2020-03-10,0.0,0.0,53.0,27.0,0.0,53.0,41.0,44.0,49.0,0.0
2020-03-11,0.0,0.0,29.0,28.0,31.0,74.0,0.0,0.0,0.0,39.0
2020-03-12,0.0,39.0,44.0,0.0,0.0,42.0,0.0,44.0,0.0,38.0
2020-03-13,0.0,0.0,46.0,26.0,30.0,24.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,36.0,0.0,0.0,29.0,0.0,53.0,59.0,45.0
2020-03-15,0.0,0.0,59.0,63.0,35.0,48.0,0.0,0.0,58.0,43.0
2020-03-16,0.0,38.0,28.0,27.0,60.0,48.0,0.0,0.0,0.0,38.0
2020-03-17,0.0,39.0,49.0,27.0,0.0,66.0,0.0,0.0,0.0,0.0
2020-03-18,0.0,39.0,38.0,27.0,0.0,61.0,0.0,45.0,50.0,77.0
2020-03-19,52.0,39.0,26.0,0.0,45.0,78.0,41.0,0.0,0.0,38.0
2020-03-20,0.0,0.0,55.0,26.0,44.0,29.0,40.0,0.0,0.0,74.0
2020-03-21,0.0,86.0,34.0,30.0,0.0,47.0,0.0,49.0,0.0,63.0
2020-03-22,0.0,43.0,44.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0
2020-03-23,46.0,35.0,21.0,48.0,27.0,69.0,0.0,0.0,0.0,100.0
2020-03-24,0.0,38.0,27.0,26.0,0.0,63.0,0.0,0.0,0.0,37.0
2020-03-25,0.0,0.0,45.0,55.0,0.0,36.0,42.0,0.0,0.0,77.0
2020-03-26,0.0,0.0,46.0,27.0,0.0,42.0,0.0,0.0,49.0,57.0
2020-03-27,0.0,0.0,41.0,26.0,44.0,40.0,0.0,0.0,0.0,0.0
2020-03-28,58.0,0.0,44.0,30.0,34.0,59.0,45.0,0.0,0.0,42.0
2020-03-29,54.0,0.0,52.0,29.0,32.0,63.0,0.0,0.0,0.0,0.0
2020-03-30,0.0,36.0,57.0,51.0,0.0,28.0,0.0,0.0,46.0,59.0
2020-03-31,100.0,37.0,61.0,52.0,0.0,52.0,39.0,0.0,0.0,36.0
2020-04-01,49.0,73.0,44.0,0.0,28.0,39.0,0.0,0.0,0.0,36.0
2020-04-02,0.0,36.0,32.0,25.0,0.0,61.0,0.0,0.0,0.0,35.0
2020-04-03,99.0,37.0,36.0,25.0,28.0,40.0,39.0,42.0,0.0,0.0
2020-04-04,0.0,43.0,26.0,30.0,67.0,13.0,46.0,0.0,0.0,64.0
2020-04-05,0.0,40.0,29.0,0.0,31.0,37.0,0.0,0.0,0.0,39.0
2020-04-06,47.0,35.0,32.0,24.0,0.0,27.0,0.0,40.0,0.0,51.0
2020-04-07,0.0,0.0,37.0,25.0,28.0,45.0,0.0,41.0,0.0,36.0
2020-04-08,0.0,71.0,37.0,25.0,0.0,44.0,37.0,41.0,0.0,35.0
2020-04-09,0.0,35.0,29.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0
2020-04-10,50.0,0.0,45.0,52.0,29.0,41.0,0.0,0.0,0.0,0.0
2020-04-11,53.0,40.0,36.0,28.0,0.0,49.0,0.0,0.0,51.0,0.0
2020-04-12,57.0,0.0,38.0,0.0,0.0,39.0,45.0,0.0,0.0,41.0
2020-04-13,0.0,36.0,44.0,26.0,28.0,17.0,38.0,0.0,0.0,0.0
2020-04-14,48.0,0.0,28.0,25.0,0.0,22.0,0.0,40.0,0.0,0.0
2020-04-15,0.0,36.0,32.0,25.0,0.0,99.0,0.0,0.0,0.0,35.0
2020-04-16,0.0,0.0,39.0,25.0,56.0,72.0,0.0,0.0,45.0,0.0
2020-04-17,0.0,0.0,44.0,51.0,0.0,28.0,0.0,0.0,46.0,0.0
2020-04-18,0.0,0.0,38.0,29.0,32.0,77.0,0.0,0.0,53.0,0.0
2020-04-19,0.0,38.0,47.0,27.0,0.0,30.0,40.0,43.0,0.0,75.0
2020-04-20,0.0,0.0,34.0,25.0,0.0,17.0,0.0,41.0,0.0,35.0
2020-04-21,0.0,35.0,42.0,25.0,54.0,59.0,37.0,40.0,44.0,34.0
2020-04-22,0.0,36.0,41.0,25.0,28.0,38.0,0.0,0.0,45.0,35.0
2020-04-23,48.0,54.0,50.0,38.0,28.0,39.0,38.0,0.0,46.0,35.0
2020-04-24,51.0,38.0,34.0,27.0,29.0,47.0,0.0,43.0,0.0,37.0
2020-04-25,0.0,0.0,13.0,0.0,34.0,47.0,0.0,0.0,0.0,43.0
2020-04-26,0.0,0.0,42.0,57.0,32.0,44.0,0.0,47.0,0.0,0.0
2020-04-27,0.0,0.0,32.0,25.0,0.0,38.0,38.0,40.0,0.0,0.0
2020-04-28,50.0,0.0,20.0,26.0,0.0,23.0,0.0,0.0,0.0,37.0
2020-04-29,0.0,38.0,32.0,40.0,59.0,35.0,0.0,0.0,0.0,37.0
2020-04-30,0.0,0.0,29.0,24.0,27.0,32.0,0.0,0.0,0.0,0.0
2020-05-01,0.0,37.0,45.0,26.0,0.0,46.0,0.0,0.0,0.0,0.0
2020-05-02,0.0,0.0,21.0,0.0,0.0,34.0,0.0,50.0,0.0,0.0
