,McDonalds,KFC,Pizza hut,Burger King,Wendy,A & W,St-Hubert,Métro,Domino,Taco Bell
2020-03-07,33.0,58.0,56.0,62.0,47.0,0.0,52.0,40.0,41.0,51.0
2020-03-08,42.0,67.0,39.0,52.0,19.0,0.0,32.0,27.0,70.0,0.0
2020-03-09,31.0,44.0,44.0,37.0,28.0,0.0,32.0,28.0,27.0,0.0
2020-03-10,30.0,52.0,33.0,15.0,44.0,0.0,37.0,37.0,27.0,0.0
2020-03-11,33.0,15.0,42.0,30.0,57.0,30.0,27.0,55.0,35.0,43.0
2020-03-12,18.0,33.0,48.0,27.0,33.0,0.0,24.0,64.0,13.0,41.0
2020-03-13,30.0,33.0,32.0,36.0,16.0,0.0,45.0,49.0,39.0,0.0
2020-03-14,44.0,57.0,42.0,22.0,65.0,0.0,38.0,49.0,55.0,0.0
2020-03-15,33.0,55.0,26.0,51.0,19.0,0.0,30.0,33.0,39.0,0.0
2020-03-16,40.0,43.0,15.0,26.0,33.0,29.0,36.0,40.0,46.0,21.0
2020-03-17,49.0,52.0,20.0,28.0,25.0,0.0,32.0,66.0,67.0,21.0
2020-03-18,33.0,51.0,34.0,30.0,28.0,30.0,34.0,72.0,20.0,21.0
2020-03-19,41.0,29.0,36.0,33.0,33.0,59.0,34.0,69.0,40.0,21.0
2020-03-20,33.0,33.0,62.0,29.0,32.0,29.0,42.0,76.0,91.0,0.0
2020-03-21,41.0,32.0,51.0,18.0,43.0,33.0,36.0,43.0,37.0,46.0
2020-03-22,50.0,31.0,48.0,49.0,42.0,32.0,31.0,67.0,51.0,34.0
2020-03-23,28.0,19.0,18.0,23.0,19.0,26.0,34.0,74.0,35.0,0.0
2020-03-24,36.0,37.0,37.0,25.0,32.0,28.0,34.0,83.0,45.0,20.0
2020-03-25,33.0,44.0,26.0,30.0,22.0,0.0,31.0,100.0,41.0,21.0
2020-03-26,13.0,14.0,40.0,29.0,27.0,29.0,22.0,64.0,53.0,41.0
2020-03-27,29.0,28.0,66.0,36.0,37.0,0.0,41.0,64.0,52.0,0.0
2020-03-28,32.0,79.0,59.0,24.0,36.0,32.0,45.0,60.0,96.0,23.0
2020-03-29,39.0,50.0,35.0,35.0,46.0,31.0,33.0,37.0,63.0,22.0
2020-03-30,33.0,18.0,33.0,21.0,36.0,0.0,28.0,56.0,31.0,19.0
2020-03-31,21.0,41.0,22.0,21.0,24.0,57.0,33.0,74.0,32.0,20.0
2020-04-01,27.0,27.0,31.0,45.0,31.0,27.0,32.0,72.0,50.0,29.0
2020-04-02,35.0,18.0,31.0,41.0,54.0,0.0,37.0,76.0,68.0,0.0
2020-04-03,36.0,32.0,68.0,42.0,37.0,28.0,46.0,72.0,76.0,20.0
2020-04-04,25.0,37.0,85.0,29.0,25.0,33.0,46.0,65.0,30.0,23.0
2020-04-05,31.0,22.0,67.0,45.0,45.0,30.0,43.0,39.0,27.0,64.0
2020-04-06,23.0,26.0,14.0,23.0,40.0,26.0,30.0,49.0,24.0,0.0
2020-04-07,22.0,13.0,31.0,21.0,46.0,41.0,39.0,73.0,19.0,19.0
2020-04-08,28.0,57.0,52.0,41.0,20.0,27.0,33.0,56.0,49.0,39.0
2020-04-09,29.0,38.0,66.0,26.0,25.0,26.0,48.0,84.0,36.0,0.0
2020-04-10,20.0,37.0,47.0,60.0,21.0,0.0,46.0,72.0,39.0,20.0
2020-04-11,19.0,49.0,73.0,42.0,45.0,0.0,54.0,47.0,27.0,0.0
2020-04-12,37.0,31.0,50.0,12.0,27.0,32.0,56.0,40.0,51.0,0.0
2020-04-13,34.0,58.0,31.0,31.0,16.0,28.0,36.0,59.0,50.0,0.0
2020-04-14,31.0,57.0,42.0,40.0,30.0,54.0,22.0,47.0,37.0,19.0
2020-04-15,23.0,26.0,33.0,41.0,46.0,27.0,36.0,46.0,43.0,19.0
2020-04-16,27.0,57.0,64.0,34.0,51.0,0.0,40.0,53.0,56.0,0.0
