,Simons,Canadian tire,La Baie,Home hardware	,Old Navy,Sears,Aldo,Dollarama,Structube,Reitmans
2020-03-07,43.0,24.0,80.0,21.0,38.0,25.0,26.0,40.0,61.0,11.0
2020-03-08,54.0,21.0,79.0,32.0,34.0,61.0,24.0,43.0,95.0,28.0
2020-03-09,44.0,17.0,65.0,24.0,37.0,28.0,22.0,36.0,65.0,10.0
2020-03-10,44.0,15.0,73.0,15.0,25.0,35.0,22.0,33.0,46.0,10.0
2020-03-11,37.0,16.0,57.0,21.0,22.0,43.0,19.0,38.0,26.0,14.0
2020-03-12,35.0,16.0,57.0,30.0,18.0,21.0,17.0,28.0,33.0,18.0
2020-03-13,33.0,16.0,51.0,11.0,14.0,31.0,12.0,38.0,30.0,9.0
2020-03-14,40.0,22.0,72.0,18.0,30.0,49.0,11.0,60.0,60.0,17.0
2020-03-15,42.0,23.0,54.0,26.0,28.0,40.0,8.0,47.0,56.0,14.0
2020-03-16,29.0,18.0,54.0,24.0,22.0,0.0,14.0,54.0,37.0,10.0
2020-03-17,41.0,19.0,69.0,13.0,25.0,21.0,14.0,47.0,36.0,19.0
2020-03-18,49.0,22.0,54.0,17.0,27.0,32.0,15.0,65.0,44.0,16.0
2020-03-19,26.0,27.0,55.0,27.0,17.0,0.0,5.0,57.0,34.0,13.0
2020-03-20,31.0,23.0,54.0,26.0,47.0,34.0,9.0,55.0,34.0,17.0
2020-03-21,43.0,27.0,59.0,32.0,49.0,0.0,11.0,62.0,56.0,23.0
2020-03-22,53.0,29.0,52.0,31.0,66.0,23.0,9.0,64.0,59.0,14.0
2020-03-23,39.0,25.0,36.0,32.0,39.0,18.0,6.0,91.0,27.0,12.0
2020-03-24,37.0,27.0,34.0,33.0,24.0,27.0,8.0,100.0,19.0,10.0
2020-03-25,38.0,25.0,40.0,31.0,27.0,42.0,7.0,70.0,22.0,16.0
2020-03-26,33.0,27.0,51.0,26.0,39.0,31.0,14.0,58.0,36.0,18.0
2020-03-27,37.0,29.0,43.0,24.0,41.0,20.0,11.0,52.0,31.0,20.0
2020-03-28,55.0,36.0,60.0,50.0,54.0,23.0,14.0,57.0,33.0,15.0
2020-03-29,61.0,29.0,52.0,36.0,46.0,22.0,12.0,59.0,64.0,23.0
2020-03-30,42.0,24.0,33.0,20.0,38.0,29.0,14.0,43.0,44.0,20.0
2020-03-31,38.0,27.0,47.0,40.0,56.0,53.0,8.0,56.0,51.0,14.0
2020-04-01,50.0,31.0,46.0,35.0,41.0,29.0,11.0,63.0,51.0,24.0
2020-04-02,49.0,31.0,45.0,33.0,64.0,45.0,8.0,50.0,39.0,22.0
2020-04-03,41.0,37.0,53.0,30.0,56.0,20.0,11.0,44.0,47.0,17.0
2020-04-04,56.0,53.0,42.0,52.0,83.0,23.0,27.0,62.0,44.0,16.0
2020-04-05,84.0,47.0,58.0,31.0,99.0,32.0,12.0,62.0,66.0,26.0
2020-04-06,57.0,51.0,71.0,48.0,82.0,28.0,5.0,61.0,38.0,17.0
2020-04-07,45.0,48.0,53.0,35.0,48.0,39.0,11.0,58.0,57.0,21.0
2020-04-08,65.0,48.0,50.0,33.0,64.0,57.0,13.0,52.0,34.0,18.0
2020-04-09,57.0,42.0,67.0,37.0,68.0,28.0,17.0,55.0,47.0,28.0
2020-04-10,67.0,46.0,75.0,35.0,60.0,60.0,19.0,71.0,85.0,17.0
2020-04-11,71.0,45.0,79.0,53.0,77.0,36.0,22.0,65.0,81.0,28.0
2020-04-12,77.0,40.0,48.0,45.0,68.0,45.0,16.0,51.0,76.0,27.0
2020-04-13,76.0,53.0,73.0,63.0,68.0,33.0,19.0,75.0,64.0,19.0
2020-04-14,62.0,44.0,53.0,31.0,59.0,38.0,18.0,51.0,40.0,22.0
2020-04-15,70.0,43.0,75.0,58.0,43.0,38.0,22.0,51.0,61.0,21.0
2020-04-16,63.0,47.0,71.0,41.0,58.0,39.0,12.0,49.0,69.0,25.0
2020-04-17,69.0,47.0,52.0,41.0,61.0,19.0,13.0,52.0,58.0,25.0
2020-04-18,86.0,61.0,69.0,97.0,75.0,53.0,20.0,53.0,69.0,14.0
2020-04-19,90.0,53.0,70.0,39.0,70.0,41.0,17.0,51.0,100.0,28.0
2020-04-20,71.0,48.0,61.0,57.0,50.0,26.0,16.0,66.0,55.0,21.0
2020-04-21,76.0,43.0,54.0,40.0,56.0,31.0,9.0,47.0,64.0,21.0
2020-04-22,75.0,44.0,52.0,37.0,54.0,38.0,12.0,52.0,56.0,23.0
2020-04-23,71.0,48.0,76.0,45.0,52.0,39.0,15.0,52.0,59.0,21.0
