,bague de fiançailles,robe de mariée,Marié,anniversaire de mariage,fiançaille,la mariée,en espèces,cérémonie,salle de mariage,engagement
2020-03-07,0.0,25.0,65.0,0.0,0.0,31.0,0.0,33.0,0.0,39.0
2020-03-08,0.0,56.0,31.0,34.0,0.0,90.0,0.0,0.0,49.0,37.0
2020-03-09,0.0,41.0,82.0,45.0,0.0,26.0,51.0,28.0,0.0,28.0
2020-03-10,0.0,20.0,53.0,29.0,0.0,0.0,100.0,41.0,0.0,41.0
2020-03-11,0.0,42.0,37.0,30.0,0.0,27.0,0.0,43.0,0.0,23.0
2020-03-12,0.0,0.0,27.0,58.0,0.0,26.0,50.0,0.0,42.0,41.0
2020-03-13,0.0,20.0,26.0,0.0,0.0,75.0,50.0,27.0,0.0,31.0
2020-03-14,0.0,36.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
2020-03-15,0.0,24.0,0.0,34.0,0.0,0.0,0.0,32.0,0.0,47.0
2020-03-16,0.0,30.0,0.0,0.0,0.0,26.0,0.0,27.0,0.0,36.0
2020-03-17,0.0,20.0,27.0,29.0,0.0,0.0,0.0,0.0,0.0,36.0
2020-03-18,0.0,41.0,27.0,0.0,0.0,26.0,52.0,0.0,0.0,32.0
2020-03-19,0.0,41.0,27.0,30.0,0.0,0.0,0.0,28.0,0.0,41.0
2020-03-20,0.0,0.0,0.0,29.0,0.0,0.0,50.0,27.0,0.0,18.0
2020-03-21,0.0,23.0,0.0,0.0,0.0,57.0,0.0,31.0,0.0,20.0
2020-03-22,0.0,0.0,30.0,32.0,0.0,0.0,0.0,0.0,0.0,30.0
2020-03-23,0.0,18.0,47.0,26.0,0.0,23.0,0.0,24.0,0.0,28.0
2020-03-24,0.0,20.0,26.0,28.0,0.0,25.0,0.0,0.0,0.0,31.0
2020-03-25,0.0,21.0,82.0,30.0,0.0,0.0,0.0,0.0,0.0,41.0
2020-03-26,77.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2020-03-27,0.0,20.0,26.0,0.0,0.0,25.0,49.0,27.0,0.0,20.0
2020-03-28,0.0,45.0,60.0,0.0,0.0,29.0,0.0,0.0,0.0,45.0
2020-03-29,0.0,21.0,28.0,31.0,0.0,27.0,54.0,29.0,0.0,24.0
2020-03-30,0.0,19.0,25.0,0.0,0.0,0.0,0.0,26.0,0.0,47.0
