,rap,rock,jazz	,blues,country,heavy metal,hip hop,classical music,bob marley,beatles
2020-03-08,30.0,72.0,55.0,30.0,61.0,0.0,23.0,47.0,33.0,45.0
2020-03-09,26.0,57.0,60.0,64.0,58.0,38.0,26.0,27.0,14.0,39.0
2020-03-10,31.0,52.0,100.0,56.0,65.0,19.0,26.0,27.0,0.0,44.0
2020-03-11,31.0,50.0,49.0,31.0,58.0,19.0,67.0,28.0,22.0,17.0
2020-03-12,22.0,47.0,91.0,23.0,67.0,19.0,39.0,53.0,14.0,22.0
2020-03-13,21.0,60.0,46.0,30.0,67.0,19.0,51.0,52.0,0.0,55.0
2020-03-14,24.0,66.0,45.0,33.0,73.0,33.0,61.0,0.0,0.0,46.0
2020-03-15,35.0,68.0,56.0,35.0,91.0,21.0,15.0,0.0,32.0,32.0
2020-03-16,22.0,52.0,19.0,23.0,73.0,0.0,26.0,27.0,0.0,22.0
2020-03-17,27.0,46.0,55.0,23.0,75.0,0.0,26.0,27.0,14.0,44.0
2020-03-18,26.0,44.0,46.0,18.0,79.0,19.0,52.0,54.0,57.0,28.0
2020-03-19,26.0,53.0,25.0,33.0,64.0,38.0,26.0,27.0,14.0,45.0
2020-03-20,29.0,57.0,19.0,25.0,83.0,18.0,38.0,0.0,14.0,43.0
2020-03-21,28.0,58.0,29.0,41.0,84.0,0.0,29.0,30.0,39.0,43.0
2020-03-22,31.0,56.0,29.0,46.0,94.0,21.0,21.0,59.0,15.0,49.0
2020-03-23,14.0,48.0,17.0,25.0,65.0,0.0,17.0,24.0,12.0,20.0
2020-03-24,31.0,48.0,29.0,27.0,72.0,36.0,19.0,26.0,14.0,27.0
2020-03-25,31.0,59.0,21.0,50.0,65.0,0.0,33.0,27.0,42.0,34.0
2020-03-26,17.0,46.0,28.0,40.0,76.0,0.0,13.0,0.0,28.0,61.0
2020-03-27,23.0,40.0,29.0,36.0,76.0,18.0,13.0,52.0,20.0,43.0
2020-03-28,17.0,58.0,27.0,31.0,100.0,21.0,29.0,29.0,16.0,68.0
2020-03-29,20.0,64.0,42.0,27.0,95.0,0.0,20.0,0.0,29.0,58.0
2020-03-30,21.0,59.0,21.0,28.0,81.0,53.0,30.0,25.0,13.0,52.0
2020-03-31,23.0,52.0,24.0,38.0,68.0,18.0,63.0,26.0,27.0,27.0
2020-04-01,22.0,49.0,25.0,22.0,76.0,0.0,12.0,25.0,13.0,21.0
2020-04-02,34.0,53.0,39.0,29.0,65.0,18.0,24.0,42.0,26.0,63.0
2020-04-03,31.0,52.0,80.0,45.0,69.0,0.0,25.0,26.0,0.0,48.0
