,blood pressure,hospitals near,dry cough,cancer symptoms,coronavirus symptoms,sore throat,HIV,health insurance,ambulance,fever
2020-03-07,33.0,95.0,34.0,0.0,14.0,49.0,32.0,32.0,26.0,22.0
2020-03-08,78.0,0.0,49.0,24.0,18.0,52.0,55.0,62.0,51.0,34.0
2020-03-09,54.0,79.0,28.0,0.0,21.0,23.0,24.0,53.0,22.0,30.0
2020-03-10,80.0,0.0,0.0,41.0,30.0,22.0,70.0,79.0,36.0,36.0
2020-03-11,55.0,0.0,29.0,0.0,46.0,28.0,36.0,37.0,56.0,28.0
2020-03-12,47.0,0.0,37.0,21.0,95.0,53.0,70.0,39.0,22.0,72.0
2020-03-13,46.0,77.0,46.0,20.0,100.0,96.0,75.0,39.0,32.0,71.0
2020-03-14,32.0,0.0,66.0,0.0,71.0,100.0,49.0,47.0,68.0,62.0
2020-03-15,46.0,0.0,64.0,0.0,57.0,81.0,67.0,60.0,58.0,85.0
2020-03-16,40.0,77.0,28.0,0.0,62.0,75.0,94.0,35.0,32.0,79.0
2020-03-17,20.0,0.0,37.0,21.0,48.0,67.0,100.0,53.0,22.0,100.0
2020-03-18,0.0,79.0,85.0,21.0,45.0,58.0,71.0,27.0,44.0,80.0
2020-03-19,34.0,0.0,85.0,21.0,37.0,67.0,62.0,80.0,66.0,66.0
2020-03-20,26.0,0.0,36.0,20.0,33.0,56.0,57.0,78.0,35.0,66.0
2020-03-21,52.0,0.0,41.0,23.0,32.0,84.0,46.0,29.0,48.0,68.0
2020-03-22,44.0,85.0,41.0,23.0,17.0,44.0,58.0,58.0,72.0,60.0
2020-03-23,12.0,0.0,74.0,36.0,28.0,43.0,47.0,58.0,45.0,66.0
2020-03-24,45.0,0.0,54.0,20.0,21.0,34.0,28.0,26.0,21.0,44.0
2020-03-25,27.0,0.0,100.0,21.0,25.0,50.0,24.0,54.0,44.0,57.0
2020-03-26,67.0,0.0,28.0,31.0,17.0,53.0,47.0,26.0,22.0,52.0
2020-03-27,71.0,0.0,36.0,0.0,8.0,47.0,40.0,51.0,49.0,59.0
2020-03-28,59.0,0.0,62.0,23.0,8.0,44.0,20.0,44.0,24.0,45.0
