,pilates,zumba,gym,aerobic,weight loss,yoga,jogging,squat,push-up,running
2020-03-08,18.0,67.0,27.0,0.0,28.0,61.0,44.0,43.0,0.0,69.0
2020-03-09,21.0,41.0,26.0,24.0,29.0,76.0,30.0,63.0,0.0,67.0
2020-03-10,26.0,48.0,32.0,23.0,24.0,54.0,44.0,24.0,0.0,68.0
2020-03-11,49.0,25.0,26.0,25.0,27.0,70.0,31.0,42.0,0.0,82.0
2020-03-12,16.0,16.0,30.0,0.0,20.0,58.0,25.0,18.0,0.0,47.0
2020-03-13,41.0,48.0,35.0,23.0,19.0,47.0,22.0,52.0,81.0,50.0
2020-03-14,38.0,29.0,44.0,55.0,21.0,52.0,29.0,58.0,0.0,46.0
2020-03-15,36.0,37.0,100.0,27.0,23.0,57.0,40.0,28.0,0.0,64.0
2020-03-16,52.0,40.0,58.0,0.0,17.0,44.0,20.0,49.0,82.0,50.0
2020-03-17,32.0,41.0,25.0,47.0,29.0,59.0,35.0,66.0,0.0,56.0
2020-03-18,32.0,41.0,25.0,24.0,16.0,43.0,30.0,58.0,85.0,57.0
2020-03-19,53.0,25.0,23.0,0.0,15.0,62.0,52.0,37.0,0.0,48.0
2020-03-20,36.0,40.0,15.0,0.0,11.0,68.0,34.0,40.0,0.0,69.0
2020-03-21,35.0,45.0,21.0,26.0,22.0,60.0,39.0,68.0,0.0,66.0
2020-03-22,29.0,63.0,19.0,0.0,27.0,59.0,57.0,63.0,0.0,71.0
2020-03-23,28.0,65.0,14.0,21.0,17.0,69.0,39.0,61.0,0.0,55.0
2020-03-24,25.0,47.0,13.0,23.0,15.0,64.0,43.0,79.0,80.0,42.0
2020-03-25,32.0,25.0,16.0,48.0,20.0,85.0,40.0,54.0,0.0,62.0
2020-03-26,26.0,24.0,18.0,35.0,26.0,74.0,49.0,57.0,0.0,66.0
2020-03-27,31.0,47.0,12.0,23.0,30.0,63.0,48.0,71.0,0.0,77.0
2020-03-28,23.0,45.0,16.0,0.0,27.0,57.0,57.0,81.0,91.0,88.0
2020-03-29,22.0,34.0,16.0,25.0,12.0,66.0,31.0,69.0,0.0,68.0
2020-03-30,44.0,15.0,14.0,22.0,23.0,72.0,37.0,77.0,78.0,55.0
2020-03-31,20.0,70.0,15.0,23.0,28.0,65.0,43.0,91.0,81.0,67.0
2020-04-01,25.0,76.0,18.0,22.0,27.0,66.0,47.0,58.0,0.0,56.0
2020-04-02,29.0,38.0,19.0,22.0,26.0,79.0,23.0,57.0,0.0,54.0
2020-04-03,15.0,46.0,14.0,34.0,19.0,55.0,64.0,55.0,0.0,63.0
2020-04-04,53.0,100.0,14.0,0.0,34.0,59.0,67.0,48.0,0.0,70.0
2020-04-05,22.0,33.0,16.0,0.0,32.0,64.0,66.0,63.0,0.0,64.0
2020-04-06,24.0,44.0,15.0,21.0,42.0,51.0,54.0,74.0,75.0,83.0
2020-04-07,44.0,31.0,10.0,22.0,23.0,52.0,93.0,69.0,0.0,71.0
2020-04-08,29.0,30.0,11.0,22.0,24.0,56.0,91.0,75.0,0.0,83.0
2020-04-09,56.0,51.0,14.0,21.0,16.0,48.0,71.0,58.0,74.0,63.0
2020-04-10,31.0,55.0,18.0,23.0,23.0,64.0,53.0,44.0,0.0,67.0
2020-04-11,54.0,42.0,14.0,0.0,29.0,65.0,84.0,63.0,0.0,73.0
2020-04-12,26.0,89.0,20.0,0.0,22.0,55.0,70.0,49.0,0.0,59.0
2020-04-13,30.0,77.0,15.0,22.0,31.0,68.0,61.0,97.0,0.0,96.0
2020-04-14,29.0,60.0,12.0,32.0,34.0,53.0,100.0,64.0,77.0,67.0
2020-04-15,29.0,52.0,14.0,22.0,22.0,62.0,62.0,87.0,0.0,76.0
2020-04-16,39.0,53.0,15.0,0.0,22.0,67.0,83.0,80.0,0.0,63.0
2020-04-17,30.0,31.0,12.0,0.0,25.0,52.0,70.0,100.0,0.0,65.0
