,funeral,death,coffin,dead,cremation,after death,heaven ,murder,hell,soul
2020-03-08,41.0,40.0,24.0,32.0,40.0,40.0,68.0,6.0,54.0,59.0
2020-03-09,36.0,44.0,62.0,26.0,0.0,69.0,47.0,9.0,22.0,55.0
2020-03-10,47.0,39.0,20.0,27.0,35.0,0.0,19.0,22.0,39.0,55.0
2020-03-11,66.0,51.0,49.0,26.0,36.0,0.0,44.0,12.0,40.0,36.0
2020-03-12,41.0,66.0,0.0,27.0,0.0,100.0,27.0,13.0,35.0,33.0
2020-03-13,47.0,63.0,0.0,31.0,0.0,33.0,45.0,8.0,35.0,29.0
2020-03-14,45.0,59.0,36.0,32.0,41.0,0.0,41.0,11.0,68.0,42.0
2020-03-15,40.0,69.0,0.0,39.0,60.0,0.0,76.0,17.0,41.0,60.0
2020-03-16,63.0,68.0,40.0,43.0,34.0,34.0,73.0,18.0,42.0,40.0
2020-03-17,38.0,65.0,20.0,27.0,35.0,67.0,58.0,18.0,32.0,50.0
2020-03-18,36.0,67.0,41.0,32.0,35.0,34.0,67.0,11.0,25.0,39.0
2020-03-19,26.0,65.0,20.0,32.0,70.0,0.0,31.0,14.0,50.0,30.0
2020-03-20,47.0,61.0,40.0,31.0,34.0,33.0,30.0,16.0,59.0,42.0
2020-03-21,57.0,80.0,23.0,44.0,0.0,0.0,60.0,15.0,71.0,49.0
2020-03-22,56.0,77.0,37.0,42.0,38.0,56.0,68.0,14.0,43.0,39.0
2020-03-23,45.0,59.0,18.0,33.0,61.0,30.0,31.0,7.0,31.0,39.0
2020-03-24,28.0,52.0,59.0,37.0,0.0,32.0,45.0,10.0,58.0,64.0
2020-03-25,23.0,55.0,21.0,34.0,0.0,0.0,39.0,8.0,50.0,49.0
2020-03-26,32.0,54.0,20.0,42.0,34.0,34.0,27.0,16.0,42.0,33.0
2020-03-27,31.0,57.0,39.0,34.0,34.0,0.0,68.0,13.0,55.0,32.0
2020-03-28,39.0,78.0,0.0,41.0,57.0,37.0,94.0,25.0,51.0,61.0
2020-03-29,27.0,63.0,32.0,36.0,36.0,35.0,49.0,23.0,75.0,70.0
2020-03-30,21.0,56.0,19.0,46.0,32.0,0.0,65.0,19.0,43.0,52.0
2020-03-31,52.0,56.0,39.0,29.0,33.0,32.0,37.0,17.0,41.0,52.0
2020-04-01,33.0,53.0,19.0,31.0,32.0,32.0,47.0,16.0,60.0,47.0
2020-04-02,39.0,56.0,28.0,38.0,32.0,31.0,43.0,15.0,36.0,67.0
2020-04-03,43.0,64.0,32.0,31.0,0.0,33.0,37.0,17.0,58.0,48.0
2020-04-04,25.0,66.0,23.0,37.0,0.0,38.0,78.0,28.0,44.0,50.0
2020-04-05,46.0,65.0,42.0,41.0,36.0,69.0,71.0,23.0,47.0,68.0
2020-04-06,23.0,52.0,37.0,38.0,0.0,31.0,53.0,17.0,22.0,55.0
2020-04-07,48.0,46.0,32.0,40.0,33.0,63.0,47.0,17.0,56.0,49.0
2020-04-08,56.0,49.0,25.0,29.0,48.0,32.0,57.0,17.0,49.0,56.0
2020-04-09,48.0,53.0,100.0,35.0,46.0,30.0,38.0,19.0,67.0,54.0
2020-04-10,62.0,55.0,65.0,37.0,33.0,33.0,79.0,15.0,58.0,66.0
2020-04-11,36.0,67.0,28.0,46.0,35.0,35.0,60.0,22.0,59.0,57.0
2020-04-12,45.0,73.0,33.0,43.0,0.0,37.0,72.0,23.0,81.0,69.0
2020-04-13,48.0,51.0,45.0,51.0,65.0,0.0,51.0,20.0,67.0,37.0
2020-04-14,58.0,44.0,43.0,37.0,0.0,62.0,39.0,14.0,55.0,49.0
2020-04-15,41.0,46.0,44.0,25.0,32.0,31.0,36.0,14.0,69.0,44.0
2020-04-16,36.0,47.0,47.0,35.0,54.0,31.0,72.0,19.0,66.0,45.0
2020-04-17,51.0,52.0,38.0,33.0,32.0,0.0,84.0,16.0,60.0,38.0
2020-04-18,58.0,50.0,51.0,38.0,100.0,0.0,46.0,14.0,46.0,44.0
2020-04-19,38.0,54.0,40.0,36.0,34.0,33.0,81.0,15.0,53.0,72.0
2020-04-20,47.0,41.0,50.0,32.0,32.0,31.0,29.0,14.0,52.0,51.0
2020-04-21,40.0,37.0,61.0,35.0,31.0,30.0,52.0,19.0,39.0,44.0
2020-04-22,53.0,48.0,43.0,40.0,64.0,0.0,46.0,13.0,55.0,44.0
2020-04-23,60.0,40.0,44.0,34.0,0.0,32.0,58.0,13.0,46.0,40.0
2020-04-24,47.0,45.0,60.0,33.0,67.0,33.0,76.0,24.0,56.0,60.0
2020-04-25,68.0,87.0,57.0,85.0,0.0,76.0,83.0,13.0,60.0,46.0
2020-04-26,67.0,89.0,57.0,100.0,37.0,0.0,94.0,22.0,86.0,55.0
2020-04-27,47.0,39.0,62.0,44.0,32.0,62.0,43.0,16.0,55.0,49.0
2020-04-28,55.0,48.0,65.0,31.0,67.0,0.0,52.0,15.0,55.0,50.0
2020-04-29,53.0,50.0,53.0,36.0,0.0,33.0,38.0,16.0,49.0,31.0
2020-04-30,62.0,45.0,71.0,38.0,30.0,0.0,61.0,12.0,37.0,54.0
2020-05-01,46.0,40.0,39.0,25.0,33.0,0.0,63.0,13.0,47.0,46.0
2020-05-02,47.0,41.0,46.0,36.0,39.0,38.0,57.0,22.0,60.0,67.0
2020-05-03,56.0,52.0,55.0,38.0,37.0,0.0,50.0,72.0,100.0,50.0
2020-05-04,23.0,43.0,55.0,34.0,0.0,30.0,52.0,78.0,58.0,50.0
2020-05-05,33.0,35.0,59.0,30.0,60.0,0.0,47.0,100.0,55.0,50.0
2020-05-06,52.0,39.0,58.0,32.0,0.0,33.0,37.0,81.0,36.0,46.0
2020-05-07,43.0,38.0,48.0,30.0,33.0,32.0,33.0,53.0,41.0,46.0
2020-05-08,36.0,42.0,51.0,30.0,33.0,32.0,73.0,42.0,34.0,47.0
