,salt,cumin,black pepper,cinnamon,turmeric,fennel,ginger,nutmeg,oregano,curry
2020-03-08,48.0,76.0,48.0,43.0,0.0,39.0,87.0,42.0,58.0,100.0
2020-03-09,51.0,35.0,0.0,28.0,36.0,23.0,50.0,36.0,25.0,49.0
2020-03-10,43.0,39.0,0.0,18.0,47.0,22.0,45.0,0.0,49.0,60.0
2020-03-11,46.0,27.0,43.0,28.0,37.0,23.0,51.0,37.0,26.0,45.0
2020-03-12,30.0,26.0,0.0,18.0,23.0,34.0,25.0,35.0,50.0,44.0
2020-03-13,22.0,25.0,0.0,22.0,46.0,22.0,30.0,0.0,24.0,32.0
2020-03-14,35.0,41.0,49.0,49.0,83.0,79.0,88.0,42.0,74.0,69.0
2020-03-15,26.0,30.0,0.0,53.0,54.0,43.0,52.0,41.0,29.0,80.0
2020-03-16,24.0,39.0,0.0,23.0,0.0,22.0,65.0,0.0,74.0,46.0
2020-03-17,39.0,26.0,0.0,37.0,0.0,0.0,45.0,36.0,37.0,42.0
2020-03-18,45.0,44.0,0.0,28.0,0.0,0.0,50.0,36.0,25.0,40.0
2020-03-19,37.0,39.0,83.0,35.0,36.0,0.0,50.0,0.0,33.0,28.0
2020-03-20,27.0,76.0,0.0,40.0,23.0,22.0,60.0,35.0,49.0,72.0
2020-03-21,56.0,29.0,0.0,66.0,26.0,0.0,59.0,40.0,0.0,46.0
2020-03-22,41.0,57.0,0.0,76.0,78.0,0.0,88.0,58.0,27.0,74.0
2020-03-23,43.0,79.0,0.0,49.0,62.0,30.0,33.0,31.0,22.0,45.0
2020-03-24,38.0,25.0,0.0,44.0,23.0,43.0,48.0,0.0,36.0,40.0
2020-03-25,42.0,26.0,0.0,23.0,24.0,23.0,54.0,36.0,34.0,42.0
2020-03-26,35.0,60.0,41.0,27.0,35.0,34.0,78.0,36.0,25.0,44.0
2020-03-27,60.0,25.0,40.0,58.0,23.0,33.0,72.0,35.0,49.0,54.0
2020-03-28,62.0,57.0,0.0,66.0,26.0,33.0,68.0,39.0,28.0,46.0
2020-03-29,43.0,82.0,43.0,92.0,50.0,47.0,65.0,0.0,39.0,61.0
2020-03-30,35.0,32.0,0.0,56.0,22.0,21.0,62.0,33.0,23.0,73.0
2020-03-31,47.0,75.0,40.0,44.0,45.0,22.0,63.0,0.0,48.0,31.0
2020-04-01,47.0,24.0,0.0,52.0,33.0,32.0,66.0,33.0,35.0,50.0
2020-04-02,41.0,48.0,38.0,68.0,22.0,21.0,57.0,33.0,23.0,51.0
2020-04-03,32.0,25.0,39.0,96.0,56.0,0.0,51.0,68.0,23.0,57.0
2020-04-04,48.0,29.0,92.0,51.0,40.0,100.0,64.0,40.0,28.0,64.0
2020-04-05,40.0,54.0,84.0,85.0,72.0,31.0,55.0,73.0,26.0,78.0
2020-04-06,35.0,23.0,0.0,54.0,43.0,20.0,45.0,32.0,45.0,48.0
2020-04-07,47.0,49.0,0.0,60.0,22.0,21.0,88.0,33.0,35.0,54.0
2020-04-08,45.0,24.0,0.0,63.0,55.0,20.0,26.0,0.0,23.0,45.0
2020-04-09,35.0,35.0,37.0,57.0,21.0,40.0,48.0,42.0,45.0,47.0
2020-04-10,45.0,50.0,40.0,84.0,23.0,43.0,60.0,52.0,0.0,62.0
2020-04-11,31.0,27.0,43.0,85.0,36.0,46.0,76.0,73.0,26.0,45.0
2020-04-12,61.0,57.0,0.0,95.0,77.0,24.0,76.0,58.0,0.0,71.0
2020-04-13,35.0,24.0,0.0,39.0,56.0,32.0,54.0,56.0,47.0,48.0
2020-04-14,39.0,48.0,38.0,55.0,22.0,0.0,45.0,0.0,23.0,27.0
2020-04-15,31.0,48.0,38.0,34.0,43.0,21.0,62.0,98.0,46.0,76.0
2020-04-16,50.0,36.0,38.0,43.0,44.0,21.0,30.0,33.0,23.0,60.0
2020-04-17,44.0,41.0,0.0,73.0,44.0,35.0,69.0,67.0,31.0,48.0
2020-04-18,58.0,42.0,44.0,84.0,51.0,24.0,71.0,96.0,27.0,65.0
2020-04-19,48.0,34.0,0.0,92.0,23.0,22.0,53.0,35.0,25.0,78.0
2020-04-20,38.0,48.0,38.0,42.0,22.0,31.0,42.0,33.0,0.0,51.0
2020-04-21,49.0,23.0,37.0,50.0,21.0,27.0,37.0,0.0,23.0,63.0
2020-04-22,38.0,63.0,0.0,67.0,65.0,0.0,60.0,33.0,31.0,66.0
2020-04-23,43.0,36.0,39.0,51.0,66.0,31.0,65.0,66.0,31.0,34.0
2020-04-24,49.0,38.0,0.0,45.0,23.0,33.0,56.0,35.0,24.0,52.0
2020-04-25,61.0,73.0,0.0,41.0,80.0,25.0,51.0,40.0,56.0,49.0
2020-04-26,39.0,27.0,0.0,82.0,50.0,24.0,61.0,56.0,53.0,76.0
2020-04-27,56.0,32.0,38.0,59.0,32.0,21.0,68.0,0.0,23.0,40.0
2020-04-28,39.0,25.0,39.0,53.0,45.0,32.0,36.0,0.0,24.0,44.0
2020-04-29,33.0,51.0,0.0,45.0,35.0,22.0,28.0,0.0,37.0,61.0
2020-04-30,47.0,34.0,36.0,60.0,41.0,20.0,76.0,0.0,22.0,59.0
2020-05-01,50.0,49.0,39.0,70.0,34.0,21.0,51.0,34.0,24.0,37.0
