,comedy,romantic,thriller,science fiction,horror,documentary,adventure,mystery,drama	,action
2020-03-08,70.0,30.0,41.0,48.0,57.0,66.0,50.0,80.0,59.0,31.0
2020-03-09,52.0,26.0,54.0,83.0,53.0,61.0,70.0,70.0,38.0,89.0
2020-03-10,62.0,26.0,17.0,54.0,36.0,72.0,43.0,44.0,88.0,78.0
2020-03-11,77.0,31.0,18.0,0.0,54.0,46.0,42.0,74.0,43.0,66.0
2020-03-12,41.0,30.0,17.0,40.0,36.0,36.0,31.0,34.0,25.0,89.0
2020-03-13,45.0,34.0,17.0,27.0,48.0,20.0,59.0,33.0,37.0,88.0
2020-03-14,60.0,36.0,28.0,65.0,58.0,71.0,75.0,77.0,85.0,59.0
2020-03-15,37.0,25.0,34.0,63.0,68.0,74.0,86.0,59.0,68.0,49.0
2020-03-16,37.0,17.0,17.0,27.0,42.0,48.0,28.0,54.0,75.0,100.0
2020-03-17,69.0,64.0,26.0,41.0,52.0,40.0,72.0,48.0,63.0,80.0
2020-03-18,52.0,39.0,41.0,55.0,40.0,49.0,41.0,38.0,43.0,83.0
2020-03-19,63.0,48.0,35.0,41.0,40.0,73.0,61.0,34.0,55.0,77.0
2020-03-20,81.0,25.0,68.0,27.0,51.0,43.0,45.0,57.0,53.0,88.0
2020-03-21,54.0,38.0,39.0,91.0,40.0,76.0,54.0,38.0,75.0,46.0
2020-03-22,76.0,61.0,51.0,45.0,43.0,57.0,88.0,83.0,92.0,44.0
2020-03-23,49.0,39.0,36.0,32.0,38.0,42.0,61.0,45.0,55.0,85.0
2020-03-24,40.0,33.0,23.0,39.0,69.0,35.0,47.0,63.0,61.0,86.0
2020-03-25,71.0,39.0,18.0,42.0,23.0,37.0,55.0,35.0,85.0,89.0
2020-03-26,46.0,13.0,0.0,27.0,82.0,44.0,51.0,54.0,42.0,77.0
2020-03-27,49.0,31.0,34.0,27.0,67.0,66.0,58.0,36.0,65.0,77.0
2020-03-28,92.0,28.0,29.0,45.0,36.0,80.0,60.0,45.0,79.0,51.0
2020-03-29,59.0,47.0,18.0,29.0,62.0,51.0,63.0,65.0,71.0,40.0
2020-03-30,61.0,28.0,25.0,26.0,46.0,60.0,75.0,45.0,55.0,63.0
2020-03-31,53.0,25.0,67.0,39.0,54.0,73.0,50.0,43.0,61.0,64.0
2020-04-01,57.0,40.0,33.0,26.0,58.0,49.0,62.0,16.0,83.0,79.0
2020-04-02,43.0,18.0,25.0,25.0,67.0,41.0,88.0,35.0,58.0,68.0
2020-04-03,62.0,31.0,17.0,26.0,84.0,65.0,52.0,46.0,80.0,75.0
2020-04-04,67.0,38.0,69.0,61.0,66.0,63.0,67.0,57.0,75.0,49.0
2020-04-05,62.0,35.0,24.0,42.0,67.0,94.0,100.0,60.0,52.0,41.0
2020-04-06,67.0,23.0,32.0,37.0,44.0,33.0,39.0,34.0,65.0,69.0
2020-04-07,43.0,24.0,41.0,26.0,55.0,45.0,35.0,64.0,82.0,69.0
2020-04-08,21.0,43.0,40.0,50.0,60.0,44.0,55.0,38.0,70.0,76.0
2020-04-09,21.0,31.0,21.0,49.0,35.0,43.0,56.0,15.0,49.0,69.0
2020-04-10,54.0,41.0,34.0,26.0,89.0,70.0,50.0,56.0,41.0,49.0
2020-04-11,81.0,53.0,54.0,56.0,81.0,78.0,65.0,46.0,78.0,42.0
2020-04-12,96.0,37.0,38.0,30.0,79.0,65.0,81.0,52.0,69.0,43.0
2020-04-13,52.0,57.0,39.0,43.0,40.0,64.0,78.0,39.0,67.0,52.0
2020-04-14,59.0,43.0,64.0,50.0,57.0,92.0,34.0,44.0,58.0,72.0
2020-04-15,38.0,47.0,21.0,0.0,42.0,52.0,58.0,35.0,66.0,59.0
2020-04-16,65.0,36.0,41.0,0.0,55.0,74.0,61.0,64.0,93.0,72.0
2020-04-17,46.0,30.0,17.0,26.0,80.0,79.0,40.0,29.0,75.0,67.0
2020-04-18,60.0,32.0,29.0,29.0,60.0,56.0,90.0,44.0,77.0,46.0
2020-04-19,51.0,38.0,35.0,54.0,95.0,96.0,74.0,38.0,67.0,32.0
2020-04-20,47.0,41.0,32.0,25.0,45.0,70.0,66.0,73.0,66.0,72.0
2020-04-21,50.0,27.0,26.0,37.0,30.0,54.0,62.0,40.0,57.0,65.0
2020-04-22,42.0,31.0,27.0,38.0,77.0,66.0,47.0,53.0,77.0,72.0
2020-04-23,43.0,40.0,16.0,25.0,31.0,52.0,45.0,51.0,74.0,62.0
2020-04-24,45.0,21.0,17.0,27.0,45.0,59.0,73.0,60.0,57.0,59.0
2020-04-25,37.0,39.0,30.0,31.0,52.0,81.0,81.0,46.0,80.0,35.0
2020-04-26,59.0,14.0,28.0,38.0,48.0,63.0,73.0,69.0,80.0,40.0
2020-04-27,55.0,43.0,32.0,37.0,45.0,81.0,61.0,35.0,62.0,58.0
2020-04-28,67.0,31.0,34.0,26.0,47.0,65.0,61.0,26.0,97.0,56.0
2020-04-29,45.0,13.0,40.0,36.0,39.0,59.0,51.0,34.0,66.0,61.0
2020-04-30,69.0,49.0,36.0,24.0,46.0,95.0,60.0,54.0,59.0,60.0
2020-05-01,40.0,29.0,50.0,26.0,44.0,76.0,44.0,39.0,100.0,65.0
2020-05-02,58.0,24.0,100.0,31.0,74.0,100.0,88.0,43.0,81.0,38.0
2020-05-03,40.0,33.0,38.0,58.0,53.0,87.0,87.0,100.0,55.0,27.0
2020-05-04,33.0,39.0,16.0,49.0,35.0,47.0,41.0,40.0,72.0,63.0
2020-05-05,40.0,41.0,15.0,35.0,48.0,49.0,70.0,44.0,69.0,61.0
2020-05-06,53.0,16.0,39.0,26.0,44.0,73.0,38.0,36.0,84.0,68.0
2020-05-07,35.0,37.0,17.0,91.0,44.0,80.0,63.0,23.0,72.0,63.0
2020-05-08,40.0,37.0,17.0,26.0,31.0,87.0,49.0,65.0,60.0,62.0
2020-05-09,66.0,66.0,36.0,28.0,100.0,69.0,47.0,38.0,85.0,41.0
2020-05-10,57.0,40.0,27.0,28.0,54.0,79.0,77.0,42.0,56.0,36.0
2020-05-11,47.0,24.0,54.0,34.0,58.0,56.0,42.0,35.0,51.0,66.0
2020-05-12,51.0,28.0,24.0,38.0,49.0,52.0,40.0,35.0,66.0,60.0
2020-05-13,40.0,32.0,50.0,26.0,25.0,15.0,82.0,42.0,52.0,62.0
2020-05-14,13.0,33.0,22.0,52.0,38.0,54.0,58.0,43.0,72.0,61.0
2020-05-15,65.0,20.0,33.0,26.0,37.0,75.0,62.0,38.0,75.0,63.0
2020-05-16,37.0,24.0,40.0,61.0,70.0,68.0,52.0,54.0,66.0,49.0
2020-05-17,64.0,45.0,51.0,31.0,76.0,74.0,46.0,44.0,73.0,43.0
2020-05-18,29.0,41.0,46.0,86.0,62.0,84.0,73.0,40.0,71.0,49.0
2020-05-19,57.0,30.0,25.0,51.0,49.0,79.0,49.0,23.0,59.0,82.0
2020-05-20,60.0,50.0,39.0,26.0,44.0,42.0,52.0,26.0,65.0,67.0
2020-05-21,36.0,38.0,34.0,0.0,36.0,71.0,51.0,67.0,50.0,67.0
