,orange line,green line,yellow line,blue line,STM,uber,taxi,cab	,bus,bixi
2020-03-08,30.0,31.0,0.0,36.0,52.0,56.0,29.0,49.0,62.0,0.0
2020-03-09,0.0,0.0,0.0,62.0,46.0,64.0,21.0,57.0,69.0,0.0
2020-03-10,52.0,0.0,90.0,30.0,57.0,35.0,18.0,75.0,72.0,28.0
2020-03-11,0.0,28.0,95.0,32.0,65.0,43.0,20.0,30.0,62.0,0.0
2020-03-12,0.0,0.0,91.0,45.0,61.0,45.0,20.0,29.0,59.0,19.0
2020-03-13,38.0,0.0,0.0,60.0,58.0,50.0,20.0,55.0,47.0,18.0
2020-03-14,31.0,0.0,0.0,36.0,50.0,46.0,28.0,49.0,38.0,23.0
2020-03-15,0.0,31.0,0.0,35.0,30.0,50.0,24.0,43.0,35.0,22.0
2020-03-16,77.0,26.0,0.0,30.0,37.0,69.0,16.0,50.0,40.0,19.0
2020-03-17,0.0,40.0,0.0,0.0,40.0,78.0,12.0,42.0,39.0,0.0
2020-03-18,26.0,54.0,0.0,31.0,31.0,76.0,10.0,42.0,33.0,19.0
2020-03-19,0.0,0.0,92.0,31.0,30.0,85.0,15.0,46.0,32.0,29.0
2020-03-20,25.0,0.0,0.0,59.0,26.0,83.0,12.0,32.0,27.0,0.0
2020-03-21,0.0,30.0,0.0,34.0,32.0,83.0,12.0,42.0,28.0,21.0
2020-03-22,0.0,0.0,0.0,33.0,24.0,77.0,13.0,21.0,20.0,63.0
2020-03-23,23.0,35.0,0.0,0.0,32.0,69.0,11.0,22.0,29.0,0.0
2020-03-24,0.0,0.0,0.0,29.0,25.0,72.0,10.0,40.0,28.0,0.0
2020-03-25,0.0,27.0,0.0,31.0,28.0,81.0,11.0,46.0,29.0,19.0
2020-03-26,0.0,0.0,0.0,30.0,24.0,85.0,11.0,75.0,37.0,19.0
2020-03-27,25.0,0.0,0.0,0.0,33.0,78.0,12.0,52.0,28.0,18.0
2020-03-28,0.0,0.0,0.0,0.0,17.0,83.0,11.0,48.0,20.0,0.0
2020-03-29,0.0,0.0,0.0,32.0,21.0,67.0,13.0,31.0,32.0,20.0
2020-03-30,0.0,25.0,0.0,0.0,38.0,56.0,13.0,27.0,28.0,0.0
2020-03-31,0.0,0.0,0.0,29.0,25.0,57.0,13.0,20.0,25.0,0.0
2020-04-01,0.0,25.0,0.0,28.0,28.0,70.0,9.0,41.0,28.0,53.0
2020-04-02,0.0,0.0,0.0,28.0,30.0,59.0,9.0,15.0,21.0,71.0
2020-04-03,25.0,26.0,0.0,29.0,39.0,73.0,13.0,32.0,19.0,37.0
2020-04-04,0.0,0.0,0.0,0.0,24.0,91.0,13.0,21.0,25.0,42.0
2020-04-05,0.0,28.0,0.0,0.0,16.0,58.0,12.0,13.0,20.0,19.0
2020-04-06,0.0,0.0,0.0,28.0,20.0,70.0,9.0,19.0,23.0,17.0
2020-04-07,0.0,0.0,0.0,28.0,18.0,65.0,10.0,31.0,17.0,18.0
2020-04-08,0.0,0.0,0.0,42.0,19.0,77.0,10.0,38.0,19.0,35.0
2020-04-09,0.0,24.0,81.0,27.0,18.0,70.0,13.0,41.0,19.0,25.0
2020-04-10,0.0,0.0,0.0,29.0,10.0,67.0,12.0,32.0,26.0,37.0
2020-04-11,27.0,0.0,0.0,32.0,12.0,63.0,14.0,51.0,21.0,0.0
2020-04-12,0.0,0.0,100.0,0.0,12.0,73.0,14.0,36.0,22.0,41.0
2020-04-13,0.0,25.0,0.0,29.0,23.0,69.0,11.0,63.0,17.0,18.0
2020-04-14,0.0,0.0,0.0,0.0,11.0,63.0,10.0,38.0,21.0,52.0
2020-04-15,0.0,25.0,0.0,28.0,17.0,63.0,15.0,38.0,24.0,52.0
2020-04-16,0.0,75.0,0.0,42.0,18.0,60.0,10.0,31.0,21.0,18.0
2020-04-17,24.0,0.0,0.0,29.0,15.0,74.0,14.0,51.0,19.0,27.0
2020-04-18,0.0,0.0,0.0,33.0,13.0,76.0,16.0,27.0,23.0,41.0
2020-04-19,0.0,0.0,0.0,0.0,19.0,82.0,18.0,37.0,19.0,47.0
2020-04-20,0.0,25.0,0.0,28.0,23.0,59.0,8.0,52.0,22.0,35.0
2020-04-21,0.0,24.0,0.0,27.0,20.0,60.0,11.0,38.0,20.0,17.0
2020-04-22,0.0,25.0,0.0,56.0,17.0,62.0,12.0,46.0,20.0,17.0
2020-04-23,0.0,0.0,0.0,28.0,17.0,68.0,10.0,27.0,21.0,35.0
2020-04-24,0.0,0.0,0.0,0.0,26.0,90.0,12.0,33.0,17.0,19.0
2020-04-25,0.0,0.0,0.0,34.0,12.0,74.0,14.0,42.0,30.0,75.0
2020-04-26,0.0,28.0,0.0,48.0,14.0,56.0,15.0,31.0,17.0,40.0
2020-04-27,0.0,0.0,0.0,28.0,20.0,54.0,10.0,46.0,17.0,52.0
2020-04-28,0.0,0.0,0.0,29.0,15.0,56.0,10.0,40.0,22.0,18.0
2020-04-29,0.0,0.0,0.0,0.0,13.0,61.0,10.0,25.0,20.0,84.0
2020-04-30,0.0,0.0,0.0,27.0,17.0,84.0,14.0,48.0,24.0,0.0
2020-05-01,0.0,25.0,0.0,43.0,19.0,70.0,15.0,24.0,20.0,36.0
2020-05-02,0.0,0.0,0.0,52.0,20.0,75.0,17.0,24.0,30.0,86.0
2020-05-03,0.0,0.0,0.0,33.0,21.0,75.0,14.0,36.0,24.0,83.0
2020-05-04,0.0,0.0,0.0,0.0,21.0,50.0,14.0,56.0,29.0,26.0
2020-05-05,0.0,0.0,0.0,0.0,26.0,56.0,12.0,43.0,21.0,33.0
2020-05-06,0.0,26.0,0.0,29.0,25.0,74.0,12.0,32.0,18.0,18.0
2020-05-07,0.0,38.0,0.0,29.0,26.0,68.0,11.0,40.0,24.0,45.0
2020-05-08,0.0,25.0,87.0,43.0,21.0,73.0,16.0,65.0,25.0,18.0
2020-05-09,27.0,0.0,0.0,31.0,19.0,79.0,16.0,38.0,25.0,58.0
2020-05-10,0.0,0.0,0.0,0.0,15.0,89.0,22.0,39.0,21.0,39.0
2020-05-11,0.0,0.0,0.0,0.0,22.0,55.0,13.0,46.0,27.0,18.0
2020-05-12,0.0,25.0,0.0,28.0,27.0,44.0,10.0,41.0,24.0,26.0
2020-05-13,0.0,25.0,87.0,29.0,21.0,61.0,7.0,53.0,22.0,27.0
2020-05-14,25.0,52.0,0.0,29.0,24.0,61.0,12.0,52.0,23.0,46.0
2020-05-15,0.0,25.0,0.0,28.0,12.0,96.0,16.0,31.0,23.0,36.0
2020-05-16,0.0,0.0,0.0,0.0,15.0,64.0,12.0,47.0,23.0,75.0
2020-05-17,0.0,0.0,0.0,35.0,21.0,68.0,18.0,58.0,19.0,99.0
2020-05-18,0.0,0.0,0.0,32.0,21.0,79.0,10.0,48.0,23.0,100.0
2020-05-19,0.0,25.0,0.0,0.0,26.0,63.0,11.0,55.0,22.0,62.0
2020-05-20,0.0,26.0,0.0,29.0,25.0,64.0,10.0,48.0,25.0,55.0
2020-05-21,0.0,26.0,0.0,30.0,25.0,47.0,13.0,29.0,26.0,75.0
