,bangs,hairstyle,haircut,beard,mullet,moustache,shave,buzz cut,afro,shaving
2020-03-08,0.0,34.0,48.0,28.0,0.0,43.0,36.0,54.0,63.0,96.0
2020-03-09,28.0,39.0,45.0,27.0,35.0,31.0,21.0,0.0,34.0,28.0
2020-03-10,55.0,39.0,57.0,26.0,68.0,27.0,20.0,0.0,61.0,28.0
2020-03-11,28.0,100.0,50.0,22.0,53.0,47.0,52.0,0.0,52.0,29.0
2020-03-12,55.0,19.0,65.0,55.0,0.0,55.0,60.0,0.0,20.0,28.0
2020-03-13,26.0,0.0,36.0,10.0,0.0,18.0,20.0,0.0,39.0,0.0
2020-03-14,48.0,23.0,48.0,46.0,0.0,65.0,24.0,0.0,24.0,0.0
2020-03-15,31.0,22.0,42.0,36.0,39.0,63.0,23.0,0.0,48.0,63.0
2020-03-16,27.0,0.0,43.0,16.0,0.0,36.0,20.0,30.0,40.0,27.0
2020-03-17,27.0,0.0,45.0,26.0,34.0,0.0,40.0,0.0,40.0,28.0
2020-03-18,28.0,39.0,53.0,19.0,0.0,28.0,41.0,31.0,21.0,28.0
2020-03-19,27.0,19.0,20.0,21.0,0.0,25.0,20.0,0.0,20.0,28.0
2020-03-20,66.0,28.0,36.0,26.0,67.0,48.0,20.0,0.0,0.0,0.0
2020-03-21,71.0,43.0,32.0,26.0,0.0,0.0,45.0,0.0,45.0,31.0
2020-03-22,50.0,21.0,40.0,26.0,0.0,0.0,67.0,0.0,37.0,0.0
2020-03-23,24.0,17.0,46.0,28.0,30.0,32.0,36.0,27.0,35.0,37.0
2020-03-24,39.0,56.0,12.0,23.0,33.0,53.0,58.0,0.0,39.0,0.0
2020-03-25,82.0,0.0,31.0,43.0,35.0,50.0,31.0,0.0,21.0,28.0
2020-03-26,41.0,29.0,20.0,35.0,34.0,36.0,81.0,30.0,20.0,41.0
2020-03-27,53.0,19.0,47.0,26.0,67.0,41.0,39.0,30.0,26.0,27.0
2020-03-28,91.0,0.0,49.0,29.0,57.0,61.0,100.0,51.0,30.0,30.0
2020-03-29,29.0,20.0,47.0,25.0,72.0,19.0,74.0,32.0,28.0,44.0
2020-03-30,77.0,18.0,42.0,27.0,32.0,34.0,47.0,0.0,19.0,77.0
2020-03-31,39.0,19.0,47.0,23.0,50.0,35.0,19.0,0.0,39.0,53.0
2020-04-01,51.0,18.0,34.0,32.0,32.0,17.0,28.0,0.0,44.0,52.0
2020-04-02,34.0,18.0,30.0,34.0,64.0,40.0,38.0,28.0,19.0,26.0
