,Rencontre,tinder,Bumble,Happn,Charnière,en ligne Rencontre,Facebook dating,Coffee Meets Bagel,sugar daddy,OKCupid
2020-03-07,60.0,73.0,56.0,0.0,17.0,0.0,97.0,0.0,55.0,31.0
2020-03-08,64.0,54.0,36.0,0.0,16.0,0.0,0.0,0.0,48.0,30.0
2020-03-09,55.0,75.0,24.0,82.0,0.0,45.0,0.0,0.0,69.0,26.0
2020-03-10,41.0,46.0,15.0,80.0,0.0,0.0,40.0,0.0,27.0,26.0
2020-03-11,54.0,72.0,21.0,0.0,14.0,45.0,0.0,0.0,0.0,80.0
2020-03-12,38.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,26.0
2020-03-13,52.0,45.0,15.0,0.0,0.0,0.0,0.0,80.0,27.0,50.0
2020-03-14,47.0,37.0,31.0,94.0,17.0,0.0,0.0,0.0,32.0,31.0
2020-03-15,52.0,27.0,27.0,92.0,16.0,0.0,0.0,0.0,32.0,29.0
2020-03-16,47.0,61.0,31.0,0.0,18.0,0.0,0.0,0.0,0.0,38.0
2020-03-17,45.0,25.0,31.0,0.0,14.0,44.0,0.0,0.0,27.0,0.0
2020-03-18,35.0,45.0,31.0,81.0,14.0,0.0,41.0,0.0,55.0,26.0
2020-03-19,49.0,35.0,26.0,0.0,0.0,0.0,40.0,0.0,41.0,51.0
2020-03-20,55.0,53.0,30.0,0.0,0.0,0.0,39.0,0.0,27.0,50.0
2020-03-21,54.0,51.0,17.0,0.0,15.0,0.0,0.0,0.0,30.0,29.0
2020-03-22,36.0,53.0,26.0,0.0,0.0,0.0,0.0,0.0,30.0,28.0
2020-03-23,48.0,32.0,32.0,0.0,0.0,39.0,0.0,0.0,24.0,0.0
2020-03-24,47.0,82.0,20.0,0.0,13.0,0.0,39.0,0.0,26.0,25.0
2020-03-25,48.0,51.0,16.0,0.0,14.0,0.0,41.0,0.0,28.0,26.0
2020-03-26,52.0,58.0,31.0,80.0,14.0,44.0,0.0,0.0,27.0,38.0
2020-03-27,40.0,49.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
2020-03-28,42.0,66.0,40.0,0.0,0.0,0.0,44.0,0.0,0.0,28.0
2020-03-29,53.0,67.0,22.0,84.0,15.0,46.0,42.0,87.0,43.0,54.0
2020-03-30,41.0,47.0,22.0,0.0,26.0,0.0,0.0,0.0,51.0,24.0
2020-03-31,51.0,61.0,38.0,0.0,0.0,0.0,39.0,0.0,53.0,25.0
2020-04-01,39.0,44.0,22.0,0.0,13.0,41.0,38.0,0.0,26.0,24.0
2020-04-02,39.0,38.0,14.0,0.0,13.0,0.0,0.0,0.0,0.0,24.0
2020-04-03,55.0,53.0,30.0,0.0,26.0,42.0,39.0,78.0,26.0,24.0
2020-04-04,67.0,75.0,29.0,89.0,16.0,49.0,45.0,0.0,30.0,0.0
2020-04-05,74.0,83.0,40.0,0.0,14.0,0.0,0.0,0.0,42.0,35.0
2020-04-06,38.0,56.0,28.0,0.0,0.0,0.0,36.0,0.0,25.0,54.0
2020-04-07,41.0,47.0,22.0,0.0,13.0,41.0,37.0,0.0,26.0,36.0
2020-04-08,51.0,59.0,29.0,0.0,13.0,41.0,36.0,0.0,25.0,24.0
2020-04-09,55.0,41.0,28.0,0.0,12.0,39.0,0.0,0.0,24.0,34.0
2020-04-10,67.0,52.0,30.0,0.0,13.0,0.0,39.0,0.0,52.0,0.0
2020-04-11,45.0,54.0,21.0,0.0,100.0,0.0,42.0,0.0,28.0,0.0
2020-04-12,59.0,48.0,17.0,87.0,15.0,0.0,44.0,0.0,30.0,56.0
2020-04-13,62.0,44.0,20.0,0.0,20.0,41.0,38.0,0.0,26.0,24.0
2020-04-14,60.0,41.0,0.0,0.0,13.0,0.0,0.0,0.0,75.0,23.0
2020-04-15,68.0,62.0,14.0,0.0,13.0,0.0,37.0,0.0,0.0,35.0
2020-04-16,47.0,52.0,22.0,0.0,13.0,0.0,0.0,0.0,38.0,24.0
2020-04-17,53.0,34.0,0.0,0.0,20.0,41.0,38.0,0.0,0.0,49.0
2020-04-18,51.0,63.0,45.0,0.0,15.0,0.0,44.0,0.0,39.0,28.0
2020-04-19,67.0,67.0,23.0,0.0,14.0,0.0,0.0,0.0,27.0,25.0
2020-04-20,40.0,45.0,19.0,0.0,13.0,40.0,55.0,0.0,25.0,24.0
2020-04-21,38.0,58.0,28.0,0.0,19.0,0.0,0.0,0.0,25.0,23.0
2020-04-22,42.0,41.0,14.0,0.0,0.0,0.0,37.0,0.0,33.0,0.0
2020-04-23,48.0,34.0,14.0,0.0,13.0,41.0,0.0,0.0,51.0,24.0
2020-04-24,43.0,49.0,31.0,0.0,21.0,43.0,0.0,0.0,27.0,38.0
2020-04-25,57.0,46.0,47.0,90.0,16.0,0.0,45.0,0.0,46.0,29.0
2020-04-26,61.0,41.0,25.0,0.0,15.0,47.0,64.0,0.0,58.0,27.0
2020-04-27,62.0,55.0,29.0,0.0,0.0,40.0,55.0,75.0,50.0,47.0
2020-04-28,37.0,41.0,22.0,0.0,13.0,0.0,0.0,0.0,26.0,25.0
2020-04-29,43.0,74.0,31.0,0.0,14.0,0.0,0.0,0.0,0.0,25.0
2020-04-30,59.0,27.0,14.0,70.0,24.0,0.0,0.0,0.0,24.0,0.0
2020-05-01,59.0,50.0,30.0,77.0,13.0,42.0,38.0,0.0,39.0,24.0
2020-05-02,68.0,50.0,35.0,0.0,16.0,0.0,46.0,0.0,0.0,0.0
2020-05-03,40.0,65.0,25.0,0.0,0.0,48.0,43.0,89.0,29.0,28.0
2020-05-04,49.0,54.0,14.0,0.0,13.0,0.0,0.0,0.0,25.0,23.0
2020-05-05,61.0,37.0,27.0,0.0,0.0,38.0,35.0,0.0,24.0,89.0
2020-05-06,59.0,44.0,20.0,0.0,13.0,84.0,0.0,0.0,52.0,24.0
