,Expedia,hotels.com,Airbnb,Flighthub,hotel,Trivago,Marriott,hostel,hotel booking,couchsurfing
2020-03-07,61.0,0.0,70.0,63.0,82.0,58.0,24.0,44.0,61.0,0.0
2020-03-08,62.0,27.0,76.0,72.0,72.0,69.0,35.0,42.0,49.0,0.0
2020-03-09,52.0,23.0,73.0,48.0,76.0,58.0,61.0,53.0,25.0,60.0
2020-03-10,65.0,31.0,66.0,57.0,69.0,48.0,65.0,24.0,25.0,0.0
2020-03-11,56.0,24.0,57.0,69.0,62.0,33.0,47.0,33.0,26.0,0.0
2020-03-12,59.0,23.0,63.0,57.0,53.0,52.0,30.0,44.0,0.0,59.0
2020-03-13,48.0,34.0,52.0,74.0,46.0,31.0,37.0,18.0,24.0,58.0
2020-03-14,84.0,27.0,52.0,68.0,61.0,40.0,57.0,24.0,0.0,0.0
2020-03-15,52.0,0.0,61.0,55.0,52.0,11.0,43.0,37.0,29.0,68.0
2020-03-16,50.0,34.0,57.0,75.0,45.0,7.0,22.0,48.0,25.0,59.0
2020-03-17,37.0,23.0,41.0,85.0,41.0,10.0,33.0,40.0,25.0,60.0
2020-03-18,22.0,23.0,36.0,48.0,38.0,10.0,20.0,32.0,0.0,0.0
2020-03-19,23.0,0.0,34.0,29.0,35.0,12.0,34.0,36.0,25.0,0.0
2020-03-20,19.0,22.0,29.0,14.0,32.0,6.0,32.0,23.0,24.0,0.0
2020-03-21,21.0,0.0,28.0,26.0,31.0,13.0,39.0,33.0,0.0,66.0
2020-03-22,19.0,0.0,19.0,21.0,33.0,9.0,21.0,26.0,0.0,0.0
2020-03-23,22.0,20.0,24.0,19.0,31.0,8.0,20.0,35.0,0.0,0.0
2020-03-24,13.0,22.0,20.0,21.0,30.0,12.0,14.0,19.0,0.0,0.0
2020-03-25,19.0,0.0,26.0,14.0,27.0,8.0,15.0,24.0,25.0,0.0
2020-03-26,22.0,23.0,17.0,42.0,20.0,10.0,10.0,16.0,0.0,0.0
2020-03-27,16.0,0.0,24.0,32.0,27.0,5.0,11.0,12.0,0.0,0.0
2020-03-28,13.0,0.0,31.0,16.0,25.0,13.0,21.0,40.0,28.0,0.0
2020-03-29,9.0,0.0,26.0,15.0,28.0,15.0,18.0,38.0,26.0,0.0
2020-03-30,17.0,0.0,30.0,13.0,24.0,4.0,19.0,15.0,0.0,0.0
2020-03-31,12.0,0.0,25.0,27.0,21.0,9.0,19.0,15.0,0.0,57.0
2020-04-01,15.0,0.0,26.0,27.0,25.0,9.0,26.0,28.0,0.0,0.0
2020-04-02,15.0,21.0,19.0,22.0,22.0,4.0,9.0,17.0,0.0,0.0
2020-04-03,19.0,22.0,15.0,41.0,28.0,0.0,22.0,17.0,24.0,0.0
2020-04-04,9.0,0.0,19.0,24.0,19.0,5.0,8.0,13.0,0.0,0.0
2020-04-05,12.0,0.0,15.0,0.0,25.0,5.0,23.0,25.0,0.0,0.0
2020-04-06,9.0,0.0,16.0,21.0,21.0,17.0,11.0,14.0,0.0,0.0
2020-04-07,16.0,0.0,18.0,18.0,19.0,4.0,18.0,0.0,0.0,0.0
2020-04-08,6.0,21.0,14.0,20.0,21.0,4.0,17.0,22.0,0.0,0.0
2020-04-09,10.0,20.0,18.0,13.0,23.0,6.0,16.0,21.0,30.0,0.0
2020-04-10,7.0,0.0,12.0,27.0,24.0,9.0,11.0,23.0,24.0,0.0
2020-04-11,9.0,0.0,16.0,15.0,24.0,10.0,18.0,25.0,26.0,0.0
2020-04-12,8.0,0.0,16.0,0.0,25.0,5.0,14.0,0.0,0.0,65.0
2020-04-13,11.0,0.0,20.0,0.0,25.0,9.0,11.0,34.0,0.0,0.0
2020-04-14,14.0,21.0,19.0,13.0,27.0,4.0,18.0,16.0,0.0,0.0
2020-04-15,10.0,0.0,17.0,13.0,24.0,4.0,16.0,11.0,0.0,0.0
2020-04-16,15.0,21.0,14.0,13.0,24.0,0.0,28.0,11.0,0.0,0.0
2020-04-17,16.0,0.0,14.0,27.0,25.0,0.0,14.0,17.0,23.0,0.0
2020-04-18,12.0,0.0,12.0,15.0,29.0,5.0,19.0,26.0,27.0,0.0
2020-04-19,13.0,0.0,14.0,14.0,27.0,10.0,10.0,18.0,25.0,0.0
2020-04-20,10.0,21.0,20.0,22.0,27.0,4.0,21.0,22.0,0.0,0.0
2020-04-21,8.0,0.0,14.0,21.0,24.0,6.0,14.0,22.0,0.0,0.0
2020-04-22,9.0,0.0,13.0,22.0,23.0,4.0,23.0,15.0,34.0,0.0
2020-04-23,8.0,0.0,17.0,13.0,26.0,4.0,11.0,11.0,0.0,0.0
2020-04-24,6.0,22.0,16.0,14.0,27.0,8.0,33.0,12.0,24.0,58.0
2020-04-25,14.0,0.0,14.0,0.0,23.0,5.0,17.0,20.0,0.0,0.0
2020-04-26,11.0,24.0,20.0,15.0,25.0,5.0,24.0,21.0,26.0,0.0
2020-04-27,12.0,21.0,20.0,33.0,22.0,4.0,14.0,11.0,23.0,0.0
2020-04-28,5.0,0.0,15.0,14.0,20.0,5.0,7.0,17.0,24.0,0.0
2020-04-29,13.0,0.0,12.0,14.0,27.0,5.0,15.0,18.0,0.0,0.0
2020-04-30,10.0,0.0,15.0,13.0,23.0,4.0,22.0,18.0,0.0,0.0
2020-05-01,9.0,22.0,21.0,0.0,18.0,7.0,25.0,19.0,0.0,0.0
2020-05-02,5.0,0.0,19.0,64.0,25.0,8.0,17.0,41.0,0.0,0.0
2020-05-03,18.0,25.0,16.0,16.0,25.0,5.0,12.0,26.0,27.0,0.0
2020-05-04,8.0,21.0,21.0,13.0,26.0,4.0,18.0,11.0,0.0,0.0
2020-05-05,14.0,0.0,24.0,29.0,28.0,4.0,7.0,16.0,0.0,52.0
2020-05-06,10.0,0.0,21.0,14.0,26.0,7.0,24.0,11.0,0.0,0.0
2020-05-07,13.0,22.0,28.0,18.0,22.0,5.0,14.0,17.0,0.0,57.0
2020-05-08,7.0,22.0,15.0,27.0,23.0,7.0,12.0,15.0,0.0,0.0
2020-05-09,13.0,0.0,22.0,14.0,24.0,5.0,23.0,18.0,25.0,0.0
2020-05-10,13.0,0.0,17.0,44.0,24.0,8.0,16.0,21.0,26.0,0.0
2020-05-11,12.0,0.0,25.0,13.0,22.0,4.0,19.0,22.0,23.0,0.0
2020-05-12,12.0,0.0,17.0,13.0,27.0,4.0,7.0,17.0,0.0,0.0
2020-05-13,9.0,0.0,24.0,13.0,32.0,0.0,11.0,11.0,24.0,0.0
2020-05-14,8.0,0.0,22.0,18.0,27.0,9.0,10.0,12.0,24.0,0.0
2020-05-15,8.0,0.0,25.0,0.0,31.0,5.0,26.0,17.0,23.0,0.0
2020-05-16,9.0,0.0,24.0,0.0,31.0,8.0,17.0,20.0,57.0,0.0
2020-05-17,11.0,27.0,27.0,0.0,31.0,11.0,26.0,14.0,29.0,0.0
2020-05-18,10.0,24.0,34.0,35.0,27.0,5.0,18.0,13.0,0.0,0.0
2020-05-19,7.0,22.0,36.0,20.0,28.0,5.0,14.0,11.0,0.0,56.0
2020-05-20,10.0,0.0,26.0,14.0,27.0,8.0,22.0,15.0,24.0,0.0
2020-05-21,10.0,23.0,35.0,23.0,30.0,12.0,17.0,28.0,25.0,0.0
