,ice cream,cake,poutine,hamburger,hot dog,pizza,chips,fries,sandwich,cheese
2020-03-08,39.0,57.0,29.0,12.0,29.0,57.0,62.0,58.0,75.0,65.0
2020-03-09,29.0,32.0,16.0,27.0,12.0,30.0,52.0,32.0,81.0,55.0
2020-03-10,33.0,43.0,18.0,37.0,37.0,28.0,51.0,27.0,61.0,50.0
2020-03-11,22.0,30.0,23.0,41.0,30.0,34.0,28.0,23.0,63.0,33.0
2020-03-12,12.0,27.0,18.0,26.0,16.0,37.0,38.0,27.0,45.0,46.0
2020-03-13,32.0,37.0,14.0,15.0,32.0,51.0,50.0,0.0,63.0,40.0
2020-03-14,51.0,53.0,24.0,28.0,53.0,58.0,65.0,24.0,35.0,59.0
2020-03-15,41.0,55.0,22.0,58.0,28.0,44.0,54.0,16.0,58.0,41.0
2020-03-16,35.0,36.0,13.0,37.0,24.0,29.0,40.0,27.0,37.0,55.0
2020-03-17,38.0,41.0,18.0,40.0,20.0,30.0,40.0,23.0,53.0,43.0
2020-03-18,31.0,38.0,20.0,32.0,21.0,31.0,57.0,27.0,49.0,38.0
2020-03-19,26.0,48.0,17.0,32.0,31.0,44.0,42.0,36.0,48.0,49.0
2020-03-20,32.0,57.0,23.0,31.0,12.0,54.0,60.0,33.0,55.0,49.0
2020-03-21,55.0,64.0,17.0,64.0,50.0,58.0,71.0,35.0,44.0,62.0
2020-03-22,44.0,53.0,37.0,44.0,36.0,50.0,58.0,40.0,56.0,61.0
2020-03-23,40.0,43.0,16.0,33.0,18.0,29.0,58.0,28.0,45.0,52.0
2020-03-24,50.0,45.0,21.0,38.0,32.0,33.0,54.0,48.0,36.0,66.0
2020-03-25,43.0,56.0,21.0,40.0,50.0,36.0,63.0,32.0,73.0,47.0
2020-03-26,19.0,56.0,17.0,42.0,29.0,41.0,58.0,34.0,56.0,59.0
2020-03-27,25.0,57.0,38.0,49.0,40.0,55.0,63.0,39.0,57.0,74.0
2020-03-28,34.0,63.0,27.0,67.0,36.0,66.0,84.0,55.0,53.0,93.0
2020-03-29,25.0,69.0,15.0,78.0,39.0,54.0,82.0,100.0,62.0,53.0
2020-03-30,22.0,53.0,16.0,47.0,29.0,41.0,58.0,21.0,67.0,55.0
2020-03-31,25.0,66.0,20.0,43.0,35.0,41.0,58.0,33.0,44.0,58.0
2020-04-01,45.0,59.0,12.0,42.0,35.0,41.0,72.0,17.0,50.0,70.0
2020-04-02,33.0,57.0,19.0,49.0,42.0,48.0,56.0,55.0,57.0,66.0
2020-04-03,25.0,70.0,30.0,50.0,43.0,69.0,87.0,26.0,56.0,65.0
2020-04-04,45.0,69.0,30.0,77.0,32.0,73.0,81.0,71.0,57.0,78.0
2020-04-05,41.0,93.0,26.0,57.0,32.0,58.0,91.0,32.0,41.0,60.0
2020-04-06,34.0,65.0,11.0,41.0,22.0,38.0,46.0,45.0,27.0,50.0
2020-04-07,44.0,59.0,16.0,35.0,31.0,41.0,59.0,38.0,70.0,57.0
2020-04-08,37.0,75.0,21.0,53.0,38.0,41.0,82.0,31.0,52.0,78.0
2020-04-09,25.0,58.0,19.0,47.0,36.0,57.0,86.0,28.0,55.0,62.0
2020-04-10,53.0,89.0,34.0,61.0,43.0,69.0,100.0,57.0,52.0,80.0
2020-04-11,49.0,88.0,15.0,74.0,32.0,71.0,98.0,65.0,55.0,77.0
2020-04-12,28.0,100.0,27.0,29.0,31.0,60.0,52.0,79.0,73.0,84.0
2020-04-13,38.0,65.0,22.0,50.0,35.0,48.0,56.0,47.0,65.0,64.0
2020-04-14,41.0,56.0,21.0,56.0,37.0,41.0,70.0,37.0,59.0,61.0
2020-04-15,30.0,60.0,16.0,49.0,38.0,53.0,82.0,25.0,88.0,62.0
2020-04-16,48.0,57.0,20.0,49.0,46.0,51.0,61.0,29.0,64.0,47.0
2020-04-17,33.0,62.0,35.0,74.0,65.0,75.0,82.0,63.0,53.0,77.0
2020-04-18,54.0,86.0,32.0,100.0,62.0,77.0,94.0,73.0,69.0,81.0
2020-04-19,54.0,100.0,26.0,71.0,45.0,70.0,54.0,32.0,53.0,73.0
2020-04-20,48.0,58.0,22.0,49.0,45.0,48.0,74.0,17.0,84.0,75.0
2020-04-21,49.0,63.0,21.0,48.0,22.0,53.0,79.0,41.0,53.0,60.0
2020-04-22,54.0,60.0,18.0,32.0,53.0,50.0,70.0,33.0,64.0,63.0
2020-04-23,57.0,55.0,23.0,57.0,30.0,57.0,78.0,51.0,60.0,57.0
2020-04-24,53.0,67.0,32.0,78.0,30.0,76.0,87.0,40.0,68.0,70.0
2020-04-25,37.0,65.0,38.0,92.0,32.0,75.0,63.0,71.0,72.0,85.0
2020-04-26,50.0,77.0,36.0,98.0,48.0,72.0,92.0,38.0,59.0,83.0
2020-04-27,37.0,61.0,27.0,61.0,49.0,46.0,75.0,25.0,73.0,52.0
2020-04-28,52.0,57.0,17.0,74.0,39.0,39.0,70.0,35.0,51.0,67.0
2020-04-29,72.0,57.0,17.0,83.0,44.0,48.0,59.0,40.0,63.0,63.0
2020-04-30,42.0,65.0,26.0,49.0,25.0,57.0,75.0,40.0,59.0,63.0
2020-05-01,36.0,66.0,29.0,68.0,41.0,78.0,47.0,22.0,51.0,58.0
2020-05-02,73.0,72.0,39.0,90.0,74.0,78.0,85.0,56.0,100.0,73.0
2020-05-03,72.0,92.0,25.0,72.0,31.0,75.0,61.0,59.0,38.0,68.0
2020-05-04,47.0,55.0,23.0,45.0,29.0,42.0,74.0,37.0,67.0,64.0
2020-05-05,43.0,76.0,17.0,64.0,46.0,45.0,68.0,27.0,44.0,42.0
2020-05-06,50.0,53.0,23.0,45.0,12.0,39.0,49.0,39.0,74.0,48.0
2020-05-07,61.0,55.0,24.0,65.0,43.0,49.0,38.0,71.0,51.0,48.0
2020-05-08,54.0,67.0,20.0,48.0,19.0,75.0,64.0,60.0,46.0,66.0
2020-05-09,65.0,94.0,26.0,48.0,54.0,74.0,57.0,14.0,54.0,62.0
2020-05-10,78.0,96.0,25.0,38.0,42.0,80.0,54.0,14.0,74.0,61.0
2020-05-11,55.0,50.0,19.0,39.0,49.0,41.0,50.0,19.0,82.0,72.0
2020-05-12,44.0,57.0,15.0,44.0,38.0,40.0,45.0,31.0,40.0,45.0
2020-05-13,49.0,56.0,25.0,68.0,39.0,46.0,60.0,34.0,48.0,63.0
2020-05-14,59.0,50.0,22.0,56.0,20.0,54.0,38.0,39.0,61.0,52.0
2020-05-15,44.0,56.0,20.0,49.0,42.0,73.0,61.0,30.0,72.0,54.0
2020-05-16,64.0,65.0,31.0,77.0,60.0,76.0,82.0,36.0,96.0,75.0
2020-05-17,80.0,66.0,24.0,80.0,71.0,79.0,67.0,26.0,99.0,81.0
2020-05-18,100.0,70.0,21.0,67.0,52.0,55.0,86.0,29.0,76.0,59.0
2020-05-19,53.0,55.0,17.0,52.0,42.0,35.0,51.0,42.0,30.0,62.0
2020-05-20,62.0,53.0,19.0,71.0,47.0,37.0,54.0,39.0,59.0,69.0
2020-05-21,72.0,51.0,16.0,70.0,20.0,47.0,48.0,80.0,61.0,44.0
