,solar energy,climate change,global warming,pollution,Greta,recycling	,waste,sustainability,us epa,covid pollution
2020-03-08,0.0,24.0,0.0,36.0,14.0,36.0,17.0,100.0,0.0,0.0
2020-03-09,88.0,62.0,0.0,31.0,10.0,36.0,44.0,29.0,89.0,0.0
2020-03-10,43.0,61.0,81.0,51.0,10.0,23.0,43.0,29.0,0.0,0.0
2020-03-11,0.0,35.0,0.0,37.0,11.0,26.0,30.0,30.0,0.0,0.0
2020-03-12,0.0,47.0,0.0,46.0,15.0,31.0,77.0,57.0,0.0,0.0
2020-03-13,43.0,40.0,40.0,25.0,4.0,22.0,57.0,47.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,18.0,4.0,18.0,23.0,68.0,0.0,0.0
2020-03-15,0.0,23.0,0.0,52.0,5.0,35.0,42.0,0.0,0.0,56.0
2020-03-16,0.0,0.0,41.0,100.0,6.0,36.0,39.0,0.0,0.0,0.0
2020-03-17,44.0,20.0,81.0,56.0,0.0,31.0,53.0,57.0,0.0,0.0
2020-03-18,0.0,21.0,41.0,46.0,6.0,26.0,74.0,29.0,90.0,83.0
2020-03-19,0.0,31.0,0.0,62.0,5.0,23.0,44.0,29.0,0.0,100.0
2020-03-20,0.0,20.0,0.0,55.0,9.0,30.0,38.0,42.0,0.0,48.0
2020-03-21,96.0,22.0,0.0,73.0,5.0,34.0,24.0,42.0,0.0,55.0
2020-03-22,0.0,22.0,0.0,95.0,10.0,42.0,48.0,47.0,0.0,54.0
2020-03-23,0.0,18.0,0.0,63.0,7.0,27.0,51.0,25.0,78.0,43.0
2020-03-24,0.0,39.0,0.0,35.0,20.0,30.0,85.0,28.0,0.0,95.0
2020-03-25,0.0,41.0,0.0,47.0,12.0,21.0,30.0,29.0,0.0,50.0
2020-03-26,43.0,30.0,0.0,71.0,19.0,31.0,48.0,28.0,0.0,0.0
2020-03-27,0.0,39.0,0.0,64.0,10.0,40.0,75.0,27.0,0.0,48.0
2020-03-28,0.0,22.0,44.0,84.0,7.0,40.0,16.0,63.0,0.0,55.0
2020-03-29,0.0,42.0,42.0,37.0,17.0,16.0,31.0,0.0,0.0,51.0
2020-03-30,40.0,28.0,37.0,42.0,3.0,29.0,36.0,40.0,0.0,46.0
2020-03-31,0.0,39.0,0.0,49.0,9.0,15.0,56.0,69.0,0.0,0.0
2020-04-01,40.0,38.0,0.0,19.0,4.0,43.0,48.0,36.0,0.0,46.0
2020-04-02,0.0,25.0,0.0,24.0,5.0,43.0,55.0,27.0,0.0,0.0
2020-04-03,0.0,78.0,39.0,34.0,6.0,37.0,51.0,27.0,0.0,47.0
2020-04-04,0.0,34.0,0.0,23.0,8.0,26.0,60.0,32.0,0.0,0.0
2020-04-05,0.0,21.0,0.0,26.0,6.0,21.0,35.0,29.0,0.0,50.0
2020-04-06,0.0,24.0,0.0,28.0,5.0,19.0,66.0,26.0,0.0,44.0
2020-04-07,41.0,19.0,38.0,38.0,3.0,14.0,68.0,27.0,0.0,69.0
