,anxiety,depression,meditation	,psychotherapy,online therapy,mental health clinic,social anxiety,telehealth,ADHD,insomnia
2020-03-07,35.0,37.0,70.0,0.0,53.0,0.0,0.0,0.0,55.0,0.0
2020-03-08,46.0,59.0,83.0,52.0,0.0,0.0,0.0,0.0,40.0,35.0
2020-03-09,73.0,85.0,78.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0
2020-03-10,67.0,61.0,73.0,45.0,0.0,0.0,45.0,0.0,61.0,49.0
2020-03-11,88.0,40.0,79.0,46.0,0.0,0.0,47.0,0.0,63.0,93.0
2020-03-12,78.0,67.0,39.0,0.0,0.0,0.0,44.0,0.0,46.0,60.0
2020-03-13,77.0,33.0,36.0,43.0,0.0,0.0,44.0,0.0,44.0,58.0
2020-03-14,38.0,46.0,72.0,54.0,0.0,0.0,0.0,54.0,67.0,71.0
2020-03-15,86.0,42.0,24.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0
2020-03-16,67.0,53.0,44.0,0.0,0.0,0.0,0.0,0.0,45.0,30.0
2020-03-17,53.0,67.0,53.0,45.0,88.0,0.0,91.0,46.0,34.0,0.0
2020-03-18,51.0,28.0,56.0,45.0,45.0,0.0,0.0,47.0,38.0,30.0
2020-03-19,72.0,70.0,69.0,45.0,44.0,0.0,0.0,47.0,38.0,30.0
2020-03-20,52.0,49.0,64.0,44.0,0.0,0.0,0.0,0.0,45.0,44.0
2020-03-21,44.0,46.0,58.0,0.0,49.0,0.0,100.0,51.0,63.0,50.0
2020-03-22,71.0,68.0,49.0,0.0,0.0,0.0,0.0,0.0,50.0,98.0
2020-03-23,60.0,52.0,70.0,39.0,0.0,0.0,0.0,0.0,20.0,39.0
2020-03-24,34.0,65.0,76.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0
2020-03-25,72.0,37.0,72.0,0.0,45.0,0.0,0.0,0.0,23.0,30.0
2020-03-26,57.0,58.0,50.0,0.0,0.0,0.0,0.0,46.0,68.0,30.0
2020-03-27,76.0,32.0,61.0,43.0,0.0,0.0,0.0,0.0,59.0,29.0
2020-03-28,51.0,59.0,78.0,49.0,0.0,0.0,0.0,0.0,50.0,33.0
2020-03-29,67.0,62.0,69.0,0.0,0.0,0.0,0.0,98.0,72.0,31.0
2020-03-30,57.0,44.0,89.0,42.0,41.0,0.0,42.0,43.0,71.0,70.0
2020-03-31,51.0,65.0,58.0,43.0,42.0,0.0,0.0,0.0,22.0,48.0
2020-04-01,47.0,55.0,59.0,42.0,0.0,0.0,0.0,0.0,29.0,42.0
2020-04-02,43.0,34.0,76.0,42.0,0.0,0.0,42.0,43.0,35.0,42.0
2020-04-03,58.0,75.0,75.0,0.0,83.0,0.0,0.0,0.0,43.0,43.0
2020-04-04,64.0,50.0,100.0,0.0,0.0,0.0,51.0,51.0,25.0,100.0
2020-04-05,37.0,43.0,92.0,0.0,0.0,0.0,0.0,96.0,24.0,46.0
2020-04-06,55.0,61.0,74.0,0.0,0.0,0.0,0.0,42.0,34.0,81.0
2020-04-07,43.0,42.0,69.0,42.0,41.0,0.0,42.0,0.0,85.0,28.0
2020-04-08,69.0,33.0,68.0,0.0,41.0,0.0,0.0,0.0,49.0,0.0
2020-04-09,54.0,57.0,59.0,40.0,0.0,0.0,0.0,62.0,61.0,40.0
2020-04-10,31.0,49.0,84.0,0.0,0.0,0.0,44.0,0.0,44.0,29.0
2020-04-11,29.0,60.0,68.0,46.0,0.0,0.0,0.0,0.0,39.0,31.0
2020-04-12,62.0,33.0,57.0,0.0,0.0,0.0,0.0,0.0,25.0,65.0
2020-04-13,61.0,74.0,74.0,0.0,0.0,0.0,0.0,44.0,29.0,42.0
2020-04-14,52.0,54.0,82.0,62.0,40.0,0.0,42.0,0.0,42.0,82.0
2020-04-15,62.0,54.0,61.0,0.0,81.0,0.0,41.0,0.0,73.0,27.0
2020-04-16,50.0,49.0,59.0,42.0,41.0,0.0,0.0,0.0,49.0,42.0
2020-04-17,37.0,37.0,59.0,0.0,0.0,0.0,0.0,0.0,43.0,28.0
2020-04-18,69.0,36.0,68.0,48.0,47.0,0.0,0.0,100.0,37.0,32.0
2020-04-19,50.0,50.0,66.0,0.0,44.0,0.0,0.0,46.0,45.0,50.0
2020-04-20,33.0,44.0,63.0,41.0,0.0,0.0,0.0,0.0,42.0,27.0
2020-04-21,45.0,68.0,86.0,40.0,40.0,0.0,0.0,42.0,55.0,27.0
2020-04-22,39.0,51.0,82.0,41.0,40.0,0.0,41.0,0.0,42.0,0.0
2020-04-23,53.0,70.0,69.0,0.0,41.0,0.0,0.0,65.0,71.0,28.0
2020-04-24,31.0,38.0,70.0,44.0,43.0,0.0,0.0,45.0,52.0,29.0
2020-04-25,60.0,22.0,41.0,0.0,0.0,0.0,0.0,0.0,39.0,33.0
2020-04-26,49.0,53.0,70.0,0.0,47.0,0.0,0.0,0.0,48.0,32.0
2020-04-27,56.0,64.0,58.0,41.0,0.0,0.0,0.0,0.0,42.0,27.0
2020-04-28,41.0,70.0,81.0,43.0,42.0,0.0,0.0,0.0,44.0,57.0
2020-04-29,63.0,58.0,39.0,0.0,43.0,0.0,44.0,45.0,22.0,59.0
2020-04-30,66.0,64.0,60.0,0.0,0.0,0.0,0.0,41.0,40.0,52.0
2020-05-01,61.0,32.0,75.0,0.0,0.0,0.0,43.0,0.0,51.0,57.0
2020-05-02,48.0,67.0,66.0,51.0,0.0,0.0,0.0,0.0,39.0,51.0
2020-05-03,46.0,82.0,94.0,49.0,0.0,0.0,0.0,0.0,49.0,64.0
2020-05-04,55.0,48.0,66.0,0.0,0.0,0.0,41.0,0.0,41.0,27.0
2020-05-05,37.0,58.0,57.0,0.0,38.0,0.0,0.0,0.0,30.0,34.0
2020-05-06,68.0,40.0,81.0,0.0,0.0,0.0,0.0,44.0,51.0,0.0
2020-05-07,34.0,37.0,40.0,43.0,0.0,0.0,0.0,44.0,58.0,71.0
2020-05-08,57.0,34.0,30.0,0.0,0.0,0.0,43.0,44.0,65.0,38.0
2020-05-09,43.0,37.0,70.0,0.0,67.0,0.0,0.0,47.0,35.0,30.0
2020-05-10,41.0,46.0,60.0,46.0,45.0,0.0,0.0,0.0,35.0,31.0
2020-05-11,49.0,62.0,58.0,83.0,41.0,0.0,0.0,43.0,32.0,55.0
2020-05-12,43.0,39.0,68.0,0.0,0.0,0.0,0.0,43.0,35.0,28.0
2020-05-13,61.0,48.0,65.0,0.0,0.0,0.0,43.0,0.0,29.0,71.0
2020-05-14,27.0,59.0,73.0,0.0,0.0,0.0,0.0,45.0,22.0,29.0
2020-05-15,57.0,50.0,39.0,0.0,0.0,0.0,0.0,0.0,28.0,37.0
2020-05-16,64.0,44.0,42.0,50.0,49.0,0.0,0.0,0.0,34.0,34.0
2020-05-17,41.0,36.0,73.0,77.0,0.0,0.0,0.0,55.0,27.0,0.0
2020-05-18,34.0,50.0,78.0,0.0,0.0,0.0,0.0,49.0,32.0,32.0
2020-05-19,50.0,45.0,72.0,42.0,0.0,0.0,0.0,0.0,57.0,56.0
2020-05-20,46.0,51.0,73.0,43.0,0.0,0.0,44.0,44.0,44.0,29.0
2020-05-21,28.0,74.0,57.0,44.0,0.0,0.0,0.0,91.0,37.0,0.0
