,sushi,indian food,mexican food,asian food,vegetarian recipes,vegan,easy recipes,chicken recipes,healthy recipes,fine dining
2020-03-07,45.0,29.0,33.0,0.0,44.0,84.0,61.0,56.0,38.0,0.0
2020-03-08,36.0,28.0,31.0,0.0,32.0,88.0,49.0,36.0,24.0,0.0
2020-03-09,19.0,0.0,27.0,0.0,42.0,57.0,0.0,53.0,43.0,45.0
2020-03-10,24.0,24.0,79.0,0.0,27.0,56.0,25.0,38.0,21.0,0.0
2020-03-11,21.0,0.0,28.0,0.0,56.0,39.0,26.0,0.0,0.0,0.0
2020-03-12,21.0,0.0,0.0,0.0,27.0,31.0,25.0,26.0,21.0,0.0
2020-03-13,19.0,0.0,26.0,0.0,0.0,39.0,74.0,38.0,31.0,0.0
2020-03-14,27.0,28.0,0.0,0.0,32.0,67.0,60.0,18.0,25.0,52.0
2020-03-15,20.0,27.0,0.0,34.0,32.0,57.0,44.0,66.0,0.0,52.0
2020-03-16,14.0,35.0,53.0,30.0,54.0,39.0,33.0,46.0,21.0,0.0
2020-03-17,17.0,24.0,0.0,0.0,27.0,40.0,34.0,46.0,31.0,0.0
2020-03-18,13.0,0.0,27.0,0.0,0.0,37.0,76.0,37.0,21.0,0.0
2020-03-19,19.0,24.0,0.0,0.0,27.0,48.0,59.0,42.0,32.0,0.0
2020-03-20,28.0,23.0,0.0,29.0,0.0,55.0,49.0,30.0,20.0,0.0
2020-03-21,23.0,26.0,0.0,0.0,61.0,70.0,65.0,43.0,35.0,0.0
2020-03-22,18.0,26.0,59.0,0.0,30.0,63.0,46.0,62.0,35.0,0.0
2020-03-23,11.0,21.0,0.0,26.0,36.0,42.0,37.0,68.0,37.0,0.0
2020-03-24,11.0,23.0,26.0,29.0,26.0,52.0,73.0,35.0,40.0,0.0
2020-03-25,11.0,0.0,0.0,0.0,27.0,45.0,43.0,63.0,53.0,0.0
2020-03-26,17.0,24.0,0.0,30.0,27.0,61.0,67.0,36.0,52.0,0.0
2020-03-27,30.0,23.0,0.0,0.0,26.0,44.0,24.0,40.0,30.0,0.0
2020-03-28,29.0,26.0,0.0,33.0,30.0,63.0,37.0,46.0,46.0,0.0
2020-03-29,22.0,25.0,0.0,0.0,43.0,64.0,70.0,27.0,0.0,47.0
2020-03-30,17.0,33.0,25.0,0.0,25.0,48.0,55.0,53.0,39.0,0.0
2020-03-31,15.0,23.0,0.0,0.0,0.0,60.0,24.0,45.0,40.0,0.0
2020-04-01,19.0,22.0,0.0,0.0,26.0,61.0,39.0,58.0,20.0,0.0
2020-04-02,20.0,65.0,0.0,0.0,0.0,64.0,54.0,29.0,19.0,0.0
2020-04-03,31.0,46.0,0.0,0.0,51.0,51.0,32.0,30.0,20.0,0.0
2020-04-04,36.0,27.0,0.0,0.0,0.0,81.0,70.0,29.0,24.0,0.0
2020-04-05,32.0,24.0,0.0,0.0,28.0,81.0,69.0,58.0,43.0,0.0
2020-04-06,19.0,43.0,60.0,0.0,37.0,43.0,46.0,37.0,38.0,0.0
2020-04-07,16.0,22.0,25.0,42.0,0.0,71.0,47.0,39.0,20.0,0.0
2020-04-08,21.0,22.0,0.0,0.0,37.0,47.0,39.0,43.0,38.0,0.0
2020-04-09,29.0,0.0,0.0,0.0,37.0,66.0,45.0,37.0,28.0,0.0
2020-04-10,41.0,0.0,26.0,29.0,53.0,77.0,89.0,30.0,0.0,0.0
2020-04-11,36.0,25.0,28.0,31.0,28.0,78.0,43.0,37.0,0.0,0.0
2020-04-12,38.0,0.0,0.0,32.0,59.0,65.0,41.0,28.0,23.0,0.0
2020-04-13,19.0,37.0,0.0,56.0,26.0,61.0,39.0,44.0,0.0,0.0
2020-04-14,18.0,22.0,0.0,0.0,50.0,44.0,77.0,28.0,57.0,81.0
2020-04-15,27.0,0.0,0.0,0.0,25.0,53.0,46.0,28.0,19.0,0.0
2020-04-16,28.0,33.0,0.0,0.0,25.0,60.0,58.0,43.0,29.0,0.0
2020-04-17,50.0,22.0,25.0,0.0,0.0,67.0,47.0,44.0,39.0,41.0
2020-04-18,48.0,38.0,0.0,0.0,0.0,73.0,45.0,78.0,0.0,48.0
2020-04-19,38.0,35.0,0.0,59.0,27.0,68.0,50.0,46.0,0.0,0.0
2020-04-20,25.0,0.0,25.0,0.0,38.0,58.0,62.0,50.0,0.0,0.0
2020-04-21,25.0,21.0,0.0,27.0,25.0,56.0,45.0,42.0,19.0,40.0
2020-04-22,27.0,66.0,0.0,27.0,25.0,74.0,38.0,71.0,19.0,0.0
2020-04-23,34.0,22.0,0.0,0.0,26.0,45.0,47.0,53.0,39.0,0.0
