,knife,cutting board,mixing bowl,measuring cup,can opener,spoon,spatula,tupperware,pan,dishwasher
2020-03-08,86.0,28.0,93.0,0.0,43.0,25.0,43.0,39.0,32.0,47.0
2020-03-09,41.0,36.0,0.0,44.0,0.0,44.0,0.0,37.0,41.0,56.0
2020-03-10,59.0,24.0,0.0,44.0,0.0,22.0,36.0,6.0,44.0,55.0
2020-03-11,57.0,0.0,0.0,0.0,0.0,68.0,0.0,22.0,42.0,41.0
2020-03-12,29.0,24.0,0.0,0.0,37.0,65.0,0.0,9.0,20.0,45.0
2020-03-13,58.0,0.0,0.0,43.0,0.0,21.0,36.0,30.0,34.0,37.0
2020-03-14,44.0,57.0,0.0,0.0,0.0,78.0,43.0,58.0,48.0,71.0
2020-03-15,68.0,0.0,0.0,0.0,0.0,38.0,42.0,28.0,62.0,35.0
2020-03-16,47.0,48.0,0.0,44.0,0.0,36.0,36.0,24.0,35.0,40.0
2020-03-17,37.0,0.0,0.0,0.0,37.0,51.0,0.0,21.0,46.0,45.0
2020-03-18,67.0,0.0,0.0,0.0,37.0,22.0,0.0,31.0,37.0,51.0
2020-03-19,33.0,0.0,80.0,0.0,37.0,44.0,49.0,28.0,46.0,40.0
2020-03-20,50.0,0.0,0.0,0.0,36.0,28.0,0.0,45.0,50.0,66.0
2020-03-21,49.0,27.0,0.0,0.0,0.0,36.0,0.0,34.0,55.0,39.0
2020-03-22,65.0,0.0,88.0,0.0,41.0,48.0,0.0,17.0,55.0,77.0
2020-03-23,44.0,21.0,0.0,0.0,32.0,38.0,65.0,22.0,46.0,35.0
2020-03-24,43.0,0.0,0.0,42.0,0.0,42.0,0.0,24.0,53.0,43.0
2020-03-25,52.0,24.0,0.0,0.0,0.0,22.0,37.0,43.0,32.0,46.0
2020-03-26,70.0,24.0,0.0,0.0,0.0,86.0,0.0,21.0,50.0,50.0
2020-03-27,53.0,23.0,0.0,0.0,0.0,32.0,0.0,53.0,55.0,68.0
2020-03-28,32.0,26.0,0.0,0.0,0.0,24.0,0.0,37.0,37.0,39.0
2020-03-29,66.0,25.0,0.0,0.0,39.0,61.0,0.0,35.0,68.0,53.0
2020-03-30,34.0,0.0,0.0,41.0,34.0,20.0,34.0,26.0,60.0,37.0
2020-03-31,39.0,23.0,76.0,43.0,36.0,35.0,53.0,18.0,46.0,29.0
2020-04-01,41.0,67.0,0.0,0.0,35.0,51.0,34.0,23.0,57.0,52.0
2020-04-02,27.0,22.0,0.0,0.0,68.0,34.0,0.0,17.0,58.0,56.0
2020-04-03,67.0,23.0,77.0,0.0,0.0,21.0,0.0,23.0,56.0,43.0
2020-04-04,66.0,26.0,0.0,0.0,41.0,36.0,41.0,58.0,72.0,39.0
2020-04-05,91.0,0.0,0.0,0.0,0.0,45.0,0.0,40.0,64.0,67.0
2020-04-06,43.0,0.0,0.0,0.0,0.0,39.0,33.0,25.0,38.0,54.0
2020-04-07,58.0,45.0,0.0,0.0,68.0,51.0,34.0,29.0,60.0,47.0
2020-04-08,37.0,22.0,0.0,0.0,0.0,27.0,0.0,42.0,53.0,46.0
2020-04-09,69.0,0.0,72.0,0.0,49.0,29.0,33.0,44.0,44.0,40.0
2020-04-10,57.0,23.0,0.0,0.0,36.0,49.0,35.0,32.0,66.0,48.0
2020-04-11,99.0,0.0,82.0,0.0,0.0,79.0,56.0,60.0,76.0,52.0
2020-04-12,52.0,26.0,87.0,0.0,40.0,36.0,40.0,40.0,79.0,49.0
2020-04-13,52.0,0.0,75.0,0.0,35.0,34.0,0.0,34.0,64.0,66.0
2020-04-14,64.0,22.0,0.0,40.0,67.0,40.0,100.0,39.0,64.0,37.0
2020-04-15,44.0,0.0,0.0,0.0,0.0,30.0,33.0,22.0,49.0,28.0
2020-04-16,72.0,22.0,0.0,0.0,34.0,20.0,0.0,31.0,50.0,56.0
2020-04-17,48.0,45.0,75.0,0.0,0.0,61.0,34.0,20.0,66.0,38.0
2020-04-18,64.0,0.0,0.0,0.0,39.0,63.0,39.0,79.0,66.0,38.0
2020-04-19,59.0,24.0,80.0,44.0,37.0,43.0,73.0,43.0,70.0,55.0
2020-04-20,41.0,0.0,73.0,0.0,34.0,60.0,0.0,31.0,54.0,46.0
2020-04-21,60.0,0.0,0.0,0.0,0.0,46.0,33.0,52.0,48.0,41.0
2020-04-22,54.0,44.0,0.0,0.0,34.0,33.0,50.0,53.0,59.0,46.0
2020-04-23,58.0,22.0,0.0,41.0,35.0,50.0,34.0,48.0,84.0,61.0
2020-04-24,58.0,23.0,78.0,43.0,36.0,21.0,0.0,39.0,69.0,34.0
2020-04-25,75.0,54.0,0.0,99.0,41.0,65.0,0.0,69.0,54.0,51.0
2020-04-26,86.0,25.0,84.0,0.0,39.0,35.0,0.0,45.0,90.0,85.0
2020-04-27,51.0,0.0,0.0,0.0,0.0,20.0,0.0,45.0,54.0,46.0
2020-04-28,71.0,34.0,0.0,43.0,0.0,35.0,0.0,56.0,35.0,67.0
2020-04-29,43.0,0.0,78.0,43.0,36.0,28.0,0.0,42.0,54.0,59.0
2020-04-30,45.0,0.0,0.0,0.0,0.0,38.0,48.0,67.0,68.0,53.0
2020-05-01,49.0,23.0,0.0,0.0,0.0,21.0,0.0,64.0,35.0,48.0
2020-05-02,75.0,27.0,91.0,100.0,42.0,49.0,41.0,52.0,78.0,51.0
2020-05-03,92.0,52.0,0.0,94.0,0.0,36.0,39.0,66.0,100.0,38.0
2020-05-04,63.0,22.0,0.0,40.0,100.0,33.0,65.0,36.0,55.0,50.0
2020-05-05,54.0,21.0,69.0,38.0,32.0,44.0,32.0,48.0,67.0,45.0
2020-05-06,53.0,23.0,0.0,0.0,0.0,42.0,35.0,64.0,58.0,34.0
2020-05-07,49.0,23.0,0.0,0.0,0.0,52.0,35.0,61.0,60.0,43.0
2020-05-08,56.0,23.0,0.0,0.0,0.0,41.0,0.0,55.0,53.0,36.0
2020-05-09,86.0,0.0,0.0,0.0,37.0,44.0,37.0,59.0,49.0,56.0
2020-05-10,87.0,0.0,0.0,45.0,38.0,34.0,75.0,57.0,72.0,78.0
2020-05-11,51.0,22.0,0.0,0.0,34.0,27.0,34.0,71.0,50.0,79.0
2020-05-12,72.0,22.0,0.0,0.0,0.0,20.0,0.0,51.0,63.0,65.0
2020-05-13,49.0,34.0,0.0,0.0,35.0,28.0,0.0,46.0,60.0,50.0
2020-05-14,88.0,23.0,0.0,0.0,35.0,42.0,35.0,53.0,50.0,43.0
2020-05-15,72.0,22.0,0.0,0.0,35.0,27.0,34.0,40.0,48.0,51.0
2020-05-16,95.0,27.0,0.0,0.0,0.0,49.0,41.0,58.0,65.0,73.0
2020-05-17,43.0,28.0,94.0,0.0,64.0,42.0,0.0,14.0,58.0,29.0
2020-05-18,70.0,25.0,0.0,46.0,39.0,34.0,38.0,68.0,64.0,58.0
2020-05-19,55.0,22.0,0.0,41.0,34.0,31.0,0.0,60.0,47.0,71.0
2020-05-20,32.0,0.0,0.0,0.0,36.0,21.0,35.0,100.0,53.0,50.0
2020-05-21,33.0,24.0,0.0,43.0,37.0,29.0,72.0,51.0,42.0,49.0
