,Photoshop,Adobe,winrar,Java,VLC,avast,FileHippo,SÈVE,Shopify,Zoom
2020-03-08,24.0,40.0,0.0,50.0,56.0,54.0,95.0,85.0,11.0,4.0
2020-03-09,70.0,55.0,40.0,81.0,37.0,56.0,0.0,0.0,23.0,5.0
2020-03-10,77.0,66.0,29.0,68.0,48.0,28.0,0.0,0.0,18.0,4.0
2020-03-11,46.0,62.0,31.0,84.0,37.0,38.0,0.0,38.0,22.0,5.0
2020-03-12,32.0,68.0,29.0,60.0,72.0,61.0,0.0,36.0,21.0,8.0
2020-03-13,40.0,59.0,29.0,53.0,23.0,36.0,0.0,0.0,15.0,10.0
2020-03-14,24.0,31.0,35.0,35.0,71.0,37.0,0.0,0.0,8.0,9.0
2020-03-15,56.0,41.0,0.0,32.0,72.0,21.0,0.0,42.0,14.0,11.0
2020-03-16,41.0,60.0,29.0,60.0,30.0,31.0,0.0,36.0,12.0,31.0
2020-03-17,41.0,77.0,44.0,47.0,84.0,37.0,0.0,0.0,21.0,35.0
2020-03-18,37.0,78.0,60.0,84.0,24.0,44.0,0.0,37.0,29.0,42.0
2020-03-19,82.0,62.0,30.0,64.0,79.0,28.0,81.0,0.0,22.0,41.0
2020-03-20,36.0,70.0,29.0,45.0,47.0,27.0,0.0,71.0,23.0,48.0
2020-03-21,27.0,55.0,77.0,63.0,67.0,41.0,0.0,40.0,18.0,42.0
2020-03-22,49.0,51.0,32.0,59.0,40.0,41.0,0.0,0.0,10.0,44.0
2020-03-23,43.0,61.0,65.0,55.0,53.0,41.0,0.0,32.0,29.0,66.0
2020-03-24,35.0,88.0,57.0,52.0,17.0,18.0,0.0,0.0,20.0,85.0
2020-03-25,66.0,96.0,45.0,43.0,67.0,38.0,0.0,37.0,17.0,76.0
2020-03-26,77.0,83.0,29.0,60.0,54.0,24.0,0.0,0.0,30.0,74.0
2020-03-27,47.0,75.0,48.0,47.0,35.0,18.0,0.0,0.0,22.0,77.0
2020-03-28,58.0,44.0,65.0,36.0,60.0,40.0,89.0,40.0,19.0,66.0
2020-03-29,21.0,34.0,83.0,45.0,69.0,19.0,0.0,0.0,15.0,60.0
2020-03-30,57.0,59.0,55.0,61.0,45.0,17.0,0.0,34.0,18.0,92.0
2020-03-31,47.0,94.0,57.0,68.0,81.0,27.0,0.0,35.0,26.0,86.0
2020-04-01,42.0,89.0,28.0,54.0,51.0,0.0,0.0,0.0,29.0,91.0
2020-04-02,45.0,62.0,46.0,55.0,61.0,26.0,0.0,34.0,30.0,100.0
2020-04-03,47.0,68.0,57.0,59.0,63.0,44.0,78.0,34.0,28.0,98.0
