,Starbucks,Tim Hortons,tea,coffee,Nespresso,cappuccino ,iced coffee,Red Bull,instant coffee,espresso
2020-03-07,59.0,43.0,97.0,67.0,53.0,17.0,0.0,36.0,87.0,43.0
2020-03-08,55.0,36.0,66.0,70.0,69.0,16.0,35.0,27.0,0.0,41.0
2020-03-09,38.0,29.0,58.0,47.0,54.0,28.0,89.0,30.0,0.0,45.0
2020-03-10,57.0,29.0,60.0,36.0,59.0,14.0,29.0,23.0,0.0,48.0
2020-03-11,33.0,44.0,61.0,45.0,43.0,14.0,0.0,12.0,37.0,53.0
2020-03-12,27.0,39.0,56.0,41.0,32.0,0.0,29.0,12.0,0.0,35.0
2020-03-13,25.0,37.0,42.0,32.0,42.0,14.0,29.0,23.0,0.0,31.0
2020-03-14,46.0,41.0,56.0,58.0,51.0,16.0,70.0,28.0,0.0,64.0
2020-03-15,38.0,35.0,92.0,51.0,52.0,16.0,34.0,13.0,41.0,73.0
2020-03-16,44.0,54.0,61.0,42.0,31.0,27.0,0.0,0.0,0.0,57.0
2020-03-17,40.0,35.0,56.0,48.0,59.0,14.0,0.0,12.0,0.0,51.0
2020-03-18,47.0,35.0,54.0,62.0,73.0,14.0,30.0,24.0,36.0,45.0
2020-03-19,28.0,31.0,47.0,57.0,46.0,14.0,0.0,12.0,73.0,52.0
2020-03-20,36.0,22.0,57.0,38.0,69.0,13.0,0.0,11.0,69.0,47.0
2020-03-21,36.0,33.0,60.0,64.0,51.0,23.0,0.0,0.0,40.0,57.0
2020-03-22,37.0,32.0,60.0,37.0,80.0,30.0,49.0,26.0,0.0,39.0
2020-03-23,29.0,19.0,43.0,46.0,46.0,12.0,44.0,10.0,31.0,25.0
2020-03-24,32.0,28.0,56.0,44.0,60.0,13.0,0.0,23.0,34.0,31.0
2020-03-25,27.0,28.0,67.0,51.0,63.0,28.0,0.0,24.0,0.0,45.0
2020-03-26,29.0,43.0,43.0,50.0,50.0,14.0,0.0,35.0,0.0,70.0
2020-03-27,31.0,29.0,49.0,53.0,68.0,26.0,29.0,17.0,34.0,53.0
2020-03-28,41.0,25.0,51.0,84.0,61.0,30.0,33.0,13.0,0.0,67.0
2020-03-29,37.0,20.0,64.0,90.0,67.0,50.0,41.0,0.0,75.0,60.0
2020-03-30,32.0,17.0,51.0,71.0,74.0,38.0,41.0,11.0,100.0,48.0
2020-03-31,27.0,22.0,62.0,84.0,68.0,40.0,28.0,11.0,57.0,55.0
2020-04-01,23.0,22.0,57.0,82.0,56.0,13.0,28.0,11.0,34.0,60.0
2020-04-02,32.0,20.0,51.0,62.0,69.0,19.0,0.0,22.0,56.0,54.0
2020-04-03,26.0,18.0,56.0,67.0,61.0,20.0,28.0,17.0,34.0,49.0
2020-04-04,23.0,24.0,70.0,100.0,71.0,15.0,33.0,33.0,40.0,68.0
2020-04-05,33.0,27.0,62.0,85.0,33.0,28.0,30.0,36.0,55.0,33.0
2020-04-06,20.0,16.0,58.0,61.0,79.0,37.0,53.0,21.0,49.0,70.0
2020-04-07,25.0,14.0,57.0,71.0,60.0,26.0,84.0,17.0,50.0,60.0
2020-04-08,28.0,26.0,61.0,62.0,74.0,13.0,41.0,27.0,49.0,50.0
2020-04-09,21.0,20.0,58.0,69.0,71.0,18.0,26.0,21.0,32.0,63.0
2020-04-10,24.0,20.0,66.0,76.0,79.0,46.0,29.0,0.0,0.0,56.0
2020-04-11,30.0,21.0,64.0,80.0,66.0,28.0,30.0,12.0,37.0,60.0
2020-04-12,37.0,23.0,59.0,74.0,62.0,15.0,32.0,32.0,58.0,56.0
2020-04-13,28.0,21.0,56.0,81.0,69.0,19.0,28.0,17.0,34.0,54.0
2020-04-14,39.0,19.0,76.0,76.0,83.0,31.0,27.0,27.0,65.0,53.0
2020-04-15,25.0,21.0,61.0,57.0,78.0,13.0,41.0,11.0,50.0,59.0
2020-04-16,32.0,22.0,72.0,72.0,80.0,25.0,55.0,22.0,44.0,65.0
2020-04-17,37.0,16.0,68.0,65.0,56.0,26.0,28.0,22.0,0.0,51.0
2020-04-18,35.0,18.0,72.0,80.0,84.0,29.0,0.0,19.0,39.0,69.0
2020-04-19,28.0,29.0,65.0,96.0,55.0,34.0,0.0,12.0,36.0,51.0
2020-04-20,34.0,21.0,60.0,69.0,77.0,13.0,27.0,22.0,33.0,65.0
2020-04-21,26.0,24.0,60.0,68.0,70.0,12.0,40.0,11.0,64.0,43.0
2020-04-22,29.0,22.0,73.0,52.0,54.0,13.0,0.0,22.0,65.0,64.0
2020-04-23,33.0,20.0,57.0,67.0,72.0,13.0,41.0,11.0,33.0,71.0
2020-04-24,29.0,13.0,63.0,62.0,65.0,20.0,29.0,11.0,35.0,66.0
2020-04-25,37.0,20.0,90.0,59.0,59.0,15.0,50.0,13.0,60.0,61.0
2020-04-26,53.0,33.0,71.0,62.0,87.0,14.0,31.0,25.0,38.0,61.0
2020-04-27,28.0,18.0,51.0,46.0,75.0,13.0,27.0,11.0,0.0,41.0
2020-04-28,36.0,23.0,65.0,65.0,87.0,26.0,28.0,0.0,34.0,58.0
2020-04-29,42.0,22.0,64.0,79.0,55.0,40.0,29.0,35.0,35.0,40.0
2020-04-30,27.0,17.0,69.0,66.0,100.0,36.0,52.0,16.0,0.0,65.0
2020-05-01,41.0,27.0,57.0,67.0,87.0,13.0,28.0,22.0,69.0,58.0
2020-05-02,47.0,30.0,86.0,67.0,54.0,31.0,34.0,27.0,41.0,76.0
2020-05-03,57.0,32.0,76.0,73.0,62.0,15.0,32.0,38.0,77.0,62.0
2020-05-04,31.0,22.0,61.0,61.0,74.0,12.0,40.0,11.0,32.0,41.0
2020-05-05,33.0,18.0,77.0,50.0,81.0,12.0,26.0,10.0,47.0,50.0
2020-05-06,32.0,26.0,78.0,56.0,48.0,33.0,56.0,11.0,34.0,73.0
2020-05-07,54.0,18.0,70.0,40.0,59.0,33.0,28.0,11.0,34.0,61.0
2020-05-08,42.0,16.0,61.0,56.0,52.0,26.0,28.0,17.0,34.0,49.0
2020-05-09,41.0,20.0,78.0,54.0,65.0,42.0,30.0,12.0,37.0,81.0
2020-05-10,64.0,30.0,86.0,52.0,64.0,14.0,0.0,12.0,37.0,53.0
2020-05-11,35.0,14.0,63.0,48.0,74.0,13.0,0.0,11.0,0.0,44.0
2020-05-12,35.0,22.0,70.0,47.0,45.0,13.0,0.0,11.0,0.0,66.0
2020-05-13,48.0,23.0,70.0,45.0,54.0,13.0,56.0,17.0,51.0,48.0
2020-05-14,37.0,16.0,68.0,86.0,66.0,13.0,43.0,11.0,35.0,52.0
2020-05-15,38.0,24.0,64.0,63.0,47.0,39.0,42.0,17.0,0.0,36.0
2020-05-16,62.0,23.0,77.0,74.0,61.0,15.0,33.0,52.0,0.0,64.0
2020-05-17,64.0,25.0,69.0,73.0,71.0,40.0,46.0,14.0,41.0,33.0
2020-05-18,66.0,39.0,100.0,50.0,72.0,29.0,31.0,31.0,37.0,47.0
2020-05-19,41.0,26.0,71.0,49.0,56.0,13.0,55.0,39.0,34.0,45.0
2020-05-20,51.0,18.0,57.0,47.0,37.0,26.0,100.0,23.0,34.0,68.0
