,Sephora,MAC,eyeliner,luisante,L'Oréal,Fard,mascara,maquillage,sourcil,maquilleur
2020-03-08,32.0,62.0,51.0,0.0,0.0,0.0,47.0,41.0,69.0,0.0
2020-03-09,35.0,54.0,30.0,0.0,0.0,30.0,41.0,42.0,48.0,79.0
2020-03-10,24.0,61.0,0.0,0.0,0.0,0.0,47.0,41.0,24.0,78.0
2020-03-11,28.0,68.0,76.0,0.0,49.0,31.0,94.0,27.0,37.0,80.0
2020-03-12,22.0,56.0,29.0,0.0,0.0,30.0,27.0,38.0,24.0,0.0
2020-03-13,30.0,59.0,0.0,0.0,0.0,0.0,66.0,30.0,31.0,0.0
2020-03-14,32.0,55.0,52.0,0.0,0.0,0.0,60.0,49.0,56.0,0.0
2020-03-15,34.0,76.0,34.0,0.0,0.0,0.0,31.0,34.0,83.0,0.0
2020-03-16,32.0,79.0,29.0,0.0,0.0,30.0,20.0,64.0,24.0,0.0
2020-03-17,53.0,83.0,0.0,0.0,0.0,0.0,61.0,38.0,32.0,77.0
2020-03-18,35.0,89.0,30.0,0.0,0.0,30.0,62.0,33.0,48.0,0.0
2020-03-19,28.0,90.0,59.0,0.0,0.0,0.0,51.0,33.0,48.0,0.0
2020-03-20,28.0,88.0,43.0,0.0,0.0,0.0,46.0,40.0,23.0,0.0
2020-03-21,31.0,76.0,33.0,89.0,0.0,0.0,56.0,16.0,26.0,0.0
2020-03-22,36.0,79.0,32.0,0.0,0.0,0.0,30.0,58.0,52.0,0.0
2020-03-23,31.0,78.0,26.0,0.0,0.0,26.0,54.0,39.0,21.0,0.0
2020-03-24,27.0,91.0,0.0,0.0,0.0,0.0,20.0,37.0,0.0,0.0
2020-03-25,35.0,92.0,30.0,0.0,0.0,30.0,21.0,33.0,24.0,0.0
2020-03-26,50.0,98.0,29.0,0.0,0.0,30.0,81.0,47.0,0.0,0.0
2020-03-27,36.0,82.0,29.0,0.0,0.0,29.0,69.0,46.0,46.0,0.0
2020-03-28,34.0,100.0,32.0,88.0,0.0,0.0,22.0,49.0,26.0,0.0
2020-03-29,37.0,90.0,31.0,0.0,0.0,31.0,43.0,47.0,50.0,0.0
2020-03-30,38.0,87.0,28.0,0.0,0.0,28.0,38.0,47.0,22.0,0.0
2020-03-31,40.0,95.0,0.0,0.0,0.0,29.0,33.0,20.0,57.0,0.0
2020-04-01,38.0,80.0,28.0,75.0,0.0,0.0,57.0,55.0,22.0,0.0
2020-04-02,39.0,80.0,0.0,0.0,0.0,56.0,50.0,36.0,22.0,0.0
2020-04-03,43.0,87.0,28.0,77.0,0.0,28.0,71.0,51.0,23.0,0.0
2020-04-04,52.0,82.0,33.0,0.0,53.0,0.0,30.0,33.0,27.0,0.0
2020-04-05,58.0,96.0,61.0,0.0,48.0,0.0,31.0,39.0,24.0,0.0
2020-04-06,37.0,86.0,27.0,0.0,0.0,27.0,67.0,43.0,54.0,0.0
2020-04-07,49.0,94.0,55.0,0.0,0.0,0.0,69.0,47.0,30.0,0.0
2020-04-08,44.0,95.0,45.0,0.0,0.0,27.0,50.0,38.0,22.0,0.0
2020-04-09,50.0,81.0,78.0,0.0,0.0,26.0,48.0,34.0,32.0,0.0
2020-04-10,56.0,92.0,66.0,0.0,0.0,0.0,59.0,63.0,34.0,0.0
2020-04-11,60.0,86.0,0.0,0.0,0.0,31.0,35.0,58.0,41.0,0.0
2020-04-12,57.0,96.0,32.0,0.0,0.0,0.0,37.0,93.0,26.0,0.0
2020-04-13,70.0,93.0,83.0,0.0,0.0,28.0,64.0,56.0,34.0,0.0
2020-04-14,66.0,89.0,0.0,0.0,0.0,27.0,56.0,43.0,33.0,0.0
2020-04-15,60.0,85.0,27.0,0.0,0.0,0.0,37.0,54.0,44.0,0.0
2020-04-16,66.0,94.0,27.0,0.0,44.0,0.0,50.0,52.0,44.0,0.0
2020-04-17,92.0,85.0,28.0,75.0,0.0,42.0,89.0,53.0,52.0,0.0
2020-04-18,100.0,78.0,63.0,86.0,0.0,32.0,95.0,35.0,26.0,0.0
2020-04-19,66.0,77.0,44.0,0.0,48.0,29.0,30.0,47.0,35.0,0.0
2020-04-20,74.0,89.0,36.0,73.0,0.0,0.0,69.0,49.0,65.0,71.0
2020-04-21,89.0,78.0,27.0,0.0,42.0,27.0,85.0,32.0,43.0,0.0
2020-04-22,82.0,90.0,72.0,0.0,0.0,27.0,31.0,62.0,22.0,0.0
2020-04-23,71.0,96.0,27.0,0.0,0.0,28.0,76.0,61.0,22.0,0.0
2020-04-24,60.0,82.0,43.0,0.0,47.0,29.0,40.0,38.0,35.0,0.0
2020-04-25,66.0,65.0,99.0,0.0,53.0,0.0,84.0,66.0,53.0,0.0
2020-04-26,65.0,85.0,52.0,0.0,0.0,0.0,100.0,53.0,75.0,0.0
2020-04-27,64.0,78.0,54.0,0.0,0.0,27.0,56.0,41.0,44.0,0.0
2020-04-28,49.0,92.0,28.0,0.0,0.0,0.0,59.0,28.0,23.0,0.0
2020-04-29,68.0,73.0,72.0,0.0,0.0,29.0,70.0,67.0,58.0,0.0
2020-04-30,51.0,76.0,39.0,0.0,0.0,26.0,53.0,39.0,31.0,0.0
2020-05-01,57.0,78.0,0.0,0.0,45.0,29.0,58.0,59.0,23.0,0.0
2020-05-02,46.0,68.0,0.0,0.0,0.0,0.0,77.0,50.0,54.0,0.0
2020-05-03,68.0,76.0,31.0,0.0,0.0,32.0,66.0,32.0,43.0,0.0
2020-05-04,49.0,75.0,27.0,0.0,0.0,0.0,37.0,51.0,32.0,0.0
2020-05-05,54.0,84.0,38.0,0.0,0.0,26.0,41.0,46.0,48.0,0.0
2020-05-06,36.0,85.0,0.0,0.0,45.0,0.0,39.0,59.0,34.0,0.0
2020-05-07,48.0,68.0,56.0,76.0,0.0,0.0,52.0,34.0,23.0,0.0
2020-05-08,41.0,76.0,37.0,0.0,0.0,28.0,29.0,36.0,22.0,0.0
2020-05-09,50.0,72.0,59.0,0.0,0.0,0.0,41.0,42.0,24.0,0.0
2020-05-10,54.0,74.0,30.0,0.0,0.0,0.0,70.0,31.0,33.0,0.0
2020-05-11,38.0,74.0,27.0,0.0,0.0,28.0,38.0,33.0,22.0,0.0
2020-05-12,38.0,87.0,27.0,0.0,0.0,55.0,56.0,38.0,51.0,0.0
2020-05-13,47.0,86.0,28.0,0.0,0.0,0.0,96.0,31.0,22.0,0.0
2020-05-14,36.0,68.0,57.0,0.0,0.0,29.0,58.0,76.0,34.0,0.0
2020-05-15,37.0,71.0,46.0,0.0,0.0,28.0,47.0,19.0,22.0,0.0
2020-05-16,43.0,66.0,44.0,0.0,0.0,0.0,30.0,20.0,27.0,0.0
2020-05-17,51.0,73.0,45.0,94.0,0.0,0.0,86.0,41.0,84.0,0.0
2020-05-18,30.0,68.0,31.0,84.0,0.0,0.0,32.0,25.0,63.0,0.0
2020-05-19,47.0,80.0,28.0,0.0,0.0,28.0,76.0,39.0,0.0,0.0
2020-05-20,41.0,83.0,56.0,0.0,0.0,29.0,39.0,34.0,23.0,0.0
2020-05-21,38.0,82.0,29.0,79.0,0.0,29.0,40.0,29.0,23.0,0.0
