,Just For Laughs,Eventbrite,Osheaga,Piknic Electronik,Ticketmaster,Jazz Fest,Mural Festival,Francos de Montreal,Montreal Pride,Fringe Festival
2020-03-07,100.0,33.0,14.0,48.0,21.0,0.0,100.0,0.0,58.0,0.0
2020-03-08,0.0,21.0,8.0,46.0,22.0,0.0,0.0,0.0,56.0,0.0
2020-03-09,0.0,37.0,3.0,40.0,16.0,40.0,83.0,0.0,48.0,0.0
2020-03-10,41.0,36.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,85.0,28.0,5.0,0.0,22.0,41.0,0.0,0.0,98.0,85.0
2020-03-12,41.0,18.0,5.0,39.0,36.0,79.0,0.0,0.0,47.0,0.0
2020-03-13,40.0,18.0,4.0,0.0,24.0,0.0,82.0,0.0,0.0,0.0
2020-03-14,0.0,22.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,18.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,0.0,2.0,0.0,17.0,40.0,0.0,0.0,48.0,0.0
2020-03-18,42.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,42.0,18.0,0.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,0.0,35.0,6.0,0.0,11.0,39.0,0.0,0.0,0.0,79.0
2020-03-21,45.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,45.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,52.0,0.0
2020-03-23,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,0.0,0.0,2.0,0.0,11.0,38.0,0.0,0.0,46.0,0.0
2020-03-25,0.0,0.0,5.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,0.0,18.0,2.0,39.0,9.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,40.0,18.0,2.0,0.0,11.0,0.0,80.0,0.0,46.0,0.0
2020-03-28,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,53.0,0.0
2020-03-29,43.0,19.0,2.0,41.0,9.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,0.0,34.0,0.0,0.0,13.0,0.0,77.0,0.0,0.0,0.0
2020-03-31,0.0,18.0,4.0,38.0,11.0,0.0,0.0,78.0,0.0,0.0
2020-04-01,0.0,0.0,3.0,0.0,16.0,38.0,0.0,0.0,44.0,0.0
2020-04-02,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,44.0,0.0
2020-04-03,39.0,17.0,6.0,37.0,15.0,0.0,0.0,0.0,45.0,0.0
2020-04-04,46.0,0.0,2.0,0.0,6.0,44.0,0.0,0.0,0.0,0.0
2020-04-05,42.0,18.0,2.0,0.0,12.0,41.0,0.0,0.0,48.0,0.0
2020-04-06,37.0,16.0,2.0,35.0,5.0,36.0,75.0,0.0,0.0,0.0
2020-04-07,38.0,34.0,2.0,0.0,7.0,0.0,77.0,0.0,0.0,0.0
2020-04-08,0.0,0.0,4.0,36.0,16.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,37.0,16.0,7.0,0.0,10.0,0.0,0.0,0.0,42.0,0.0
2020-04-10,0.0,18.0,4.0,0.0,13.0,38.0,0.0,0.0,0.0,0.0
2020-04-11,85.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,39.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,0.0,17.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,0.0,0.0,2.0,0.0,11.0,37.0,0.0,0.0,0.0,0.0
2020-04-16,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,38.0,26.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,45.0,0.0,2.0,0.0,12.0,43.0,0.0,0.0,0.0,0.0
2020-04-19,41.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,48.0,0.0
2020-04-20,38.0,34.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,0.0,16.0,0.0,35.0,5.0,0.0,0.0,0.0,43.0,0.0
2020-04-22,38.0,17.0,0.0,0.0,8.0,0.0,75.0,0.0,0.0,0.0
2020-04-23,0.0,42.0,4.0,0.0,9.0,0.0,76.0,0.0,0.0,0.0
2020-04-24,40.0,18.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,69.0,0.0,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,0.0,19.0,2.0,0.0,6.0,42.0,0.0,0.0,0.0,0.0
2020-04-27,38.0,33.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,0.0,35.0,2.0,38.0,14.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,0.0,17.0,2.0,38.0,7.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,0.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,39.0,34.0,2.0,0.0,14.0,0.0,78.0,0.0,0.0,0.0
2020-05-02,0.0,0.0,0.0,44.0,7.0,0.0,0.0,0.0,54.0,0.0
2020-05-03,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,17.0,2.0,35.0,11.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,0.0,0.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,40.0,17.0,4.0,0.0,9.0,0.0,0.0,0.0,46.0,0.0
2020-05-07,0.0,17.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,0.0,34.0,0.0,0.0,5.0,0.0,0.0,0.0,45.0,0.0
2020-05-09,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,42.0,19.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,38.0,34.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,0.0,17.0,0.0,37.0,7.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,0.0,0.0,2.0,37.0,9.0,0.0,0.0,0.0,44.0,0.0
2020-05-14,0.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,38.0,17.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,0.0,20.0,2.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
2020-05-17,48.0,0.0,3.0,45.0,7.0,0.0,95.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,82.0,6.0,0.0,87.0,0.0,0.0,0.0
2020-05-19,39.0,35.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
2020-05-20,59.0,17.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
