,beer,wine,spirits,cocktails,cider,Corona beer,Coors,rum,drunk,alcoholic
2020-03-08,66.0,59.0,0.0,36.0,43.0,22.0,32.0,38.0,38.0,40.0
2020-03-09,58.0,37.0,0.0,46.0,19.0,38.0,28.0,17.0,33.0,46.0
2020-03-10,40.0,48.0,17.0,23.0,19.0,37.0,27.0,41.0,22.0,45.0
2020-03-11,78.0,50.0,17.0,0.0,29.0,68.0,85.0,17.0,23.0,71.0
2020-03-12,87.0,39.0,34.0,34.0,37.0,65.0,41.0,44.0,22.0,23.0
2020-03-13,74.0,48.0,100.0,23.0,64.0,46.0,40.0,32.0,32.0,22.0
2020-03-14,91.0,57.0,0.0,27.0,66.0,78.0,65.0,45.0,32.0,81.0
2020-03-15,81.0,48.0,19.0,26.0,0.0,64.0,52.0,44.0,100.0,0.0
2020-03-16,40.0,32.0,17.0,23.0,55.0,56.0,28.0,33.0,21.0,0.0
2020-03-17,49.0,43.0,17.0,23.0,56.0,85.0,41.0,16.0,60.0,31.0
2020-03-18,45.0,38.0,26.0,23.0,37.0,38.0,0.0,58.0,22.0,69.0
2020-03-19,59.0,48.0,17.0,35.0,38.0,47.0,41.0,39.0,39.0,47.0
2020-03-20,47.0,37.0,33.0,38.0,18.0,0.0,40.0,38.0,16.0,30.0
2020-03-21,65.0,57.0,19.0,38.0,41.0,52.0,30.0,61.0,42.0,25.0
2020-03-22,66.0,49.0,37.0,25.0,41.0,21.0,0.0,64.0,18.0,25.0
2020-03-23,34.0,26.0,15.0,20.0,25.0,17.0,48.0,29.0,34.0,0.0
2020-03-24,47.0,37.0,16.0,23.0,54.0,0.0,40.0,32.0,21.0,0.0
2020-03-25,62.0,72.0,17.0,24.0,19.0,19.0,0.0,34.0,22.0,35.0
2020-03-26,55.0,53.0,34.0,34.0,46.0,28.0,55.0,33.0,11.0,23.0
2020-03-27,52.0,50.0,33.0,44.0,45.0,18.0,53.0,32.0,21.0,22.0
2020-03-28,63.0,56.0,0.0,51.0,51.0,0.0,61.0,42.0,54.0,0.0
2020-03-29,83.0,54.0,53.0,48.0,78.0,20.0,29.0,29.0,23.0,60.0
2020-03-30,45.0,42.0,16.0,43.0,52.0,0.0,0.0,36.0,25.0,0.0
2020-03-31,41.0,50.0,33.0,45.0,36.0,18.0,26.0,48.0,42.0,22.0
2020-04-01,52.0,54.0,16.0,33.0,43.0,18.0,51.0,31.0,46.0,0.0
2020-04-02,56.0,54.0,32.0,43.0,44.0,35.0,51.0,31.0,46.0,32.0
2020-04-03,54.0,46.0,24.0,22.0,35.0,18.0,26.0,47.0,26.0,22.0
2020-04-04,89.0,73.0,19.0,52.0,21.0,42.0,31.0,43.0,73.0,51.0
2020-04-05,65.0,49.0,17.0,47.0,38.0,58.0,56.0,34.0,28.0,47.0
2020-04-06,68.0,36.0,31.0,21.0,50.0,25.0,50.0,55.0,30.0,31.0
2020-04-07,51.0,45.0,16.0,32.0,35.0,18.0,39.0,26.0,51.0,21.0
2020-04-08,50.0,48.0,16.0,50.0,34.0,53.0,64.0,35.0,30.0,0.0
2020-04-09,57.0,54.0,0.0,21.0,83.0,0.0,41.0,24.0,34.0,21.0
2020-04-10,57.0,71.0,0.0,37.0,45.0,18.0,40.0,32.0,16.0,22.0
2020-04-11,65.0,51.0,44.0,24.0,58.0,20.0,57.0,57.0,56.0,35.0
2020-04-12,57.0,68.0,0.0,75.0,61.0,20.0,60.0,42.0,36.0,25.0
2020-04-13,52.0,50.0,16.0,22.0,44.0,18.0,43.0,41.0,41.0,22.0
2020-04-14,63.0,52.0,16.0,21.0,34.0,0.0,25.0,23.0,30.0,63.0
2020-04-15,43.0,49.0,31.0,42.0,68.0,17.0,67.0,50.0,30.0,35.0
2020-04-16,60.0,53.0,0.0,21.0,43.0,35.0,51.0,30.0,25.0,0.0
2020-04-17,52.0,65.0,16.0,58.0,44.0,18.0,34.0,46.0,31.0,21.0
2020-04-18,89.0,90.0,37.0,100.0,40.0,30.0,30.0,36.0,42.0,33.0
2020-04-19,59.0,56.0,17.0,70.0,47.0,19.0,55.0,44.0,27.0,46.0
2020-04-20,54.0,38.0,31.0,43.0,51.0,35.0,0.0,23.0,35.0,42.0
2020-04-21,54.0,38.0,38.0,31.0,100.0,17.0,25.0,35.0,34.0,0.0
2020-04-22,59.0,43.0,0.0,35.0,34.0,17.0,25.0,40.0,55.0,21.0
2020-04-23,64.0,36.0,47.0,57.0,34.0,35.0,0.0,23.0,35.0,21.0
2020-04-24,65.0,68.0,58.0,34.0,54.0,0.0,40.0,48.0,27.0,67.0
2020-04-25,71.0,58.0,29.0,52.0,52.0,63.0,46.0,49.0,49.0,51.0
2020-04-26,63.0,56.0,36.0,73.0,88.0,0.0,58.0,17.0,23.0,24.0
2020-04-27,37.0,41.0,23.0,32.0,43.0,17.0,25.0,15.0,65.0,21.0
2020-04-28,38.0,48.0,16.0,56.0,54.0,0.0,52.0,32.0,42.0,0.0
2020-04-29,57.0,56.0,17.0,45.0,73.0,0.0,40.0,24.0,37.0,37.0
2020-04-30,54.0,44.0,0.0,34.0,81.0,0.0,24.0,39.0,24.0,30.0
2020-05-01,73.0,43.0,16.0,51.0,44.0,18.0,35.0,52.0,16.0,22.0
2020-05-02,77.0,53.0,19.0,53.0,53.0,21.0,78.0,37.0,37.0,26.0
2020-05-03,71.0,52.0,18.0,50.0,40.0,0.0,30.0,71.0,24.0,25.0
2020-05-04,56.0,49.0,15.0,32.0,34.0,0.0,25.0,30.0,30.0,42.0
2020-05-05,49.0,35.0,15.0,20.0,48.0,0.0,36.0,29.0,28.0,59.0
2020-05-06,56.0,43.0,49.0,37.0,44.0,18.0,26.0,21.0,10.0,44.0
2020-05-07,39.0,43.0,24.0,22.0,71.0,0.0,61.0,26.0,16.0,22.0
2020-05-08,58.0,61.0,0.0,44.0,79.0,18.0,52.0,52.0,10.0,22.0
2020-05-09,70.0,53.0,35.0,31.0,28.0,0.0,83.0,62.0,39.0,47.0
2020-05-10,68.0,55.0,35.0,48.0,19.0,0.0,28.0,43.0,40.0,24.0
2020-05-11,60.0,44.0,16.0,21.0,60.0,0.0,51.0,46.0,20.0,43.0
2020-05-12,42.0,41.0,40.0,43.0,87.0,18.0,51.0,23.0,26.0,22.0
2020-05-13,44.0,39.0,16.0,22.0,35.0,18.0,52.0,39.0,46.0,22.0
2020-05-14,40.0,56.0,16.0,22.0,72.0,18.0,40.0,47.0,31.0,22.0
2020-05-15,48.0,40.0,48.0,43.0,35.0,0.0,51.0,31.0,46.0,21.0
2020-05-16,76.0,65.0,0.0,65.0,31.0,0.0,31.0,49.0,24.0,26.0
2020-05-17,66.0,61.0,39.0,36.0,43.0,22.0,63.0,51.0,38.0,27.0
2020-05-18,52.0,57.0,36.0,37.0,59.0,20.0,58.0,46.0,34.0,0.0
2020-05-19,64.0,45.0,65.0,22.0,71.0,0.0,26.0,21.0,36.0,22.0
2020-05-20,58.0,39.0,0.0,44.0,0.0,0.0,53.0,16.0,21.0,0.0
