,Photoshop,Adobe,Winrar,Java,VLC	,Avast,Filehippo,SAP,Shopify	,Zoom
2020-03-08,77.0,49.0,0.0,39.0,36.0,36.0,0.0,9.0,14.0,2.0
2020-03-09,80.0,60.0,0.0,66.0,42.0,31.0,0.0,53.0,32.0,7.0
2020-03-10,85.0,59.0,45.0,63.0,15.0,30.0,0.0,50.0,20.0,5.0
2020-03-11,58.0,66.0,23.0,49.0,40.0,35.0,0.0,70.0,23.0,6.0
2020-03-12,56.0,66.0,23.0,46.0,26.0,46.0,0.0,72.0,24.0,9.0
2020-03-13,32.0,61.0,0.0,47.0,20.0,45.0,0.0,44.0,20.0,11.0
2020-03-14,43.0,44.0,0.0,32.0,49.0,27.0,0.0,41.0,9.0,10.0
2020-03-15,52.0,34.0,0.0,24.0,23.0,26.0,0.0,17.0,9.0,11.0
2020-03-16,33.0,62.0,0.0,37.0,46.0,38.0,0.0,22.0,25.0,27.0
2020-03-17,43.0,77.0,46.0,36.0,51.0,46.0,0.0,55.0,25.0,32.0
2020-03-18,86.0,82.0,23.0,49.0,41.0,35.0,0.0,40.0,26.0,47.0
2020-03-19,69.0,72.0,34.0,50.0,39.0,46.0,0.0,45.0,20.0,40.0
2020-03-20,58.0,75.0,44.0,39.0,30.0,45.0,0.0,53.0,19.0,44.0
2020-03-21,40.0,47.0,38.0,33.0,40.0,25.0,0.0,25.0,17.0,38.0
2020-03-22,65.0,46.0,100.0,24.0,68.0,51.0,0.0,25.0,10.0,43.0
2020-03-23,43.0,85.0,30.0,50.0,20.0,40.0,72.0,55.0,24.0,62.0
2020-03-24,76.0,76.0,44.0,49.0,30.0,33.0,0.0,43.0,22.0,80.0
2020-03-25,73.0,100.0,23.0,35.0,68.0,54.0,0.0,50.0,17.0,70.0
2020-03-26,49.0,84.0,34.0,32.0,61.0,34.0,0.0,52.0,23.0,72.0
2020-03-27,57.0,91.0,22.0,43.0,40.0,22.0,0.0,48.0,27.0,79.0
2020-03-28,51.0,66.0,50.0,22.0,51.0,38.0,89.0,19.0,14.0,63.0
2020-03-29,45.0,55.0,48.0,32.0,27.0,48.0,0.0,21.0,12.0,56.0
2020-03-30,79.0,67.0,21.0,51.0,43.0,21.0,0.0,49.0,22.0,90.0
2020-03-31,48.0,81.0,22.0,57.0,75.0,33.0,0.0,46.0,23.0,94.0
2020-04-01,71.0,99.0,21.0,55.0,43.0,29.0,0.0,23.0,26.0,91.0
2020-04-02,74.0,86.0,32.0,51.0,36.0,64.0,0.0,42.0,36.0,100.0
2020-04-03,66.0,66.0,54.0,38.0,34.0,22.0,0.0,50.0,29.0,94.0
2020-04-04,81.0,41.0,89.0,44.0,46.0,60.0,0.0,25.0,19.0,63.0
2020-04-05,50.0,48.0,0.0,33.0,71.0,23.0,0.0,13.0,15.0,75.0
2020-04-06,74.0,89.0,31.0,63.0,37.0,55.0,0.0,50.0,18.0,85.0
2020-04-07,52.0,93.0,21.0,67.0,24.0,21.0,0.0,37.0,37.0,84.0
2020-04-08,42.0,96.0,42.0,58.0,47.0,28.0,0.0,53.0,21.0,85.0
2020-04-09,64.0,70.0,20.0,35.0,69.0,41.0,0.0,27.0,25.0,80.0
2020-04-10,70.0,88.0,22.0,23.0,60.0,66.0,0.0,22.0,12.0,62.0
2020-04-11,64.0,51.0,23.0,42.0,43.0,36.0,0.0,39.0,19.0,61.0
2020-04-12,100.0,48.0,49.0,46.0,50.0,100.0,0.0,11.0,20.0,67.0
2020-04-13,89.0,56.0,54.0,38.0,29.0,21.0,0.0,42.0,16.0,50.0
2020-04-14,60.0,86.0,31.0,40.0,52.0,0.0,74.0,75.0,37.0,68.0
2020-04-15,78.0,86.0,42.0,47.0,38.0,42.0,0.0,57.0,34.0,65.0
2020-04-16,49.0,71.0,0.0,45.0,62.0,50.0,76.0,49.0,32.0,69.0
2020-04-17,74.0,74.0,86.0,49.0,22.0,36.0,76.0,58.0,39.0,65.0
2020-04-18,78.0,43.0,49.0,31.0,45.0,41.0,0.0,35.0,29.0,48.0
2020-04-19,43.0,54.0,46.0,51.0,41.0,46.0,0.0,26.0,28.0,43.0
2020-04-20,72.0,73.0,42.0,53.0,47.0,35.0,0.0,44.0,41.0,60.0
2020-04-21,44.0,84.0,20.0,52.0,46.0,41.0,0.0,65.0,45.0,61.0
2020-04-22,78.0,72.0,21.0,59.0,42.0,70.0,0.0,32.0,37.0,67.0
2020-04-23,73.0,91.0,32.0,39.0,33.0,32.0,0.0,51.0,48.0,68.0
2020-04-24,64.0,51.0,45.0,44.0,30.0,45.0,0.0,51.0,38.0,56.0
2020-04-25,77.0,55.0,51.0,37.0,40.0,39.0,0.0,17.0,18.0,44.0
2020-04-26,66.0,52.0,24.0,36.0,27.0,48.0,86.0,34.0,17.0,39.0
2020-04-27,57.0,80.0,52.0,43.0,28.0,42.0,0.0,53.0,41.0,55.0
2020-04-28,60.0,62.0,33.0,49.0,25.0,22.0,0.0,60.0,36.0,56.0
2020-04-29,54.0,48.0,22.0,46.0,50.0,33.0,78.0,65.0,52.0,58.0
2020-04-30,78.0,67.0,40.0,39.0,32.0,40.0,72.0,44.0,32.0,57.0
2020-05-01,65.0,61.0,32.0,46.0,34.0,44.0,0.0,47.0,29.0,54.0
2020-05-02,82.0,67.0,26.0,28.0,29.0,78.0,0.0,23.0,21.0,33.0
2020-05-03,43.0,53.0,86.0,27.0,100.0,25.0,0.0,8.0,25.0,41.0
2020-05-04,78.0,63.0,52.0,30.0,42.0,31.0,0.0,43.0,33.0,51.0
2020-05-05,54.0,94.0,39.0,47.0,45.0,40.0,0.0,67.0,37.0,55.0
2020-05-06,72.0,78.0,43.0,39.0,44.0,36.0,0.0,52.0,74.0,56.0
2020-05-07,59.0,59.0,22.0,44.0,39.0,44.0,77.0,43.0,100.0,57.0
2020-05-08,65.0,65.0,21.0,50.0,34.0,36.0,0.0,54.0,53.0,61.0
2020-05-09,64.0,53.0,46.0,33.0,52.0,23.0,0.0,36.0,39.0,39.0
2020-05-10,61.0,53.0,70.0,25.0,21.0,24.0,0.0,18.0,41.0,46.0
2020-05-11,63.0,57.0,21.0,49.0,57.0,35.0,0.0,53.0,38.0,64.0
2020-05-12,58.0,81.0,21.0,43.0,38.0,97.0,0.0,51.0,39.0,62.0
2020-05-13,59.0,74.0,85.0,44.0,24.0,22.0,0.0,52.0,37.0,67.0
2020-05-14,66.0,97.0,44.0,53.0,49.0,66.0,0.0,45.0,42.0,59.0
2020-05-15,64.0,99.0,21.0,49.0,72.0,75.0,0.0,47.0,35.0,55.0
2020-05-16,50.0,36.0,26.0,35.0,69.0,26.0,0.0,28.0,22.0,30.0
2020-05-17,34.0,31.0,0.0,23.0,36.0,27.0,0.0,32.0,18.0,37.0
2020-05-18,45.0,65.0,36.0,37.0,38.0,24.0,0.0,24.0,27.0,32.0
2020-05-19,62.0,68.0,43.0,41.0,34.0,43.0,0.0,52.0,32.0,65.0
2020-05-20,75.0,52.0,22.0,53.0,59.0,44.0,,58.0,44.0,69.0
