,Bank of Montreal,Desjardins,Laurentian Bank,TD,CIBC,RBC,HSBC,Banque Nationale,BMO,Bitcoin
2020-03-07,24.0,56.0,41.0,51.0,46.0,53.0,16.0,44.0,37.0,20.0
2020-03-08,46.0,52.0,27.0,37.0,39.0,39.0,15.0,32.0,35.0,19.0
2020-03-09,30.0,73.0,29.0,57.0,81.0,74.0,46.0,61.0,54.0,52.0
2020-03-10,20.0,72.0,57.0,62.0,69.0,72.0,64.0,51.0,62.0,36.0
2020-03-11,82.0,80.0,59.0,61.0,70.0,73.0,40.0,60.0,56.0,31.0
2020-03-12,39.0,83.0,28.0,68.0,50.0,73.0,44.0,61.0,66.0,60.0
2020-03-13,39.0,82.0,100.0,62.0,72.0,80.0,38.0,59.0,63.0,100.0
2020-03-14,55.0,69.0,40.0,52.0,68.0,61.0,38.0,39.0,54.0,76.0
2020-03-15,23.0,57.0,26.0,42.0,42.0,45.0,0.0,37.0,39.0,54.0
2020-03-16,72.0,85.0,28.0,63.0,65.0,86.0,45.0,61.0,68.0,73.0
2020-03-17,73.0,95.0,51.0,70.0,88.0,75.0,90.0,69.0,68.0,56.0
2020-03-18,94.0,92.0,75.0,81.0,81.0,85.0,39.0,89.0,75.0,57.0
2020-03-19,100.0,97.0,51.0,77.0,81.0,86.0,52.0,99.0,80.0,60.0
2020-03-20,58.0,91.0,55.0,92.0,87.0,80.0,37.0,78.0,74.0,49.0
2020-03-21,37.0,60.0,25.0,55.0,61.0,60.0,36.0,45.0,47.0,38.0
2020-03-22,22.0,47.0,19.0,42.0,28.0,46.0,35.0,42.0,32.0,48.0
2020-03-23,87.0,97.0,45.0,88.0,74.0,76.0,45.0,86.0,74.0,49.0
2020-03-24,70.0,87.0,66.0,88.0,84.0,86.0,49.0,90.0,77.0,43.0
2020-03-25,47.0,93.0,35.0,86.0,97.0,82.0,32.0,81.0,77.0,38.0
2020-03-26,39.0,96.0,68.0,93.0,88.0,95.0,45.0,87.0,78.0,41.0
2020-03-27,29.0,86.0,55.0,89.0,71.0,87.0,50.0,72.0,85.0,39.0
2020-03-28,55.0,56.0,25.0,56.0,56.0,53.0,28.0,47.0,44.0,37.0
2020-03-29,31.0,49.0,18.0,33.0,38.0,41.0,0.0,35.0,32.0,34.0
2020-03-30,56.0,84.0,72.0,73.0,77.0,82.0,54.0,70.0,71.0,22.0
2020-03-31,32.0,85.0,66.0,79.0,89.0,83.0,55.0,77.0,85.0,33.0
2020-04-01,43.0,98.0,69.0,93.0,87.0,83.0,72.0,79.0,79.0,31.0
2020-04-02,43.0,93.0,47.0,83.0,82.0,78.0,53.0,73.0,72.0,31.0
2020-04-03,50.0,83.0,27.0,69.0,88.0,84.0,18.0,71.0,69.0,37.0
2020-04-04,33.0,48.0,38.0,51.0,57.0,59.0,29.0,46.0,50.0,28.0
2020-04-05,41.0,46.0,52.0,35.0,36.0,44.0,26.0,40.0,35.0,17.0
2020-04-06,42.0,87.0,57.0,72.0,79.0,67.0,23.0,71.0,67.0,30.0
2020-04-07,56.0,87.0,37.0,72.0,70.0,71.0,48.0,67.0,77.0,27.0
2020-04-08,55.0,96.0,47.0,78.0,69.0,84.0,36.0,76.0,68.0,30.0
2020-04-09,100.0,100.0,66.0,78.0,100.0,100.0,34.0,100.0,90.0,30.0
2020-04-10,67.0,86.0,55.0,63.0,69.0,70.0,63.0,78.0,63.0,34.0
2020-04-11,41.0,56.0,41.0,52.0,48.0,52.0,0.0,48.0,43.0,33.0
2020-04-12,36.0,43.0,25.0,32.0,32.0,37.0,14.0,36.0,32.0,42.0
2020-04-13,37.0,62.0,40.0,65.0,71.0,62.0,12.0,59.0,55.0,33.0
2020-04-14,48.0,95.0,54.0,79.0,79.0,78.0,47.0,84.0,68.0,29.0
2020-04-15,36.0,90.0,73.0,77.0,76.0,81.0,76.0,78.0,86.0,32.0
2020-04-16,49.0,91.0,68.0,69.0,93.0,88.0,30.0,71.0,70.0,28.0
2020-04-17,74.0,78.0,48.0,73.0,77.0,68.0,42.0,72.0,69.0,30.0
2020-04-18,21.0,54.0,37.0,57.0,53.0,58.0,28.0,41.0,38.0,33.0
2020-04-19,30.0,43.0,43.0,30.0,37.0,41.0,25.0,29.0,34.0,28.0
2020-04-20,43.0,85.0,63.0,72.0,94.0,73.0,71.0,87.0,63.0,23.0
