,learn french,Duolingo,TED,Khan Academy,goodreads,translate,lessons,classes,online classes,summer courses
2020-03-08,38.0,47.0,48.0,19.0,32.0,55.0,91.0,73.0,0.0,0.0
2020-03-09,33.0,22.0,79.0,17.0,38.0,91.0,41.0,58.0,0.0,39.0
2020-03-10,33.0,40.0,49.0,33.0,18.0,88.0,40.0,60.0,0.0,38.0
2020-03-11,0.0,17.0,47.0,17.0,29.0,93.0,48.0,68.0,31.0,39.0
2020-03-12,0.0,36.0,33.0,33.0,0.0,96.0,35.0,60.0,0.0,0.0
2020-03-13,0.0,27.0,36.0,49.0,37.0,84.0,29.0,59.0,0.0,37.0
2020-03-14,39.0,26.0,48.0,0.0,44.0,67.0,21.0,64.0,35.0,0.0
2020-03-15,37.0,37.0,56.0,19.0,21.0,65.0,60.0,36.0,34.0,0.0
2020-03-16,33.0,53.0,66.0,33.0,18.0,87.0,46.0,57.0,30.0,0.0
2020-03-17,0.0,35.0,45.0,33.0,28.0,89.0,35.0,69.0,60.0,38.0
2020-03-18,33.0,38.0,66.0,100.0,28.0,84.0,47.0,43.0,0.0,0.0
2020-03-19,33.0,27.0,58.0,25.0,38.0,95.0,24.0,52.0,60.0,0.0
2020-03-20,0.0,34.0,48.0,16.0,18.0,89.0,28.0,36.0,58.0,37.0
2020-03-21,0.0,45.0,55.0,28.0,41.0,63.0,45.0,45.0,33.0,0.0
2020-03-22,36.0,42.0,45.0,37.0,20.0,65.0,26.0,47.0,33.0,42.0
2020-03-23,29.0,69.0,54.0,22.0,16.0,87.0,62.0,58.0,26.0,33.0
2020-03-24,32.0,66.0,48.0,24.0,18.0,95.0,40.0,45.0,43.0,0.0
2020-03-25,33.0,69.0,33.0,17.0,19.0,97.0,18.0,61.0,30.0,39.0
2020-03-26,0.0,59.0,37.0,33.0,28.0,87.0,58.0,66.0,30.0,0.0
2020-03-27,32.0,55.0,48.0,40.0,54.0,90.0,62.0,42.0,44.0,36.0
2020-03-28,0.0,48.0,36.0,55.0,20.0,64.0,45.0,48.0,100.0,0.0
2020-03-29,0.0,45.0,73.0,17.0,29.0,63.0,61.0,30.0,31.0,0.0
2020-03-30,31.0,61.0,61.0,77.0,17.0,92.0,16.0,59.0,84.0,0.0
2020-03-31,31.0,97.0,63.0,40.0,27.0,94.0,59.0,66.0,57.0,0.0
2020-04-01,46.0,74.0,35.0,31.0,35.0,93.0,66.0,40.0,28.0,35.0
2020-04-02,31.0,94.0,66.0,63.0,26.0,87.0,25.0,81.0,56.0,71.0
2020-04-03,0.0,73.0,47.0,32.0,18.0,92.0,50.0,58.0,86.0,0.0
2020-04-04,36.0,36.0,45.0,0.0,21.0,64.0,26.0,73.0,83.0,0.0
2020-04-05,100.0,44.0,71.0,34.0,28.0,62.0,18.0,50.0,46.0,0.0
2020-04-06,0.0,69.0,45.0,45.0,17.0,87.0,53.0,47.0,27.0,0.0
2020-04-07,0.0,87.0,62.0,23.0,0.0,94.0,49.0,65.0,28.0,0.0
2020-04-08,30.0,100.0,68.0,15.0,17.0,85.0,43.0,61.0,0.0,35.0
2020-04-09,29.0,65.0,47.0,44.0,16.0,87.0,21.0,51.0,40.0,34.0
2020-04-10,32.0,58.0,51.0,16.0,18.0,71.0,39.0,64.0,29.0,37.0
2020-04-11,0.0,42.0,68.0,17.0,38.0,62.0,30.0,59.0,47.0,39.0
2020-04-12,0.0,27.0,76.0,18.0,30.0,69.0,44.0,56.0,49.0,41.0
2020-04-13,31.0,74.0,62.0,39.0,44.0,75.0,27.0,49.0,42.0,36.0
2020-04-14,30.0,74.0,64.0,23.0,25.0,90.0,48.0,47.0,41.0,34.0
2020-04-15,0.0,65.0,23.0,31.0,17.0,87.0,48.0,58.0,83.0,0.0
2020-04-16,61.0,43.0,38.0,38.0,34.0,94.0,16.0,45.0,28.0,35.0
2020-04-17,0.0,56.0,54.0,39.0,26.0,89.0,38.0,75.0,42.0,36.0
2020-04-18,0.0,29.0,48.0,18.0,50.0,65.0,50.0,71.0,32.0,0.0
2020-04-19,0.0,49.0,74.0,0.0,19.0,68.0,35.0,43.0,0.0,0.0
2020-04-20,30.0,92.0,64.0,38.0,42.0,86.0,43.0,45.0,27.0,35.0
2020-04-21,0.0,66.0,59.0,45.0,25.0,92.0,39.0,49.0,54.0,34.0
2020-04-22,0.0,57.0,64.0,30.0,34.0,90.0,40.0,66.0,0.0,35.0
2020-04-23,30.0,48.0,95.0,31.0,17.0,94.0,49.0,64.0,55.0,70.0
2020-04-24,32.0,66.0,36.0,32.0,0.0,89.0,23.0,50.0,58.0,37.0
2020-04-25,37.0,24.0,51.0,19.0,41.0,62.0,39.0,48.0,67.0,0.0
2020-04-26,0.0,40.0,73.0,17.0,58.0,68.0,31.0,70.0,32.0,40.0
2020-04-27,0.0,67.0,30.0,30.0,17.0,93.0,32.0,50.0,41.0,35.0
2020-04-28,32.0,39.0,63.0,32.0,44.0,88.0,33.0,47.0,29.0,36.0
2020-04-29,32.0,61.0,52.0,48.0,18.0,91.0,34.0,61.0,29.0,0.0
2020-04-30,0.0,55.0,40.0,15.0,32.0,90.0,20.0,60.0,26.0,33.0
2020-05-01,0.0,41.0,43.0,16.0,18.0,84.0,25.0,49.0,43.0,36.0
