,toilet paper,tissues,towels,soap,shampoo,razor,hair clipper,toothpaste,deodorant,conditioner
2020-03-08,8.0,0.0,65.0,57.0,59.0,18.0,0.0,29.0,43.0,29.0
2020-03-09,11.0,0.0,0.0,36.0,63.0,48.0,0.0,37.0,38.0,27.0
2020-03-10,18.0,0.0,28.0,60.0,66.0,55.0,0.0,43.0,22.0,23.0
2020-03-11,22.0,0.0,0.0,45.0,52.0,49.0,0.0,29.0,23.0,10.0
2020-03-12,46.0,50.0,28.0,54.0,43.0,62.0,0.0,46.0,56.0,25.0
2020-03-13,100.0,100.0,55.0,80.0,38.0,15.0,0.0,18.0,54.0,19.0
2020-03-14,81.0,60.0,44.0,58.0,69.0,37.0,0.0,22.0,66.0,28.0
2020-03-15,39.0,0.0,32.0,59.0,44.0,54.0,26.0,28.0,38.0,27.0
2020-03-16,23.0,50.0,55.0,65.0,66.0,21.0,0.0,18.0,67.0,17.0
2020-03-17,19.0,0.0,42.0,76.0,54.0,37.0,23.0,31.0,22.0,20.0
2020-03-18,11.0,51.0,42.0,58.0,67.0,37.0,0.0,18.0,34.0,25.0
2020-03-19,11.0,51.0,28.0,60.0,43.0,24.0,0.0,28.0,37.0,20.0
2020-03-20,13.0,0.0,41.0,66.0,40.0,26.0,22.0,36.0,22.0,34.0
2020-03-21,15.0,56.0,41.0,75.0,73.0,17.0,0.0,20.0,0.0,11.0
2020-03-22,16.0,0.0,31.0,75.0,47.0,35.0,50.0,41.0,37.0,11.0
2020-03-23,12.0,0.0,37.0,65.0,58.0,51.0,0.0,16.0,29.0,20.0
2020-03-24,11.0,0.0,27.0,81.0,26.0,40.0,22.0,24.0,21.0,16.0
2020-03-25,6.0,0.0,28.0,77.0,47.0,32.0,46.0,28.0,53.0,27.0
2020-03-26,11.0,0.0,55.0,97.0,54.0,26.0,0.0,18.0,44.0,15.0
2020-03-27,6.0,49.0,81.0,55.0,38.0,38.0,22.0,18.0,65.0,14.0
2020-03-28,4.0,0.0,0.0,84.0,39.0,52.0,100.0,20.0,25.0,22.0
2020-03-29,7.0,54.0,29.0,100.0,57.0,39.0,0.0,0.0,23.0,17.0
2020-03-30,4.0,0.0,65.0,66.0,43.0,66.0,0.0,17.0,42.0,25.0
2020-03-31,7.0,0.0,0.0,63.0,72.0,61.0,0.0,27.0,43.0,26.0
2020-04-01,5.0,0.0,53.0,59.0,62.0,22.0,21.0,35.0,31.0,25.0
2020-04-02,4.0,0.0,26.0,64.0,73.0,52.0,43.0,17.0,42.0,28.0
