,Chlamydia,VIH,Herpès,Blennorragie,HPV,Hépatite B,Syphilis,STI,STD,Hépatite A
2020-03-07,32.0,43.0,0.0,0.0,24.0,47.0,28.0,64.0,64.0,0.0
2020-03-08,37.0,21.0,49.0,0.0,22.0,0.0,27.0,69.0,31.0,35.0
2020-03-09,90.0,18.0,43.0,0.0,20.0,0.0,31.0,72.0,53.0,30.0
2020-03-10,64.0,26.0,84.0,0.0,29.0,0.0,46.0,41.0,26.0,0.0
2020-03-11,50.0,73.0,44.0,0.0,20.0,0.0,24.0,55.0,54.0,31.0
2020-03-12,42.0,18.0,42.0,0.0,29.0,0.0,0.0,58.0,26.0,0.0
2020-03-13,47.0,61.0,0.0,0.0,19.0,0.0,33.0,29.0,64.0,0.0
2020-03-14,75.0,74.0,100.0,0.0,0.0,0.0,41.0,56.0,31.0,0.0
2020-03-15,37.0,51.0,0.0,0.0,45.0,0.0,0.0,34.0,30.0,34.0
2020-03-16,32.0,26.0,42.0,0.0,32.0,0.0,0.0,58.0,78.0,0.0
2020-03-17,32.0,44.0,0.0,0.0,19.0,0.0,23.0,41.0,66.0,0.0
2020-03-18,32.0,36.0,0.0,0.0,0.0,39.0,46.0,24.0,36.0,30.0
2020-03-19,43.0,27.0,42.0,0.0,29.0,0.0,35.0,27.0,27.0,0.0
2020-03-20,26.0,26.0,41.0,0.0,19.0,0.0,89.0,43.0,77.0,0.0
2020-03-21,30.0,0.0,47.0,0.0,0.0,43.0,25.0,20.0,0.0,0.0
2020-03-22,29.0,0.0,46.0,0.0,0.0,43.0,50.0,39.0,0.0,0.0
2020-03-23,23.0,32.0,0.0,0.0,17.0,0.0,40.0,39.0,92.0,0.0
2020-03-24,51.0,34.0,0.0,0.0,28.0,0.0,22.0,51.0,51.0,0.0
2020-03-25,24.0,18.0,0.0,0.0,20.0,0.0,23.0,30.0,40.0,0.0
2020-03-26,16.0,44.0,42.0,0.0,19.0,0.0,23.0,26.0,61.0,0.0
2020-03-27,31.0,60.0,41.0,0.0,19.0,38.0,22.0,43.0,51.0,0.0
2020-03-28,29.0,39.0,46.0,0.0,21.0,0.0,50.0,39.0,58.0,0.0
2020-03-29,25.0,19.0,44.0,87.0,0.0,41.0,0.0,31.0,42.0,0.0
2020-03-30,40.0,25.0,39.0,0.0,18.0,36.0,21.0,49.0,25.0,0.0
2020-03-31,62.0,68.0,0.0,0.0,19.0,0.0,0.0,28.0,51.0,0.0
2020-04-01,25.0,17.0,39.0,0.0,18.0,0.0,22.0,58.0,25.0,0.0
2020-04-02,25.0,33.0,0.0,0.0,0.0,36.0,21.0,74.0,98.0,28.0
