,Expedia,hotels.com,airbnb,Flighthub,Hôtel,trivago,Marriott,hôtel,réservation,couchsurfing
2020-03-07,60.0,0.0,60.0,63.0,61.0,58.0,24.0,58.0,83.0,0.0
2020-03-08,67.0,27.0,80.0,72.0,76.0,69.0,35.0,69.0,91.0,0.0
2020-03-09,58.0,23.0,72.0,48.0,46.0,58.0,61.0,81.0,39.0,60.0
2020-03-10,60.0,31.0,67.0,57.0,70.0,48.0,65.0,65.0,51.0,0.0
2020-03-11,54.0,24.0,54.0,69.0,36.0,33.0,47.0,39.0,40.0,0.0
2020-03-12,60.0,23.0,63.0,57.0,45.0,52.0,30.0,45.0,58.0,59.0
2020-03-13,42.0,34.0,54.0,74.0,54.0,31.0,37.0,44.0,38.0,58.0
2020-03-14,97.0,27.0,46.0,68.0,35.0,40.0,57.0,43.0,77.0,0.0
2020-03-15,53.0,0.0,61.0,55.0,23.0,11.0,43.0,24.0,22.0,68.0
2020-03-16,37.0,34.0,58.0,75.0,40.0,7.0,22.0,44.0,26.0,59.0
2020-03-17,39.0,23.0,39.0,85.0,15.0,10.0,33.0,38.0,19.0,60.0
2020-03-18,19.0,23.0,33.0,48.0,51.0,10.0,20.0,42.0,33.0,0.0
2020-03-19,28.0,0.0,33.0,29.0,15.0,12.0,34.0,17.0,19.0,0.0
2020-03-20,23.0,22.0,31.0,14.0,10.0,6.0,32.0,20.0,0.0,0.0
2020-03-21,22.0,0.0,22.0,26.0,17.0,13.0,39.0,23.0,32.0,66.0
2020-03-22,22.0,0.0,19.0,21.0,22.0,9.0,21.0,17.0,43.0,0.0
2020-03-23,23.0,20.0,22.0,19.0,22.0,8.0,20.0,27.0,35.0,0.0
2020-03-24,10.0,22.0,16.0,21.0,10.0,12.0,14.0,10.0,0.0,0.0
2020-03-25,19.0,0.0,24.0,14.0,10.0,8.0,15.0,37.0,30.0,0.0
2020-03-26,14.0,23.0,17.0,42.0,20.0,10.0,10.0,21.0,0.0,0.0
2020-03-27,19.0,0.0,22.0,32.0,24.0,5.0,11.0,30.0,19.0,0.0
2020-03-28,14.0,0.0,31.0,16.0,16.0,13.0,21.0,15.0,22.0,0.0
2020-03-29,11.0,0.0,24.0,15.0,21.0,15.0,18.0,27.0,0.0,0.0
2020-03-30,12.0,0.0,32.0,13.0,23.0,4.0,19.0,23.0,27.0,0.0
2020-03-31,10.0,0.0,26.0,27.0,19.0,9.0,19.0,23.0,19.0,57.0
2020-04-01,13.0,0.0,25.0,27.0,9.0,9.0,26.0,10.0,0.0,0.0
2020-04-02,19.0,21.0,17.0,22.0,19.0,4.0,9.0,22.0,0.0,0.0
2020-04-03,16.0,22.0,17.0,41.0,38.0,0.0,22.0,46.0,28.0,0.0
2020-04-04,9.0,0.0,17.0,24.0,17.0,5.0,8.0,17.0,0.0,0.0
