,mediterranean diet,diet,atkins diet,dash diet,keto diet,weight loss,low carb diet,raw vegan,carnivore diet,plant based diet
2020-03-07,40.0,63.0,94.0,0.0,44.0,36.0,54.0,65.0,48.0,0.0
2020-03-08,0.0,58.0,0.0,0.0,18.0,27.0,51.0,0.0,0.0,0.0
2020-03-09,0.0,71.0,0.0,0.0,47.0,27.0,45.0,0.0,0.0,0.0
2020-03-10,32.0,47.0,0.0,0.0,41.0,13.0,0.0,0.0,40.0,0.0
2020-03-11,0.0,55.0,0.0,0.0,40.0,27.0,91.0,0.0,0.0,0.0
2020-03-12,0.0,31.0,0.0,41.0,15.0,20.0,44.0,53.0,0.0,27.0
2020-03-13,0.0,19.0,0.0,0.0,25.0,13.0,0.0,0.0,0.0,0.0
2020-03-14,38.0,42.0,0.0,0.0,36.0,12.0,0.0,0.0,47.0,0.0
2020-03-15,0.0,39.0,0.0,0.0,18.0,45.0,50.0,0.0,0.0,0.0
2020-03-16,32.0,37.0,0.0,41.0,31.0,39.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,21.0,78.0,0.0,15.0,23.0,0.0,0.0,0.0,0.0
2020-03-18,0.0,20.0,0.0,0.0,16.0,7.0,0.0,0.0,0.0,27.0
2020-03-19,0.0,39.0,0.0,0.0,16.0,10.0,0.0,0.0,0.0,0.0
2020-03-20,0.0,36.0,0.0,0.0,30.0,10.0,0.0,52.0,39.0,0.0
2020-03-21,36.0,32.0,85.0,0.0,34.0,22.0,0.0,59.0,44.0,30.0
2020-03-22,0.0,44.0,0.0,0.0,42.0,73.0,0.0,0.0,0.0,0.0
2020-03-23,29.0,33.0,0.0,0.0,41.0,15.0,0.0,0.0,0.0,0.0
2020-03-24,0.0,30.0,0.0,0.0,30.0,19.0,43.0,0.0,38.0,0.0
2020-03-25,0.0,31.0,0.0,0.0,16.0,27.0,0.0,0.0,41.0,0.0
2020-03-26,32.0,32.0,0.0,0.0,30.0,26.0,0.0,0.0,0.0,0.0
2020-03-27,0.0,30.0,0.0,0.0,15.0,32.0,0.0,0.0,0.0,52.0
2020-03-28,0.0,47.0,0.0,0.0,26.0,18.0,0.0,0.0,0.0,30.0
2020-03-29,0.0,36.0,82.0,0.0,16.0,10.0,0.0,0.0,0.0,28.0
2020-03-30,0.0,29.0,0.0,0.0,19.0,28.0,0.0,100.0,0.0,0.0
2020-03-31,0.0,44.0,0.0,0.0,37.0,32.0,0.0,0.0,0.0,26.0
2020-04-01,0.0,29.0,0.0,0.0,24.0,31.0,0.0,0.0,0.0,25.0
