,staples,pens,envelopes,scissors,stapler	,quill,calculator,printer,printer ink,glue
2020-03-08,64.0,32.0,0.0,83.0,0.0,0.0,67.0,53.0,0.0,55.0
2020-03-09,49.0,28.0,0.0,24.0,0.0,41.0,81.0,58.0,39.0,41.0
2020-03-10,66.0,41.0,40.0,36.0,0.0,81.0,80.0,38.0,0.0,60.0
2020-03-11,88.0,28.0,0.0,24.0,0.0,42.0,86.0,71.0,52.0,37.0
2020-03-12,42.0,27.0,0.0,35.0,22.0,0.0,73.0,49.0,25.0,22.0
2020-03-13,53.0,27.0,0.0,23.0,22.0,40.0,51.0,42.0,25.0,31.0
2020-03-14,43.0,0.0,0.0,28.0,27.0,47.0,55.0,36.0,0.0,64.0
2020-03-15,52.0,0.0,0.0,28.0,26.0,46.0,51.0,52.0,59.0,42.0
2020-03-16,90.0,27.0,40.0,24.0,0.0,40.0,61.0,40.0,25.0,58.0
2020-03-17,67.0,55.0,41.0,47.0,0.0,0.0,60.0,40.0,25.0,45.0
2020-03-18,46.0,28.0,0.0,0.0,23.0,0.0,62.0,57.0,0.0,59.0
2020-03-19,64.0,41.0,0.0,24.0,0.0,0.0,67.0,69.0,0.0,27.0
2020-03-20,68.0,81.0,0.0,46.0,0.0,0.0,54.0,46.0,25.0,44.0
2020-03-21,57.0,61.0,0.0,53.0,0.0,0.0,54.0,55.0,28.0,100.0
2020-03-22,83.0,60.0,0.0,26.0,0.0,44.0,56.0,44.0,0.0,74.0
2020-03-23,75.0,24.0,0.0,0.0,0.0,35.0,42.0,69.0,45.0,71.0
2020-03-24,70.0,53.0,39.0,0.0,0.0,0.0,56.0,77.0,37.0,74.0
2020-03-25,65.0,0.0,0.0,0.0,0.0,41.0,60.0,82.0,26.0,73.0
2020-03-26,75.0,27.0,40.0,63.0,0.0,0.0,54.0,63.0,0.0,36.0
2020-03-27,56.0,53.0,59.0,34.0,22.0,0.0,75.0,48.0,0.0,57.0
2020-03-28,70.0,45.0,0.0,26.0,38.0,44.0,50.0,55.0,28.0,55.0
2020-03-29,57.0,0.0,43.0,25.0,0.0,42.0,57.0,62.0,0.0,57.0
2020-03-30,54.0,26.0,0.0,22.0,0.0,37.0,76.0,82.0,24.0,46.0
2020-03-31,61.0,0.0,0.0,30.0,0.0,77.0,68.0,71.0,49.0,56.0
2020-04-01,65.0,26.0,0.0,22.0,0.0,0.0,54.0,93.0,24.0,34.0
2020-04-02,68.0,25.0,37.0,0.0,0.0,0.0,65.0,57.0,47.0,63.0
2020-04-03,87.0,0.0,0.0,23.0,0.0,0.0,66.0,68.0,61.0,34.0
2020-04-04,75.0,62.0,0.0,35.0,0.0,45.0,65.0,45.0,28.0,68.0
2020-04-05,56.0,42.0,0.0,36.0,0.0,0.0,58.0,70.0,0.0,69.0
2020-04-06,63.0,25.0,37.0,50.0,0.0,36.0,63.0,60.0,23.0,37.0
2020-04-07,74.0,52.0,38.0,22.0,0.0,0.0,70.0,75.0,24.0,42.0
2020-04-08,86.0,76.0,37.0,36.0,0.0,74.0,80.0,100.0,47.0,75.0
2020-04-09,65.0,0.0,0.0,32.0,0.0,36.0,71.0,59.0,0.0,40.0
2020-04-10,82.0,40.0,0.0,38.0,22.0,39.0,65.0,59.0,41.0,70.0
2020-04-11,44.0,0.0,0.0,41.0,0.0,41.0,64.0,44.0,53.0,56.0
2020-04-12,43.0,45.0,0.0,34.0,25.0,44.0,52.0,31.0,0.0,54.0
2020-04-13,71.0,0.0,38.0,67.0,0.0,0.0,77.0,49.0,24.0,30.0
2020-04-14,72.0,63.0,37.0,22.0,21.0,0.0,72.0,69.0,70.0,49.0
2020-04-15,70.0,25.0,37.0,29.0,0.0,37.0,82.0,50.0,39.0,54.0
2020-04-16,82.0,25.0,38.0,44.0,0.0,37.0,77.0,61.0,23.0,50.0
2020-04-17,71.0,77.0,0.0,30.0,0.0,0.0,72.0,73.0,0.0,80.0
2020-04-18,59.0,30.0,0.0,60.0,0.0,44.0,66.0,49.0,27.0,39.0
2020-04-19,63.0,27.0,0.0,24.0,0.0,40.0,64.0,54.0,25.0,58.0
2020-04-20,67.0,77.0,37.0,36.0,21.0,37.0,74.0,37.0,23.0,42.0
2020-04-21,79.0,25.0,37.0,28.0,20.0,0.0,90.0,60.0,23.0,57.0
2020-04-22,81.0,25.0,0.0,43.0,0.0,37.0,86.0,63.0,39.0,78.0
2020-04-23,62.0,0.0,38.0,66.0,0.0,56.0,100.0,62.0,24.0,55.0
2020-04-24,77.0,54.0,40.0,23.0,44.0,40.0,94.0,76.0,100.0,84.0
2020-04-25,41.0,62.0,0.0,53.0,25.0,0.0,72.0,64.0,57.0,71.0
2020-04-26,67.0,29.0,43.0,63.0,0.0,0.0,68.0,50.0,27.0,48.0
2020-04-27,92.0,38.0,37.0,0.0,0.0,0.0,76.0,69.0,47.0,54.0
2020-04-28,58.0,26.0,39.0,23.0,0.0,0.0,83.0,79.0,37.0,56.0
2020-04-29,57.0,27.0,40.0,23.0,22.0,0.0,83.0,46.0,25.0,73.0
2020-04-30,32.0,72.0,0.0,41.0,20.0,36.0,82.0,60.0,22.0,51.0
2020-05-01,49.0,0.0,39.0,23.0,21.0,0.0,66.0,70.0,0.0,77.0
2020-05-02,41.0,31.0,46.0,54.0,25.0,46.0,62.0,51.0,0.0,66.0
2020-05-03,62.0,30.0,44.0,26.0,0.0,44.0,71.0,36.0,69.0,54.0
2020-05-04,74.0,62.0,0.0,28.0,20.0,0.0,76.0,62.0,53.0,53.0
2020-05-05,74.0,0.0,35.0,21.0,39.0,35.0,77.0,78.0,37.0,43.0
2020-05-06,67.0,53.0,0.0,23.0,43.0,38.0,85.0,79.0,98.0,43.0
2020-05-07,61.0,52.0,0.0,38.0,0.0,38.0,79.0,52.0,36.0,43.0
2020-05-08,43.0,39.0,39.0,56.0,0.0,38.0,70.0,58.0,24.0,90.0
2020-05-09,37.0,28.0,0.0,96.0,0.0,41.0,57.0,55.0,26.0,18.0
2020-05-10,44.0,42.0,42.0,49.0,35.0,0.0,59.0,61.0,0.0,65.0
2020-05-11,84.0,25.0,0.0,33.0,0.0,38.0,66.0,70.0,35.0,54.0
2020-05-12,87.0,26.0,0.0,66.0,0.0,37.0,88.0,66.0,47.0,25.0
2020-05-13,66.0,26.0,0.0,67.0,21.0,38.0,92.0,49.0,24.0,47.0
2020-05-14,67.0,26.0,39.0,23.0,22.0,0.0,92.0,54.0,48.0,47.0
2020-05-15,79.0,51.0,0.0,45.0,0.0,37.0,86.0,62.0,0.0,80.0
2020-05-16,75.0,62.0,0.0,27.0,25.0,0.0,83.0,45.0,29.0,46.0
2020-05-17,67.0,63.0,0.0,0.0,27.0,0.0,69.0,49.0,44.0,57.0
2020-05-18,67.0,29.0,0.0,25.0,24.0,42.0,70.0,52.0,0.0,64.0
2020-05-19,97.0,0.0,0.0,44.0,21.0,0.0,89.0,51.0,0.0,89.0
2020-05-20,79.0,26.0,39.0,68.0,22.0,0.0,92.0,64.0,33.0,48.0
2020-05-21,75.0,81.0,40.0,23.0,0.0,0.0,88.0,74.0,25.0,58.0
