,McDonald's,KFC,Pizza hut,Burger king,Wendy's,A&W,St-Hubert,Subway,Domino's,Taco Bell
2020-03-07,35.0,36.0,65.0,57.0,23.0,42.0,48.0,39.0,46.0,28.0
2020-03-08,42.0,44.0,54.0,42.0,34.0,52.0,41.0,35.0,39.0,0.0
2020-03-09,36.0,32.0,22.0,68.0,19.0,21.0,28.0,34.0,32.0,0.0
2020-03-10,41.0,31.0,28.0,41.0,26.0,36.0,34.0,30.0,17.0,45.0
2020-03-11,33.0,22.0,42.0,38.0,20.0,26.0,30.0,29.0,28.0,35.0
2020-03-12,31.0,29.0,39.0,39.0,0.0,29.0,28.0,36.0,27.0,46.0
2020-03-13,37.0,25.0,30.0,30.0,31.0,36.0,47.0,23.0,54.0,0.0
2020-03-14,41.0,15.0,53.0,74.0,23.0,34.0,36.0,18.0,59.0,27.0
2020-03-15,36.0,43.0,43.0,59.0,22.0,31.0,29.0,24.0,39.0,26.0
2020-03-16,48.0,25.0,23.0,46.0,29.0,20.0,33.0,32.0,36.0,23.0
2020-03-17,59.0,19.0,28.0,31.0,58.0,42.0,21.0,29.0,54.0,0.0
2020-03-18,43.0,25.0,32.0,58.0,39.0,45.0,40.0,22.0,52.0,23.0
2020-03-19,30.0,45.0,38.0,47.0,32.0,60.0,40.0,24.0,48.0,23.0
2020-03-20,44.0,57.0,52.0,61.0,19.0,34.0,52.0,33.0,62.0,22.0
2020-03-21,39.0,42.0,45.0,40.0,32.0,43.0,32.0,30.0,69.0,51.0
2020-03-22,36.0,21.0,55.0,80.0,32.0,25.0,27.0,23.0,60.0,63.0
2020-03-23,31.0,29.0,19.0,27.0,17.0,27.0,24.0,16.0,37.0,0.0
2020-03-24,34.0,28.0,48.0,45.0,28.0,37.0,29.0,27.0,45.0,0.0
2020-03-25,37.0,26.0,27.0,63.0,39.0,33.0,26.0,28.0,24.0,23.0
2020-03-26,42.0,37.0,71.0,57.0,48.0,21.0,30.0,28.0,41.0,45.0
2020-03-27,30.0,41.0,65.0,55.0,37.0,41.0,41.0,30.0,47.0,22.0
2020-03-28,41.0,32.0,61.0,63.0,21.0,57.0,35.0,21.0,54.0,0.0
2020-03-29,34.0,35.0,47.0,87.0,40.0,32.0,28.0,22.0,39.0,36.0
2020-03-30,28.0,35.0,38.0,24.0,0.0,25.0,36.0,31.0,28.0,21.0
2020-03-31,37.0,37.0,28.0,60.0,28.0,30.0,34.0,27.0,40.0,33.0
2020-04-01,30.0,39.0,23.0,68.0,18.0,40.0,42.0,35.0,41.0,21.0
2020-04-02,33.0,24.0,45.0,44.0,27.0,34.0,35.0,23.0,27.0,22.0
2020-04-03,35.0,44.0,78.0,40.0,43.0,50.0,60.0,31.0,68.0,22.0
2020-04-04,46.0,37.0,85.0,52.0,32.0,41.0,49.0,29.0,67.0,25.0
2020-04-05,28.0,17.0,69.0,37.0,0.0,33.0,41.0,40.0,56.0,23.0
2020-04-06,22.0,23.0,35.0,19.0,26.0,28.0,26.0,16.0,38.0,41.0
2020-04-07,15.0,35.0,47.0,51.0,30.0,31.0,32.0,36.0,33.0,43.0
2020-04-08,32.0,39.0,34.0,34.0,18.0,25.0,27.0,26.0,43.0,64.0
2020-04-09,32.0,51.0,62.0,28.0,29.0,48.0,51.0,31.0,43.0,0.0
2020-04-10,40.0,40.0,65.0,70.0,25.0,28.0,51.0,34.0,57.0,22.0
2020-04-11,34.0,39.0,59.0,64.0,30.0,38.0,50.0,30.0,48.0,0.0
2020-04-12,34.0,46.0,64.0,34.0,42.0,29.0,59.0,32.0,45.0,25.0
2020-04-13,37.0,35.0,50.0,24.0,18.0,34.0,29.0,20.0,40.0,22.0
2020-04-14,25.0,54.0,37.0,38.0,23.0,30.0,25.0,27.0,37.0,0.0
2020-04-15,30.0,23.0,41.0,71.0,18.0,41.0,35.0,19.0,34.0,53.0
2020-04-16,24.0,64.0,51.0,63.0,18.0,48.0,46.0,33.0,32.0,0.0
2020-04-17,46.0,39.0,58.0,58.0,72.0,47.0,52.0,37.0,55.0,22.0
2020-04-18,27.0,36.0,75.0,34.0,84.0,54.0,51.0,45.0,65.0,75.0
2020-04-19,23.0,42.0,86.0,62.0,19.0,44.0,55.0,31.0,56.0,34.0
2020-04-20,19.0,39.0,34.0,38.0,18.0,30.0,42.0,25.0,36.0,0.0
2020-04-21,32.0,42.0,34.0,56.0,17.0,24.0,44.0,41.0,40.0,20.0
2020-04-22,33.0,54.0,46.0,52.0,23.0,33.0,40.0,28.0,39.0,21.0
2020-04-23,34.0,54.0,28.0,14.0,53.0,52.0,33.0,29.0,42.0,32.0
2020-04-24,31.0,62.0,66.0,51.0,25.0,49.0,48.0,44.0,40.0,0.0
2020-04-25,43.0,80.0,44.0,58.0,22.0,39.0,46.0,57.0,39.0,52.0
2020-04-26,40.0,71.0,77.0,87.0,20.0,24.0,49.0,38.0,39.0,24.0
2020-04-27,26.0,42.0,43.0,52.0,44.0,37.0,35.0,33.0,45.0,42.0
2020-04-28,26.0,28.0,46.0,55.0,31.0,24.0,47.0,36.0,41.0,0.0
2020-04-29,32.0,65.0,33.0,30.0,43.0,32.0,48.0,33.0,27.0,0.0
2020-04-30,28.0,44.0,44.0,64.0,28.0,30.0,34.0,27.0,41.0,40.0
2020-05-01,22.0,56.0,54.0,49.0,37.0,35.0,63.0,43.0,47.0,43.0
2020-05-02,47.0,43.0,65.0,47.0,66.0,74.0,44.0,50.0,37.0,39.0
2020-05-03,37.0,50.0,94.0,78.0,52.0,48.0,49.0,60.0,50.0,0.0
2020-05-04,22.0,31.0,40.0,42.0,26.0,21.0,42.0,24.0,30.0,83.0
2020-05-05,27.0,29.0,46.0,32.0,33.0,32.0,32.0,36.0,28.0,30.0
2020-05-06,30.0,36.0,31.0,50.0,18.0,40.0,34.0,43.0,41.0,33.0
2020-05-07,29.0,28.0,46.0,54.0,37.0,33.0,43.0,33.0,24.0,44.0
2020-05-08,26.0,52.0,67.0,44.0,18.0,56.0,52.0,49.0,30.0,33.0
2020-05-09,29.0,51.0,51.0,69.0,20.0,41.0,59.0,37.0,45.0,23.0
2020-05-10,32.0,91.0,90.0,48.0,39.0,55.0,100.0,59.0,39.0,24.0
2020-05-11,28.0,35.0,30.0,72.0,41.0,27.0,28.0,34.0,30.0,32.0
2020-05-12,27.0,23.0,30.0,43.0,30.0,23.0,32.0,36.0,40.0,21.0
2020-05-13,30.0,20.0,32.0,68.0,42.0,36.0,33.0,50.0,26.0,32.0
2020-05-14,31.0,12.0,46.0,60.0,28.0,52.0,34.0,39.0,34.0,44.0
2020-05-15,29.0,47.0,52.0,44.0,45.0,41.0,44.0,34.0,50.0,43.0
2020-05-16,32.0,33.0,68.0,76.0,65.0,45.0,57.0,44.0,48.0,26.0
2020-05-17,60.0,68.0,80.0,42.0,34.0,33.0,60.0,63.0,38.0,26.0
2020-05-18,40.0,44.0,47.0,60.0,41.0,39.0,48.0,48.0,33.0,72.0
2020-05-19,27.0,28.0,29.0,34.0,37.0,33.0,32.0,26.0,34.0,22.0
2020-05-20,47.0,24.0,31.0,15.0,19.0,28.0,23.0,45.0,25.0,0.0
