,happy,anxiety,angry,sad,depression,horny,lonely,bored,worried,in love
2020-03-08,25.0,46.0,52.0,74.0,59.0,44.0,36.0,23.0,37.0,69.0
2020-03-09,12.0,73.0,34.0,65.0,85.0,33.0,25.0,13.0,0.0,62.0
2020-03-10,10.0,67.0,44.0,45.0,61.0,32.0,30.0,13.0,63.0,44.0
2020-03-11,11.0,88.0,57.0,61.0,40.0,0.0,32.0,14.0,33.0,30.0
2020-03-12,11.0,78.0,44.0,41.0,67.0,54.0,18.0,13.0,0.0,42.0
2020-03-13,13.0,77.0,22.0,53.0,33.0,26.0,36.0,32.0,31.0,45.0
2020-03-14,9.0,38.0,46.0,65.0,46.0,32.0,51.0,16.0,0.0,50.0
2020-03-15,13.0,86.0,51.0,37.0,42.0,31.0,42.0,31.0,37.0,66.0
2020-03-16,11.0,67.0,50.0,36.0,53.0,11.0,24.0,26.0,32.0,38.0
2020-03-17,13.0,53.0,39.0,72.0,67.0,32.0,49.0,46.0,32.0,40.0
2020-03-18,11.0,51.0,45.0,74.0,28.0,22.0,37.0,40.0,32.0,60.0
2020-03-19,14.0,72.0,56.0,69.0,70.0,27.0,74.0,73.0,32.0,34.0
2020-03-20,15.0,52.0,54.0,71.0,49.0,37.0,36.0,58.0,93.0,41.0
2020-03-21,13.0,44.0,80.0,65.0,46.0,24.0,61.0,29.0,35.0,44.0
2020-03-22,11.0,71.0,30.0,65.0,68.0,36.0,81.0,51.0,0.0,65.0
2020-03-23,12.0,60.0,29.0,56.0,52.0,43.0,32.0,24.0,28.0,59.0
2020-03-24,14.0,34.0,43.0,48.0,65.0,42.0,44.0,45.0,31.0,49.0
2020-03-25,13.0,72.0,68.0,64.0,37.0,55.0,28.0,27.0,32.0,53.0
2020-03-26,14.0,57.0,33.0,50.0,58.0,38.0,18.0,40.0,32.0,46.0
2020-03-27,13.0,76.0,81.0,44.0,32.0,26.0,44.0,26.0,0.0,61.0
2020-03-28,13.0,51.0,37.0,65.0,59.0,36.0,47.0,51.0,35.0,81.0
2020-03-29,14.0,67.0,47.0,48.0,62.0,51.0,26.0,35.0,100.0,80.0
2020-03-30,15.0,57.0,78.0,81.0,44.0,70.0,34.0,37.0,0.0,43.0
2020-03-31,12.0,51.0,37.0,46.0,65.0,21.0,29.0,32.0,0.0,61.0
2020-04-01,18.0,47.0,42.0,51.0,55.0,56.0,29.0,25.0,30.0,51.0
2020-04-02,13.0,43.0,93.0,34.0,34.0,20.0,34.0,25.0,44.0,53.0
2020-04-03,16.0,58.0,87.0,39.0,75.0,31.0,41.0,25.0,0.0,54.0
2020-04-04,14.0,64.0,81.0,66.0,50.0,42.0,41.0,37.0,0.0,59.0
2020-04-05,16.0,37.0,40.0,46.0,43.0,55.0,63.0,34.0,33.0,67.0
2020-04-06,13.0,55.0,45.0,70.0,61.0,24.0,66.0,36.0,0.0,55.0
2020-04-07,12.0,43.0,47.0,38.0,42.0,30.0,46.0,100.0,29.0,49.0
2020-04-08,15.0,69.0,20.0,33.0,33.0,35.0,17.0,18.0,30.0,35.0
2020-04-09,18.0,54.0,30.0,73.0,57.0,24.0,49.0,47.0,28.0,41.0
2020-04-10,20.0,31.0,54.0,83.0,49.0,26.0,62.0,51.0,0.0,73.0
2020-04-11,24.0,29.0,69.0,70.0,60.0,28.0,44.0,20.0,33.0,74.0
2020-04-12,63.0,62.0,55.0,59.0,33.0,59.0,53.0,29.0,35.0,62.0
2020-04-13,17.0,61.0,37.0,64.0,74.0,25.0,40.0,37.0,0.0,69.0
2020-04-14,15.0,52.0,46.0,58.0,54.0,25.0,34.0,55.0,0.0,42.0
2020-04-15,13.0,62.0,41.0,63.0,54.0,30.0,59.0,18.0,29.0,46.0
2020-04-16,13.0,50.0,72.0,59.0,49.0,100.0,28.0,55.0,29.0,37.0
2020-04-17,13.0,37.0,79.0,60.0,37.0,60.0,61.0,44.0,0.0,55.0
2020-04-18,18.0,69.0,48.0,59.0,36.0,53.0,59.0,14.0,34.0,57.0
2020-04-19,21.0,50.0,44.0,72.0,50.0,38.0,46.0,33.0,32.0,78.0
2020-04-20,11.0,33.0,67.0,42.0,44.0,15.0,45.0,37.0,0.0,56.0
2020-04-21,15.0,45.0,53.0,57.0,68.0,39.0,28.0,36.0,29.0,63.0
2020-04-22,14.0,39.0,46.0,54.0,51.0,35.0,17.0,18.0,29.0,52.0
2020-04-23,15.0,53.0,47.0,63.0,70.0,25.0,26.0,25.0,30.0,59.0
2020-04-24,17.0,31.0,43.0,49.0,38.0,21.0,36.0,32.0,0.0,41.0
2020-04-25,15.0,60.0,75.0,56.0,22.0,42.0,55.0,30.0,71.0,71.0
2020-04-26,13.0,49.0,41.0,38.0,53.0,34.0,71.0,21.0,34.0,58.0
2020-04-27,12.0,56.0,38.0,37.0,64.0,20.0,34.0,18.0,29.0,52.0
2020-04-28,15.0,41.0,43.0,48.0,70.0,68.0,53.0,32.0,0.0,61.0
2020-04-29,10.0,63.0,33.0,58.0,58.0,42.0,36.0,45.0,0.0,60.0
2020-04-30,15.0,66.0,80.0,72.0,64.0,71.0,32.0,46.0,0.0,65.0
2020-05-01,18.0,61.0,42.0,39.0,32.0,36.0,26.0,19.0,61.0,52.0
2020-05-02,15.0,48.0,38.0,67.0,67.0,37.0,42.0,30.0,36.0,48.0
2020-05-03,16.0,46.0,48.0,54.0,82.0,35.0,46.0,14.0,0.0,80.0
2020-05-04,13.0,55.0,35.0,37.0,48.0,34.0,44.0,24.0,85.0,38.0
2020-05-05,16.0,37.0,72.0,55.0,58.0,23.0,32.0,23.0,28.0,46.0
2020-05-06,14.0,68.0,64.0,43.0,40.0,57.0,29.0,32.0,0.0,38.0
2020-05-07,17.0,34.0,69.0,91.0,37.0,21.0,29.0,25.0,30.0,36.0
2020-05-08,21.0,57.0,32.0,69.0,34.0,20.0,35.0,13.0,0.0,50.0
2020-05-09,24.0,43.0,28.0,28.0,37.0,22.0,19.0,34.0,0.0,54.0
2020-05-10,85.0,41.0,52.0,66.0,46.0,22.0,48.0,27.0,33.0,54.0
2020-05-11,19.0,49.0,51.0,50.0,62.0,25.0,51.0,12.0,44.0,43.0
2020-05-12,15.0,43.0,51.0,34.0,39.0,30.0,28.0,12.0,0.0,55.0
2020-05-13,14.0,61.0,58.0,52.0,48.0,41.0,23.0,19.0,0.0,40.0
2020-05-14,11.0,27.0,43.0,26.0,59.0,63.0,29.0,32.0,30.0,40.0
2020-05-15,15.0,57.0,26.0,21.0,50.0,35.0,23.0,19.0,30.0,67.0
2020-05-16,14.0,64.0,31.0,46.0,44.0,49.0,55.0,0.0,36.0,52.0
2020-05-17,11.0,41.0,26.0,58.0,36.0,31.0,78.0,16.0,36.0,51.0
2020-05-18,17.0,34.0,53.0,77.0,50.0,51.0,39.0,21.0,33.0,56.0
2020-05-19,16.0,50.0,52.0,30.0,45.0,41.0,29.0,19.0,45.0,55.0
2020-05-20,12.0,46.0,59.0,70.0,51.0,10.0,35.0,51.0,30.0,53.0
2020-05-21,16.0,28.0,41.0,54.0,74.0,37.0,0.0,13.0,31.0,46.0
