,Justin Trudeau,Celine Dion,Ryan Renolds,Doug Ford,Francois Legault ,Valerie Plante,Donald Trump,Joe Biden,Pierre Arcand,Horacio Arruda
2020-03-07,4.0,20.0,0.0,0.0,0.0,14.0,21.0,21.0,0.0,0.0
2020-03-08,3.0,16.0,100.0,5.0,0.0,14.0,21.0,13.0,0.0,0.0
2020-03-09,3.0,15.0,0.0,0.0,0.0,12.0,34.0,19.0,0.0,3.0
2020-03-10,3.0,14.0,0.0,4.0,2.0,12.0,25.0,19.0,0.0,0.0
2020-03-11,7.0,17.0,0.0,4.0,3.0,18.0,29.0,41.0,0.0,2.0
2020-03-12,52.0,12.0,0.0,8.0,68.0,63.0,38.0,16.0,0.0,5.0
2020-03-13,88.0,14.0,0.0,12.0,65.0,16.0,42.0,14.0,0.0,9.0
2020-03-14,25.0,18.0,0.0,12.0,56.0,21.0,47.0,13.0,0.0,19.0
2020-03-15,27.0,15.0,0.0,5.0,75.0,20.0,43.0,5.0,0.0,58.0
2020-03-16,100.0,8.0,0.0,32.0,80.0,28.0,36.0,11.0,0.0,43.0
2020-03-17,44.0,11.0,0.0,32.0,76.0,44.0,23.0,8.0,0.0,31.0
2020-03-18,40.0,8.0,0.0,6.0,54.0,0.0,26.0,13.0,0.0,68.0
2020-03-19,24.0,7.0,0.0,4.0,52.0,24.0,26.0,3.0,53.0,53.0
2020-03-20,26.0,8.0,0.0,14.0,52.0,17.0,21.0,15.0,0.0,66.0
2020-03-21,18.0,12.0,0.0,9.0,48.0,13.0,24.0,3.0,0.0,66.0
2020-03-22,21.0,10.0,0.0,6.0,67.0,13.0,33.0,9.0,0.0,46.0
2020-03-23,24.0,6.0,0.0,21.0,100.0,21.0,23.0,11.0,0.0,33.0
2020-03-24,20.0,10.0,83.0,19.0,54.0,11.0,33.0,5.0,0.0,28.0
2020-03-25,23.0,5.0,0.0,17.0,52.0,12.0,34.0,5.0,0.0,26.0
2020-03-26,21.0,11.0,0.0,13.0,36.0,30.0,42.0,6.0,0.0,23.0
2020-03-27,21.0,8.0,0.0,6.0,35.0,100.0,40.0,9.0,0.0,31.0
2020-03-28,22.0,17.0,0.0,12.0,37.0,57.0,35.0,9.0,0.0,44.0
