,seeds,garden,planting,fertilizer,plants,indoor plants,outdoor plants,soil,gardening	,when to plant
2020-03-08,22.0,42.0,16.0,0.0,16.0,36.0,0.0,27.0,29.0,0.0
2020-03-09,27.0,31.0,34.0,21.0,15.0,62.0,0.0,23.0,26.0,0.0
2020-03-10,23.0,32.0,18.0,30.0,21.0,0.0,0.0,14.0,51.0,20.0
2020-03-11,24.0,23.0,14.0,0.0,17.0,0.0,0.0,18.0,26.0,0.0
2020-03-12,18.0,24.0,14.0,30.0,10.0,30.0,0.0,17.0,50.0,0.0
2020-03-13,15.0,21.0,26.0,20.0,11.0,30.0,0.0,8.0,25.0,0.0
2020-03-14,19.0,34.0,16.0,61.0,22.0,0.0,0.0,10.0,30.0,24.0
2020-03-15,39.0,35.0,26.0,24.0,17.0,0.0,0.0,10.0,29.0,0.0
2020-03-16,29.0,25.0,20.0,60.0,15.0,0.0,0.0,17.0,25.0,20.0
2020-03-17,47.0,20.0,14.0,41.0,15.0,0.0,0.0,17.0,25.0,0.0
2020-03-18,45.0,28.0,0.0,21.0,11.0,0.0,0.0,17.0,26.0,0.0
2020-03-19,34.0,29.0,18.0,20.0,23.0,31.0,0.0,13.0,25.0,20.0
2020-03-20,15.0,30.0,33.0,20.0,20.0,0.0,0.0,14.0,25.0,20.0
2020-03-21,44.0,37.0,0.0,23.0,28.0,34.0,0.0,32.0,42.0,23.0
2020-03-22,46.0,27.0,25.0,22.0,29.0,0.0,0.0,19.0,84.0,0.0
2020-03-23,39.0,19.0,20.0,18.0,17.0,0.0,0.0,20.0,22.0,0.0
2020-03-24,35.0,30.0,13.0,20.0,16.0,0.0,0.0,37.0,24.0,39.0
2020-03-25,51.0,28.0,27.0,0.0,17.0,31.0,0.0,20.0,26.0,21.0
2020-03-26,39.0,23.0,13.0,0.0,17.0,0.0,0.0,21.0,0.0,0.0
2020-03-27,48.0,20.0,39.0,46.0,21.0,30.0,0.0,22.0,25.0,20.0
2020-03-28,61.0,45.0,23.0,22.0,26.0,34.0,0.0,25.0,28.0,0.0
2020-03-29,50.0,35.0,24.0,43.0,27.0,48.0,0.0,12.0,53.0,64.0
2020-03-30,71.0,34.0,19.0,38.0,20.0,29.0,0.0,24.0,24.0,0.0
2020-03-31,63.0,25.0,20.0,0.0,16.0,0.0,0.0,30.0,24.0,59.0
2020-04-01,57.0,35.0,51.0,29.0,20.0,29.0,0.0,30.0,24.0,19.0
2020-04-02,56.0,29.0,13.0,19.0,25.0,28.0,0.0,37.0,35.0,0.0
2020-04-03,38.0,33.0,13.0,32.0,21.0,0.0,0.0,33.0,36.0,0.0
2020-04-04,80.0,49.0,30.0,30.0,35.0,34.0,0.0,39.0,28.0,23.0
2020-04-05,78.0,51.0,32.0,21.0,42.0,32.0,36.0,32.0,61.0,52.0
2020-04-06,74.0,39.0,12.0,55.0,32.0,28.0,0.0,34.0,38.0,18.0
2020-04-07,66.0,46.0,25.0,19.0,35.0,29.0,0.0,37.0,24.0,28.0
2020-04-08,73.0,35.0,25.0,44.0,30.0,28.0,0.0,37.0,69.0,19.0
2020-04-09,47.0,35.0,20.0,48.0,22.0,27.0,0.0,28.0,45.0,0.0
2020-04-10,56.0,53.0,26.0,33.0,27.0,0.0,0.0,29.0,41.0,0.0
2020-04-11,81.0,34.0,14.0,56.0,31.0,0.0,0.0,27.0,26.0,0.0
2020-04-12,60.0,55.0,20.0,55.0,28.0,100.0,0.0,41.0,41.0,29.0
2020-04-13,52.0,49.0,44.0,25.0,32.0,29.0,33.0,51.0,32.0,29.0
2020-04-14,53.0,30.0,31.0,19.0,31.0,0.0,32.0,26.0,39.0,0.0
2020-04-15,77.0,35.0,29.0,25.0,31.0,28.0,0.0,29.0,58.0,19.0
2020-04-16,64.0,42.0,0.0,37.0,28.0,28.0,0.0,29.0,39.0,0.0
2020-04-17,49.0,31.0,19.0,32.0,35.0,29.0,0.0,49.0,71.0,19.0
2020-04-18,68.0,68.0,29.0,66.0,55.0,33.0,38.0,50.0,55.0,51.0
2020-04-19,81.0,56.0,27.0,71.0,39.0,30.0,35.0,32.0,34.0,100.0
2020-04-20,56.0,44.0,37.0,38.0,20.0,28.0,0.0,37.0,39.0,19.0
2020-04-21,66.0,52.0,18.0,37.0,30.0,28.0,0.0,39.0,23.0,18.0
2020-04-22,34.0,36.0,43.0,37.0,20.0,28.0,0.0,24.0,23.0,19.0
2020-04-23,32.0,40.0,29.0,38.0,29.0,43.0,0.0,38.0,63.0,19.0
2020-04-24,54.0,49.0,31.0,46.0,33.0,30.0,0.0,34.0,98.0,40.0
2020-04-25,92.0,75.0,56.0,38.0,43.0,35.0,0.0,58.0,99.0,30.0
2020-04-26,100.0,73.0,33.0,96.0,38.0,0.0,0.0,36.0,67.0,32.0
2020-04-27,43.0,55.0,58.0,56.0,35.0,42.0,0.0,47.0,62.0,37.0
2020-04-28,65.0,45.0,26.0,46.0,41.0,29.0,34.0,55.0,49.0,39.0
2020-04-29,49.0,54.0,27.0,66.0,25.0,0.0,0.0,56.0,58.0,26.0
2020-04-30,53.0,49.0,36.0,36.0,40.0,45.0,0.0,45.0,59.0,24.0
2020-05-01,55.0,52.0,52.0,48.0,39.0,29.0,0.0,52.0,72.0,19.0
2020-05-02,48.0,74.0,46.0,54.0,71.0,52.0,40.0,88.0,76.0,23.0
2020-05-03,63.0,77.0,68.0,44.0,63.0,33.0,38.0,47.0,64.0,51.0
2020-05-04,40.0,56.0,33.0,18.0,35.0,27.0,32.0,52.0,61.0,36.0
2020-05-05,66.0,66.0,20.0,35.0,43.0,53.0,0.0,27.0,29.0,26.0
2020-05-06,43.0,57.0,26.0,19.0,41.0,29.0,34.0,66.0,24.0,49.0
2020-05-07,43.0,71.0,17.0,58.0,43.0,29.0,0.0,41.0,56.0,39.0
2020-05-08,43.0,52.0,32.0,19.0,49.0,0.0,0.0,54.0,40.0,19.0
2020-05-09,35.0,51.0,37.0,82.0,49.0,31.0,36.0,55.0,90.0,21.0
2020-05-10,30.0,47.0,23.0,21.0,54.0,31.0,72.0,42.0,52.0,21.0
2020-05-11,49.0,49.0,29.0,28.0,42.0,29.0,0.0,34.0,47.0,19.0
2020-05-12,54.0,49.0,25.0,47.0,45.0,28.0,49.0,35.0,47.0,38.0
2020-05-13,67.0,57.0,39.0,58.0,52.0,58.0,0.0,49.0,36.0,19.0
2020-05-14,51.0,54.0,39.0,45.0,55.0,29.0,34.0,47.0,36.0,78.0
2020-05-15,45.0,57.0,38.0,89.0,41.0,29.0,100.0,62.0,47.0,32.0
2020-05-16,53.0,98.0,71.0,76.0,83.0,35.0,40.0,61.0,85.0,46.0
2020-05-17,49.0,99.0,73.0,55.0,85.0,0.0,83.0,86.0,88.0,39.0
2020-05-18,55.0,100.0,100.0,50.0,90.0,32.0,0.0,100.0,80.0,28.0
2020-05-19,49.0,79.0,47.0,64.0,71.0,29.0,100.0,67.0,40.0,38.0
2020-05-20,35.0,82.0,48.0,39.0,58.0,29.0,34.0,80.0,65.0,29.0
2020-05-21,70.0,74.0,49.0,100.0,100.0,50.0,35.0,71.0,100.0,20.0
