,engagement ring,wedding dress,groom,wedding anniversary,bridal shower,bride,cash,wedding invitation,wedding venue,engagement
2020-03-07,51.0,74.0,42.0,0.0,49.0,55.0,65.0,0.0,0.0,30.0
2020-03-08,49.0,63.0,24.0,0.0,48.0,59.0,55.0,0.0,47.0,32.0
2020-03-09,28.0,20.0,21.0,40.0,62.0,68.0,48.0,0.0,0.0,39.0
2020-03-10,28.0,100.0,48.0,0.0,0.0,67.0,58.0,45.0,0.0,43.0
2020-03-11,29.0,31.0,0.0,0.0,64.0,47.0,60.0,0.0,0.0,40.0
2020-03-12,0.0,20.0,27.0,0.0,0.0,34.0,64.0,0.0,0.0,70.0
2020-03-13,0.0,29.0,20.0,0.0,40.0,22.0,80.0,0.0,40.0,43.0
2020-03-14,33.0,0.0,24.0,47.0,48.0,70.0,59.0,0.0,0.0,39.0
2020-03-15,32.0,0.0,48.0,0.0,0.0,39.0,54.0,0.0,0.0,37.0
2020-03-16,28.0,20.0,0.0,0.0,0.0,22.0,32.0,0.0,0.0,33.0
2020-03-17,28.0,0.0,41.0,0.0,0.0,17.0,52.0,0.0,81.0,49.0
2020-03-18,28.0,20.0,0.0,0.0,0.0,45.0,69.0,0.0,0.0,49.0
2020-03-19,28.0,30.0,0.0,0.0,0.0,40.0,71.0,0.0,0.0,33.0
2020-03-20,27.0,26.0,30.0,0.0,0.0,41.0,80.0,89.0,0.0,48.0
2020-03-21,31.0,22.0,23.0,44.0,0.0,47.0,71.0,0.0,0.0,48.0
2020-03-22,31.0,22.0,45.0,0.0,0.0,37.0,59.0,0.0,0.0,73.0
2020-03-23,25.0,18.0,36.0,35.0,0.0,30.0,77.0,0.0,0.0,43.0
2020-03-24,27.0,19.0,20.0,0.0,0.0,41.0,43.0,0.0,0.0,31.0
2020-03-25,28.0,20.0,21.0,40.0,0.0,52.0,70.0,45.0,0.0,39.0
2020-03-26,0.0,27.0,20.0,0.0,0.0,61.0,53.0,0.0,0.0,57.0
2020-03-27,54.0,39.0,0.0,0.0,0.0,33.0,67.0,0.0,0.0,39.0
2020-03-28,62.0,33.0,34.0,0.0,0.0,93.0,81.0,0.0,0.0,63.0
2020-03-29,29.0,21.0,54.0,42.0,0.0,35.0,83.0,0.0,0.0,40.0
2020-03-30,52.0,28.0,19.0,0.0,0.0,52.0,78.0,0.0,38.0,81.0
2020-03-31,27.0,58.0,40.0,0.0,0.0,27.0,66.0,0.0,39.0,37.0
2020-04-01,26.0,38.0,0.0,38.0,0.0,26.0,61.0,0.0,0.0,41.0
2020-04-02,40.0,57.0,32.0,0.0,0.0,63.0,73.0,0.0,38.0,51.0
2020-04-03,0.0,19.0,20.0,0.0,0.0,48.0,59.0,0.0,0.0,26.0
2020-04-04,0.0,60.0,46.0,0.0,0.0,56.0,70.0,51.0,0.0,64.0
2020-04-05,57.0,21.0,28.0,0.0,42.0,46.0,57.0,0.0,0.0,28.0
2020-04-06,25.0,18.0,19.0,72.0,0.0,36.0,80.0,0.0,0.0,39.0
