,Christian,Bible,Catholic,church,Muslim,Islam	,Jewish,synagogue,God,Devil
2020-03-08,50.0,72.0,35.0,59.0,60.0,96.0,60.0,16.0,65.0,79.0
2020-03-09,46.0,46.0,23.0,26.0,30.0,38.0,42.0,14.0,38.0,28.0
2020-03-10,44.0,48.0,11.0,43.0,51.0,34.0,57.0,0.0,76.0,63.0
2020-03-11,36.0,41.0,27.0,37.0,27.0,28.0,60.0,21.0,62.0,54.0
2020-03-12,41.0,31.0,45.0,27.0,25.0,41.0,51.0,0.0,63.0,36.0
2020-03-13,40.0,42.0,26.0,32.0,29.0,17.0,35.0,0.0,59.0,74.0
2020-03-14,27.0,47.0,45.0,58.0,23.0,40.0,42.0,16.0,68.0,71.0
2020-03-15,55.0,64.0,30.0,72.0,29.0,23.0,37.0,16.0,64.0,55.0
2020-03-16,39.0,34.0,19.0,21.0,43.0,37.0,42.0,13.0,40.0,48.0
2020-03-17,35.0,55.0,34.0,19.0,21.0,31.0,26.0,14.0,62.0,72.0
2020-03-18,31.0,44.0,23.0,38.0,22.0,72.0,16.0,0.0,54.0,40.0
2020-03-19,27.0,37.0,40.0,42.0,47.0,52.0,32.0,0.0,58.0,44.0
2020-03-20,44.0,45.0,40.0,22.0,25.0,50.0,34.0,40.0,44.0,43.0
2020-03-21,51.0,59.0,17.0,45.0,38.0,53.0,28.0,30.0,89.0,53.0
2020-03-22,35.0,73.0,46.0,65.0,37.0,49.0,39.0,22.0,70.0,31.0
2020-03-23,39.0,47.0,30.0,25.0,28.0,30.0,28.0,12.0,54.0,42.0
2020-03-24,36.0,49.0,33.0,19.0,25.0,46.0,56.0,26.0,79.0,73.0
2020-03-25,28.0,54.0,19.0,38.0,32.0,31.0,39.0,14.0,73.0,44.0
2020-03-26,35.0,52.0,19.0,21.0,21.0,31.0,26.0,0.0,62.0,71.0
2020-03-27,44.0,65.0,40.0,25.0,29.0,53.0,47.0,26.0,60.0,85.0
2020-03-28,36.0,70.0,29.0,45.0,35.0,45.0,28.0,0.0,42.0,62.0
2020-03-29,87.0,73.0,28.0,77.0,40.0,68.0,54.0,14.0,99.0,92.0
2020-03-30,48.0,54.0,18.0,24.0,32.0,48.0,45.0,13.0,76.0,71.0
2020-03-31,47.0,75.0,22.0,19.0,25.0,53.0,52.0,13.0,40.0,50.0
2020-04-01,40.0,64.0,11.0,42.0,12.0,58.0,33.0,0.0,60.0,75.0
2020-04-02,49.0,50.0,18.0,32.0,48.0,51.0,63.0,13.0,69.0,37.0
2020-04-03,57.0,52.0,29.0,26.0,29.0,36.0,61.0,100.0,78.0,61.0
2020-04-04,73.0,62.0,100.0,29.0,21.0,53.0,68.0,30.0,80.0,75.0
2020-04-05,45.0,84.0,39.0,100.0,35.0,46.0,62.0,0.0,86.0,82.0
2020-04-06,42.0,44.0,24.0,34.0,23.0,31.0,75.0,0.0,54.0,61.0
2020-04-07,38.0,58.0,32.0,23.0,18.0,42.0,66.0,38.0,68.0,56.0
2020-04-08,37.0,59.0,17.0,26.0,28.0,38.0,77.0,50.0,81.0,44.0
2020-04-09,30.0,36.0,34.0,20.0,34.0,58.0,100.0,0.0,55.0,32.0
2020-04-10,42.0,81.0,58.0,54.0,33.0,59.0,59.0,13.0,65.0,46.0
2020-04-11,51.0,64.0,39.0,50.0,33.0,60.0,53.0,14.0,60.0,37.0
2020-04-12,53.0,100.0,58.0,97.0,33.0,48.0,52.0,15.0,100.0,100.0
2020-04-13,39.0,69.0,37.0,54.0,40.0,74.0,52.0,13.0,70.0,90.0
2020-04-14,36.0,51.0,28.0,33.0,39.0,53.0,29.0,0.0,75.0,47.0
2020-04-15,41.0,49.0,17.0,38.0,28.0,38.0,30.0,0.0,55.0,77.0
2020-04-16,48.0,55.0,21.0,24.0,51.0,35.0,21.0,0.0,76.0,55.0
2020-04-17,50.0,50.0,35.0,50.0,36.0,48.0,45.0,13.0,90.0,75.0
2020-04-18,55.0,59.0,37.0,39.0,41.0,55.0,31.0,0.0,98.0,86.0
2020-04-19,56.0,68.0,38.0,85.0,30.0,65.0,55.0,14.0,76.0,88.0
2020-04-20,51.0,51.0,52.0,38.0,35.0,53.0,47.0,0.0,68.0,44.0
2020-04-21,40.0,54.0,27.0,26.0,23.0,58.0,34.0,12.0,75.0,57.0
2020-04-22,43.0,43.0,31.0,38.0,27.0,47.0,41.0,0.0,47.0,51.0
2020-04-23,39.0,59.0,21.0,23.0,28.0,41.0,36.0,13.0,43.0,55.0
2020-04-24,55.0,47.0,26.0,21.0,100.0,100.0,28.0,0.0,81.0,54.0
2020-04-25,51.0,78.0,30.0,37.0,36.0,85.0,32.0,15.0,58.0,99.0
2020-04-26,51.0,51.0,36.0,63.0,49.0,68.0,27.0,0.0,69.0,67.0
2020-04-27,91.0,58.0,17.0,26.0,31.0,47.0,79.0,12.0,73.0,73.0
2020-04-28,56.0,65.0,25.0,25.0,37.0,79.0,28.0,0.0,69.0,65.0
2020-04-29,53.0,57.0,27.0,24.0,37.0,79.0,34.0,0.0,70.0,62.0
2020-04-30,45.0,57.0,30.0,26.0,45.0,69.0,37.0,0.0,74.0,37.0
2020-05-01,52.0,54.0,32.0,25.0,45.0,65.0,43.0,0.0,51.0,76.0
2020-05-02,50.0,75.0,52.0,20.0,29.0,78.0,7.0,0.0,93.0,54.0
2020-05-03,44.0,80.0,24.0,42.0,28.0,66.0,59.0,0.0,84.0,65.0
2020-05-04,38.0,42.0,21.0,33.0,39.0,46.0,23.0,0.0,47.0,36.0
2020-05-05,41.0,43.0,16.0,19.0,26.0,42.0,42.0,12.0,57.0,31.0
2020-05-06,41.0,52.0,22.0,26.0,43.0,62.0,30.0,13.0,80.0,34.0
2020-05-07,48.0,45.0,25.0,31.0,33.0,78.0,18.0,0.0,48.0,68.0
2020-05-08,45.0,35.0,27.0,20.0,49.0,71.0,42.0,0.0,45.0,53.0
2020-05-09,40.0,61.0,27.0,25.0,33.0,59.0,33.0,0.0,55.0,73.0
2020-05-10,25.0,75.0,23.0,59.0,26.0,81.0,43.0,14.0,70.0,74.0
2020-05-11,42.0,46.0,21.0,28.0,65.0,54.0,59.0,0.0,52.0,62.0
2020-05-12,33.0,41.0,21.0,24.0,36.0,64.0,36.0,13.0,48.0,37.0
2020-05-13,38.0,57.0,32.0,15.0,48.0,61.0,24.0,0.0,59.0,49.0
2020-05-14,40.0,38.0,29.0,19.0,33.0,69.0,31.0,13.0,71.0,50.0
2020-05-15,48.0,41.0,14.0,35.0,18.0,77.0,21.0,0.0,56.0,22.0
2020-05-16,48.0,60.0,13.0,35.0,43.0,57.0,25.0,31.0,82.0,45.0
2020-05-17,42.0,60.0,26.0,60.0,45.0,95.0,18.0,0.0,85.0,83.0
2020-05-18,51.0,46.0,36.0,36.0,54.0,54.0,23.0,14.0,52.0,63.0
2020-05-19,42.0,53.0,11.0,26.0,32.0,64.0,18.0,0.0,55.0,45.0
2020-05-20,60.0,38.0,22.0,23.0,37.0,69.0,52.0,13.0,35.0,40.0
