,cruise,airplane tickets,road trip,beach vacations,retreats,resort,Bahamas,camping,world tour,bike trip
2020-03-08,98.0,0.0,86.0,0.0,34.0,75.0,78.0,82.0,9.0,0.0
2020-03-09,92.0,82.0,83.0,0.0,0.0,60.0,33.0,56.0,8.0,0.0
2020-03-10,87.0,0.0,49.0,0.0,0.0,61.0,45.0,44.0,10.0,0.0
2020-03-11,60.0,0.0,51.0,47.0,30.0,48.0,47.0,51.0,31.0,0.0
2020-03-12,90.0,80.0,24.0,45.0,0.0,30.0,61.0,28.0,13.0,0.0
2020-03-13,65.0,78.0,24.0,44.0,0.0,28.0,58.0,23.0,15.0,0.0
2020-03-14,67.0,0.0,39.0,0.0,0.0,46.0,32.0,40.0,9.0,0.0
2020-03-15,75.0,94.0,29.0,52.0,0.0,41.0,53.0,39.0,9.0,0.0
2020-03-16,31.0,0.0,37.0,45.0,0.0,26.0,32.0,22.0,11.0,0.0
2020-03-17,48.0,0.0,25.0,0.0,0.0,29.0,29.0,19.0,8.0,0.0
2020-03-18,40.0,81.0,25.0,46.0,0.0,20.0,22.0,20.0,0.0,81.0
2020-03-19,38.0,0.0,25.0,0.0,0.0,17.0,16.0,24.0,8.0,0.0
2020-03-20,42.0,79.0,0.0,44.0,0.0,18.0,13.0,19.0,11.0,0.0
2020-03-21,58.0,89.0,64.0,0.0,0.0,19.0,24.0,33.0,17.0,0.0
2020-03-22,50.0,0.0,27.0,50.0,0.0,23.0,18.0,31.0,17.0,0.0
2020-03-23,36.0,0.0,0.0,0.0,0.0,18.0,12.0,14.0,9.0,0.0
2020-03-24,24.0,0.0,24.0,0.0,28.0,18.0,10.0,20.0,11.0,0.0
2020-03-25,28.0,0.0,50.0,0.0,0.0,9.0,25.0,19.0,10.0,0.0
2020-03-26,36.0,0.0,49.0,0.0,0.0,17.0,20.0,18.0,8.0,0.0
2020-03-27,38.0,0.0,0.0,0.0,0.0,14.0,26.0,22.0,0.0,0.0
2020-03-28,36.0,0.0,28.0,0.0,32.0,17.0,15.0,25.0,25.0,0.0
2020-03-29,44.0,0.0,65.0,0.0,0.0,14.0,20.0,27.0,8.0,0.0
2020-03-30,27.0,0.0,34.0,0.0,0.0,20.0,25.0,17.0,7.0,0.0
2020-03-31,35.0,0.0,24.0,0.0,28.0,20.0,21.0,21.0,7.0,0.0
2020-04-01,36.0,0.0,23.0,0.0,27.0,11.0,38.0,19.0,21.0,0.0
2020-04-02,37.0,0.0,23.0,0.0,0.0,16.0,17.0,23.0,7.0,0.0
2020-04-03,31.0,0.0,47.0,0.0,0.0,13.0,10.0,22.0,7.0,0.0
2020-04-04,38.0,0.0,27.0,0.0,0.0,17.0,18.0,20.0,17.0,0.0
2020-04-05,33.0,0.0,25.0,0.0,0.0,14.0,22.0,31.0,8.0,0.0
2020-04-06,33.0,0.0,22.0,0.0,26.0,16.0,15.0,23.0,17.0,0.0
2020-04-07,32.0,0.0,38.0,0.0,0.0,13.0,23.0,23.0,19.0,0.0
2020-04-08,24.0,0.0,23.0,0.0,0.0,17.0,30.0,23.0,7.0,0.0
2020-04-09,31.0,0.0,29.0,0.0,0.0,11.0,10.0,25.0,16.0,0.0
2020-04-10,27.0,0.0,71.0,0.0,0.0,11.0,23.0,35.0,100.0,0.0
2020-04-11,26.0,0.0,38.0,0.0,0.0,18.0,25.0,28.0,78.0,0.0
2020-04-12,22.0,0.0,27.0,49.0,0.0,19.0,32.0,26.0,66.0,0.0
2020-04-13,38.0,0.0,46.0,0.0,0.0,21.0,30.0,34.0,50.0,0.0
2020-04-14,31.0,0.0,23.0,0.0,0.0,22.0,22.0,30.0,35.0,0.0
2020-04-15,34.0,0.0,23.0,0.0,0.0,15.0,15.0,38.0,19.0,0.0
2020-04-16,34.0,0.0,23.0,42.0,0.0,14.0,11.0,30.0,14.0,0.0
2020-04-17,23.0,0.0,23.0,0.0,0.0,9.0,15.0,31.0,14.0,0.0
2020-04-18,39.0,0.0,27.0,0.0,0.0,18.0,20.0,32.0,36.0,0.0
2020-04-19,68.0,0.0,25.0,0.0,29.0,22.0,16.0,30.0,35.0,0.0
2020-04-20,31.0,0.0,45.0,0.0,0.0,16.0,11.0,32.0,21.0,0.0
2020-04-21,31.0,0.0,33.0,0.0,0.0,14.0,15.0,21.0,14.0,0.0
2020-04-22,27.0,0.0,0.0,0.0,0.0,15.0,26.0,28.0,9.0,0.0
2020-04-23,29.0,0.0,23.0,0.0,0.0,18.0,23.0,33.0,11.0,0.0
2020-04-24,24.0,0.0,60.0,0.0,0.0,12.0,24.0,30.0,15.0,78.0
2020-04-25,29.0,0.0,28.0,51.0,0.0,18.0,14.0,47.0,11.0,0.0
