,croisière,billets d'avion,Virée,plage,retraites,recours,Bahamas,camping,tour du monde,voyage
2020-03-08,63.0,0.0,47.0,66.0,0.0,29.0,78.0,82.0,26.0,61.0
2020-03-09,91.0,0.0,0.0,54.0,0.0,40.0,33.0,56.0,0.0,61.0
2020-03-10,97.0,0.0,81.0,54.0,29.0,25.0,45.0,44.0,23.0,69.0
2020-03-11,55.0,0.0,0.0,45.0,30.0,41.0,47.0,51.0,23.0,66.0
2020-03-12,97.0,0.0,0.0,30.0,29.0,46.0,61.0,28.0,0.0,100.0
2020-03-13,70.0,85.0,0.0,28.0,0.0,17.0,58.0,23.0,0.0,92.0
2020-03-14,84.0,0.0,48.0,50.0,0.0,17.0,32.0,40.0,0.0,77.0
2020-03-15,82.0,100.0,0.0,49.0,33.0,16.0,53.0,39.0,26.0,54.0
2020-03-16,18.0,0.0,40.0,22.0,0.0,11.0,32.0,22.0,45.0,50.0
2020-03-17,27.0,0.0,0.0,33.0,29.0,18.0,29.0,19.0,23.0,37.0
2020-03-18,18.0,0.0,0.0,18.0,29.0,40.0,22.0,20.0,23.0,32.0
2020-03-19,18.0,0.0,0.0,34.0,0.0,36.0,16.0,24.0,23.0,29.0
2020-03-20,35.0,84.0,0.0,34.0,28.0,24.0,13.0,19.0,44.0,21.0
2020-03-21,49.0,0.0,45.0,45.0,32.0,40.0,24.0,33.0,25.0,15.0
2020-03-22,59.0,0.0,0.0,47.0,0.0,31.0,18.0,31.0,50.0,19.0
2020-03-23,16.0,0.0,36.0,27.0,38.0,82.0,12.0,14.0,0.0,14.0
2020-03-24,17.0,0.0,39.0,38.0,28.0,52.0,10.0,20.0,33.0,13.0
2020-03-25,36.0,0.0,0.0,35.0,30.0,51.0,25.0,19.0,0.0,14.0
2020-03-26,18.0,0.0,0.0,35.0,29.0,46.0,20.0,18.0,22.0,14.0
2020-03-27,34.0,0.0,0.0,32.0,28.0,48.0,26.0,22.0,22.0,14.0
2020-03-28,39.0,0.0,0.0,30.0,0.0,43.0,15.0,25.0,25.0,13.0
2020-03-29,47.0,0.0,0.0,45.0,30.0,30.0,20.0,27.0,24.0,13.0
2020-03-30,0.0,0.0,0.0,25.0,27.0,47.0,25.0,17.0,21.0,11.0
2020-03-31,52.0,0.0,0.0,32.0,0.0,41.0,21.0,21.0,33.0,11.0
2020-04-01,0.0,0.0,0.0,47.0,0.0,47.0,38.0,19.0,21.0,11.0
2020-04-02,17.0,0.0,38.0,27.0,0.0,23.0,17.0,23.0,21.0,9.0
2020-04-03,25.0,0.0,39.0,30.0,27.0,46.0,10.0,22.0,22.0,14.0
2020-04-04,40.0,0.0,0.0,34.0,0.0,24.0,18.0,20.0,25.0,11.0
2020-04-05,36.0,0.0,0.0,29.0,29.0,22.0,22.0,31.0,23.0,12.0
2020-04-06,32.0,0.0,0.0,33.0,26.0,24.0,15.0,23.0,0.0,10.0
2020-04-07,17.0,0.0,76.0,17.0,27.0,30.0,23.0,23.0,0.0,10.0
2020-04-08,16.0,0.0,38.0,29.0,0.0,43.0,30.0,23.0,21.0,9.0
2020-04-09,16.0,0.0,0.0,34.0,0.0,48.0,10.0,25.0,30.0,10.0
2020-04-10,0.0,83.0,39.0,39.0,28.0,28.0,23.0,35.0,22.0,10.0
2020-04-11,18.0,0.0,0.0,34.0,30.0,22.0,25.0,28.0,23.0,9.0
